    CPI        CEN
    0.3880    0.3543
    0.1934    0.8181
    0.1930    0.3777
    0.3850   -0.1478
    0.2878   -0.2584
    0.2870    0.3104
    0.3813    0.1403
    0.1901    0.3157
    0.1897    0.2365
    0.1894    0.0744
    0.5661    0.2378
    0.4693    0.4065
    0.1871   -0.0496
    0.1868   -0.0037
    0.2794   -0.4002
    0.1859    0.2832
    0.1855    0.2692
    0.1852    0.5234
    0.3693    0.1763
    0.4598    0.1483
    0.4577    0.1933
    0.3646    0.6182
   -0.1822   -0.3745
   -0.5484    0.3285
   -0.3673    0.1056
    0.2756    0.1257
    0.3663    0.4455
    0.0914    0.2133
    0.0913    0.1864
    0.3643    0.0636
    0.1816    0.1706
    0.1813    0.1830
    0.3617    0.2288
    0.5400    0.2030
    0.3584    0.2736
    0.3572    0.1356
    0.4447    0.3459
    0.2658    0.5708
    0.4415   -0.1673
    0.2640    0.3450
    0.4384    0.3749
    0.3493   -0.1310
    0.2612    0.3298
    0.3472    0.1966
    0.1731    0.2535
    0.3454    0.1958
    0.1723    0.1848
    0.2578   -0.1664
    0.5991    0.5361
    0.2557   -0.3127
    0.4246    0.5541
    0.4228    0.1156
    0.4210    0.1927
    0.4193    0.0642
    0.3342    0.2442
    0.3330    0.3987
    0.3320    0.0034
    0.4134    0.5188
    0.3295    0.0583
    0.4922    0.2105
    0.7338    0.0641
    0.4862    0.0017
    0.3229    0.2720
    0.3218    0.0460
    0.0000    0.1557
    0.2407   -0.2562
    0.4796    0.1932
    0.3979    0.2811
    0.3172   -0.0696
    0.9456    1.0561
    0.3914   -0.0185
    0.4677    0.1209
    0.2330   -0.2949
    0.1550    0.2512
    0.6178   -0.1410
    0.4608   -0.1455
    0.8394   -0.0068
    0.6816   -0.2342
    0.6769    0.0101
    0.2246   -0.1943
    0.3733   -0.0549
    0.3719   -0.2549
    0.0742   -0.1570
    0.0000   -0.0875
    0.2223    0.3877
    0.3694   -0.5680
    0.2945    0.1693
    0.1470   -0.0604
    0.2933   -0.0715
    0.2924    0.3773
    0.1459   -0.1086
    0.4364   -0.0255
    0.2899   -0.2584
    0.0723    0.4349
    0.2167   -0.1908
    0.3601    0.3315
    0.2154    0.2384
    0.2150   -0.0431
    0.2859    0.0372
    0.2851    0.2480
    0.2133    0.0951
    0.2129   -0.0893
    0.4243   -0.0774
    0.2819    0.2088
    0.1407    0.1018
    0.3507    0.0655
    0.2099    0.1678
    0.1397    0.2236
    0.3483   -0.0569
    0.2778    0.5351
    0.0693    0.1455
    0.1385    0.1471
    0.2074    0.3224
    0.1380   -0.2502
    0.4129    0.2229
    0.2744    0.2860
    0.2052    0.2432
    0.0000    0.4124
    0.2730    0.0983
    0.2723   -0.1278
    0.0679    0.2948
    0.2036    0.4683
    0.2708   -0.1873
    0.3375    0.0587
    0.4035    0.5170
    0.2011    0.2793
    0.0669    0.3430
    0.2674    0.3249
    0.2001    0.1645
    0.2661   -0.0464
    0.2654    0.2123
    0.1986    0.0216
    0.3961   -0.0080
    0.1974   -0.4203
    0.1971    0.0812
    0.1311    0.2358
    0.1964    0.0288
    0.1307    0.2248
    0.2609    0.2036
    0.1302   -0.1596
    0.1300   -0.0799
    0.5185    0.0296
    0.1937    0.4100
    0.3221    0.1773
    0.3851    0.1049
    0.1920    0.1982
    0.1916    0.2831
    0.1913    0.2722
    0.1273    0.1771
    0.3176    0.2858
    0.3165    0.2771
    0.3156   -0.0931
    0.2517    0.0696
    0.1884    0.3420
    0.1880    0.0000
    0.0626    0.4612
    0.0626    0.1953
    0.0000    0.2482
    0.1874   -0.0401
    0.1247    0.3162
    0.2491    0.1448
    0.2484    0.0069
    0.1859    0.1230
    0.1238    0.3634
    0.0618    0.0199
    0.1235    0.0360
    0.0000    0.0619
    0.0000    0.0053
    0.1234    0.3016
    0.2463    0.0884
    0.1229   -0.0617
    0.2454    0.0647
    0.1225    0.0464
    0.0612    0.4526
    0.2443    0.0098
    0.1220    0.2127
    0.1826    0.2432
    0.1823    0.3200
    0.0000   -0.1287
    0.0607    0.0685
    0.6653    0.0060
    0.0602    0.2674
    0.0000    0.0503
    0.4208    0.0270
    0.2397    0.1326
    0.4180    0.0868
    0.1786    0.2137
    0.1783    0.2356
    0.2372    0.1592
    0.2958    1.5037
    0.3538    0.0278
    0.6454    0.0504
   -0.0585    0.4352
    0.1754   -0.4768
    0.5824    0.2281
    0.2900   -0.2977
    0.0000    0.1354
    0.5198    0.1513
    0.1726    0.1576
    0.1724    0.1399
    0.2294    0.2298
    0.5711    0.1147
    0.1707   -0.1517
    0.0568    0.1141
    0.2837   -0.3367
    0.5086   -0.1546
    0.2252   -0.1614
   -0.2252    0.1819
    0.0564   -0.5684
    0.3375    0.4063
   -0.2811   -0.3088
   -0.0563   -0.1562
   -0.1692   -0.1145
    0.2255   -0.2671
    0.1688    0.4756
    0.3367   -0.1880
    0.5030   -0.0073
    0.0557    0.3001
    0.1114   -0.1114
    0.2223    0.0916
    0.2772    0.2438
    0.1659    0.3837
    0.1657   -0.1880
    0.1103   -0.3903
    0.1102   -0.0630
    0.3298    0.7215
    0.5474   -0.0939
    0.4357   -0.0131
   -0.3266    0.2023
   -0.0546   -0.0531
    0.1091    0.1222
    0.1634   -0.0502
    0.3801    0.0647
    0.3247   -0.0356
   -0.1081    0.3271
   -0.1624    0.3166
    0.1624   -0.0389
