 15 55123   79   1    1    0  0   0.000
 15 55341  218   1    1    4  0   0.125
 15 55455  114   1    1    5  0   0.250
 15 55895  440   1    1    7  0   0.375
 15 55903    8  -1    1    0  0   0.250
 15 55913   10   1    1    0  0   0.375
 15 56071  158   1    1    0  0   0.500
 15 56105   34  -1    1    3  0   0.375
 15 56124   19   1    1    0  0   0.500
 15 56147   23   1    1    2  0   0.625
 15 56274  127  -1    1    5  0   0.500
 15 56284   10   1    1    0  0   0.625
 15 56591  307  -1    1    6  0   0.500
 15 56653   62   1    1    2  0   0.625
 15 56724   71  -1    1    0  0   0.500
 15 56749   25   1    1    0  0   0.625
 15 56753    4  -1    1    0  0   0.500
 15 56762    9   1    1    0  0   0.625
 15 57218  456   1    1   11  1   0.750
 15 57472  254   1    1   21  0   0.875
 15 57553   81  -1    1    3  0   0.750
 15 57614   61  -1    1    3  0   0.625
 15 57643   29   1    1    1  0   0.750
 15 59432 1789   1    1    2  0   0.875
