date            F             SP
19760130       0.141477      0.118306
19760227       0.030227     -0.011402
19760331       0.114914      0.030689
19760430       0.052193     -0.010995
19760528      -0.075789     -0.014364
19760630       0.066059      0.040926
19760730      -0.020513     -0.008055
19760831      -0.019912     -0.005124
19760930       0.072235      0.022641
19761029      -0.030737     -0.022235
19761130      -0.037445     -0.007775
19761231       0.125858      0.052498
19770131      -0.003252     -0.050530
19770228      -0.043388     -0.021660
19770331      -0.064795     -0.014025
19770429       0.043880      0.000203
19770531      -0.020270     -0.023568
19770630       0.077586      0.045360
19770729      -0.033600     -0.016222
19770831      -0.019663     -0.021042
19770930       0.060172     -0.002480
19771031      -0.055676     -0.043406
19771130       0.008746      0.026966
19771230       0.057803      0.002847
19780131      -0.067213     -0.061514
19780228       0.005970     -0.024762
19780331       0.080119      0.024931
19780428       0.143407      0.085416
19780531      -0.031785      0.004234
19780630      -0.058081     -0.017585
19780731      -0.010188      0.053910
19780831      -0.027624      0.025924
19780929       0.034091     -0.007261
19781031      -0.101099     -0.091574
19781130       0.028125      0.016640
19781229       0.024316      0.014889
19790131      -0.008309      0.039746
19790228       0.006116     -0.036526
19790330       0.066869      0.055152
19790430       0.039886      0.001673
19790531      -0.047619     -0.026336
19790629       0.002941      0.038656
19790731       0.008798      0.008746
19790831       0.026786      0.053078
19790928       0.014493      0.000000
19791031      -0.134286     -0.068606
19791130      -0.169492      0.042624
19791231       0.044898      0.016767
19800131       0.085938      0.057625
19800229      -0.096296     -0.004380
19800331      -0.045082     -0.101795
19800430      -0.128755      0.041140
19800530       0.005128      0.046571
19800630       0.005102      0.026969
19800731       0.169543      0.065039
19800829      -0.030702      0.005835
19800930       0.000000      0.025168
19801031      -0.057014      0.016021
19801128      -0.131068      0.102377
19801231      -0.106145     -0.033874
19810130       0.002500     -0.045742
19810227      -0.006329      0.013277
19810331       0.222930      0.036033
19810430      -0.096875     -0.023456
19810529       0.076023     -0.001657
19810630       0.038043     -0.010408
19810731      -0.081675     -0.002210
19810831      -0.086705     -0.062099
19810930       0.000000     -0.053832
19811030      -0.162025      0.049148
19811130       0.023077      0.036590
19811231       0.007519     -0.030075
19820129       0.089552     -0.017544
19820226       0.047945     -0.060548
19820331       0.084967     -0.010167
19820430       0.090361      0.040014
19820528       0.005525     -0.039162
19820630       0.054945     -0.020290
19820730      -0.057292     -0.022991
19820831       0.215470      0.115977
19820930      -0.068182      0.007614
19821029       0.243902      0.110364
19821130       0.035294      0.036123
19821231       0.178030      0.015158
19830131       0.019293      0.033134
19830228      -0.037855      0.018995
19830331       0.055738      0.033095
19830429       0.276398      0.074922
19830531      -0.085158     -0.012346
19830630       0.202128      0.035224
19830729       0.069469     -0.033014
19830831      -0.051975      0.011319
19830930       0.083333      0.010158
19831031       0.082186     -0.015174
19831130      -0.069680      0.017426
19831230       0.029352     -0.008834
19840131      -0.028319     -0.009216
19840229      -0.088685     -0.038859
19840330      -0.016779      0.013498
19840430       0.010922      0.005466
19840531       0.010239     -0.059356
19840629      -0.023649      0.017469
19840731       0.104498     -0.016451
19840831       0.085443      0.106332
19840928       0.067055     -0.003480
19841031       0.033333     -0.000060
19841130      -0.026667     -0.015112
19841231       0.011080      0.022374
19850131       0.079452      0.074085
19850228      -0.084615      0.008685
19850329      -0.050420     -0.002925
19850430      -0.021239     -0.004594
19850531       0.064220      0.054051
19850628       0.037356      0.012134
19850731       0.002216     -0.004848
19850830      -0.014006     -0.011995
19850930       0.005682     -0.034724
19851031       0.066667      0.042509
19851129       0.161290      0.065062
19851231       0.074074      0.045061
19860131       0.091810      0.002367
19860228       0.145709      0.071489
19860331       0.141115      0.052794
19860430      -0.066260     -0.014148
19860530       0.064463      0.050229
19860630       0.027174      0.014110
19860731      -0.019501     -0.058683
19860829       0.116822      0.071193
19860930      -0.112971     -0.085439
19861031       0.094811      0.054729
19861128       0.019608      0.021477
19861231      -0.038462     -0.028288
19870130       0.333778      0.131767
19870227       0.026891      0.036924
19870331       0.104746      0.026390
19870430       0.087407     -0.011450
19870529      -0.001374      0.006034
19870630       0.089409      0.047915
19870731       0.034091      0.048224
19870831       0.062731      0.034959
19870930      -0.092593     -0.024166
19871030      -0.219388     -0.217630
19871130      -0.057947     -0.085349
19871231       0.059754      0.072861
19880129       0.140962      0.040432
19880229       0.061765      0.041817
19880331      -0.049861     -0.033343
19880429       0.116035      0.009425
19880531       0.018519      0.003176
19880630       0.106494      0.043256
19880729       0.006573     -0.005411
19880831      -0.070755     -0.038600
19880930       0.038071      0.039729
19881031       0.019071      0.025964
19881130       0.009709     -0.018891
19881230      -0.028846      0.014688
19890131       0.096535      0.071115
19890228      -0.054920     -0.028944
19890331      -0.053269      0.020806
19890428      -0.007673      0.050090
19890531       0.020942      0.035138
19890630      -0.005128     -0.007925
19890731       0.043814      0.088370
19890831       0.080201      0.015517
19890929      -0.055684     -0.006544
19891031      -0.054054     -0.025175
19891130      -0.058047      0.016541
19891229      -0.022409      0.021417
19900131       0.005731     -0.068817
19900228       0.066667      0.008539
19900330       0.027174      0.024255
19900430      -0.050265     -0.026887
19900531       0.045326      0.091989
19900629      -0.051491     -0.008886
19900731      -0.034286     -0.005223
19900831      -0.159639     -0.094314
19900928      -0.114695     -0.051184
19901031      -0.076923     -0.006698
19901130      -0.013514      0.059934
19901231      -0.027397      0.024828
19910131       0.079812      0.041518
19910228       0.165179      0.067281
19910328      -0.007663      0.022203
19910430       0.016216      0.000346
19910531       0.134615      0.038577
19910628      -0.023729     -0.047893
19910731      -0.058333      0.044859
19910830      -0.070896      0.019649
19910930      -0.036145     -0.019144
19911031      -0.082500      0.011860
19911129      -0.115207     -0.043928
19911231       0.171875      0.111588
19920131       0.098667     -0.019900
19920228       0.204918      0.009565
19920331       0.044218     -0.021832
19920430       0.192834      0.027893
19920529      -0.022039      0.000964
19920630       0.033803     -0.017359
19920731       0.005995      0.039374
19920831      -0.109290     -0.023998
19920930      -0.030675      0.009106
19921030      -0.065823      0.002106
19921130       0.150685      0.030262
19921231       0.020833      0.010108
19930129       0.085131      0.007046
19930226      -0.005420      0.010484
19930331       0.133515      0.018697
19930430       0.060577     -0.025417
19930528      -0.050228      0.022717
19930630       0.004808      0.000755
19930730       0.017225     -0.005327
19930831      -0.033175      0.034432
19930930       0.083333     -0.009988
19931029       0.127149      0.019393
19931130      -0.018182     -0.012911
19931231       0.061728      0.010091
19940131       0.044961      0.032501
19940228      -0.072761     -0.030045
19940331      -0.054326     -0.045746
19940429       0.001277      0.011531
19940531      -0.010707      0.012419
19940630       0.021645     -0.026812
19940729       0.088136      0.031467
19940831      -0.082353      0.037643
19940930      -0.051282     -0.026898
19941031       0.072432      0.020834
19941130      -0.080508     -0.039505
19941230       0.027650      0.012299
19950131      -0.084843      0.024278
19950228       0.034653      0.036074
19950331       0.028708      0.027329
19950428       0.020837      0.027960
19950531       0.078341      0.036312
19950630       0.017094      0.021279
19950731      -0.014790      0.031776
19950831       0.060345     -0.000320
19950929       0.012195      0.040098
19951031      -0.065060     -0.004979
19951130      -0.017391      0.041049
19951229       0.022124      0.017444
19960131       0.033766      0.032617
19960229       0.059322      0.006934
19960329       0.100000      0.007917
19960430       0.053818      0.013431
19960531       0.017422      0.022853
19960628      -0.113014      0.002257
19960731       0.011892     -0.045748
19960830       0.034749      0.018814
19960930      -0.067164      0.054173
19961031       0.012320      0.026131
19961129       0.048000      0.073376
19961231      -0.015267     -0.021505
19970131       0.008062      0.061317
19970228       0.023346      0.005928
19970331      -0.045627     -0.042614
19970430       0.120956      0.058406
19970530       0.079137      0.058577
19970630       0.013333      0.043453
19970731       0.086711      0.078123
19970829       0.051988     -0.057446
19970930       0.049419      0.053154
19971031      -0.022548     -0.034478
19971128      -0.015737      0.044587
19971231       0.129360      0.015732
19980130       0.058842      0.010150
19980227       0.109069      0.070449
19980331       0.145856      0.049946
19980430       0.086181      0.009076
19980529       0.132333     -0.018826
19980630       0.137349      0.039438
19980731      -0.026780     -0.011615
19980831      -0.217105     -0.145797
19980930       0.053221      0.062396
19981030       0.164043      0.080294
19981130       0.014977      0.059126
19981231       0.065834      0.056375
19990129       0.054696      0.041009
19990226      -0.034588     -0.032283
19990331      -0.044257      0.038794
19990430       0.136009      0.037944
19990528      -0.106549     -0.024970
19990630      -0.012035      0.054438
19990730      -0.132492     -0.032046
19990831       0.074742     -0.006254
19990930      -0.035971     -0.028552
19991029       0.101990      0.062539
19991130      -0.079727      0.019062
19991231       0.055693      0.057844
20000131      -0.057444     -0.050904
20000229      -0.163317     -0.020108
20000331       0.103604      0.096720
20000428       0.202449     -0.030796
20000531      -0.113014     -0.021915
20000630      -0.077691      0.023934
20000731       0.094477     -0.016341
20000831      -0.100419      0.060699
20000929       0.046512     -0.053483
20001031       0.043951     -0.004949
20001130      -0.129187     -0.080069
20001229       0.030220      0.004053
20010131       0.215573      0.034637
20010228      -0.013480     -0.092291
20010330       0.011147     -0.064205
20010430       0.059033      0.076814
20010531      -0.174016      0.005090
20010629       0.008214     -0.025004
20010731       0.037475     -0.010772
20010831      -0.208088     -0.064108
20010928      -0.126824     -0.081723
20011031      -0.066282      0.018099
20011130       0.180062      0.075176
20011231      -0.170011      0.007574
20020131      -0.020356     -0.015574
20020228      -0.027451     -0.020766
20020328       0.108199      0.036739
20020430      -0.029715     -0.061418
20020531       0.109375     -0.009081
20020628      -0.093484     -0.072465
20020731      -0.151875     -0.078995
20020830      -0.126206      0.004881
20020930      -0.167375     -0.110013
20021031      -0.126531      0.086436
20021129       0.345154      0.057070
20021231      -0.182777     -0.060333
20030131      -0.009677     -0.027415
20030228      -0.086718     -0.017004
20030331      -0.096154      0.008358
20030430       0.382979      0.081044
20030530       0.019417      0.050899
20030630       0.046667      0.011322
20030731       0.015469      0.016224
20030829       0.045208      0.017873
20030930      -0.068339     -0.011944
20031031       0.135562      0.054962
20031128       0.088211      0.007129
20031231       0.212121      0.050765
20040130      -0.085000      0.017276
20040227      -0.054333      0.012209
20040331      -0.013091     -0.016359
20040430       0.139278     -0.016791
20040528      -0.033203      0.012083
20040630       0.053872      0.017989
20040730      -0.053035     -0.034291
20040831      -0.041440      0.002287
20040930      -0.004252      0.009364
20041029      -0.065480      0.014014
20041130       0.088258      0.038595
20041231       0.032440      0.032458
20050131      -0.093579     -0.025290
20050228      -0.039484      0.018903
20050331      -0.104348     -0.019118
20050429      -0.187114     -0.020109
20050531       0.095499      0.029952
20050630       0.026052     -0.000143
20050729       0.058594      0.035968
20050831      -0.071695     -0.011222
20050930      -0.011033      0.006949
20051031      -0.146045     -0.017741
20051130      -0.022836      0.035186
20051230      -0.050431     -0.000952
20060131       0.124352      0.025467
20060228      -0.071096      0.000453
20060331      -0.001255      0.011065
20060428      -0.114322      0.012187
20060531       0.030216     -0.030917
20060630      -0.032123      0.000087
20060731      -0.030303      0.005086
20060831       0.254873      0.021274
20060929      -0.033453      0.024566
20061031       0.023486      0.031508
20061130      -0.018116      0.016467
20061229      -0.076261      0.012616
20070131       0.082557      0.014059
20070228      -0.027060     -0.021846
20070330      -0.002528      0.009980
20070430       0.019011      0.043291
20070531       0.037313      0.032549
20070629       0.129496     -0.017816
20070731      -0.096603     -0.031982
20070831      -0.082256      0.012864
20070928       0.087068      0.035794
20071031       0.044759      0.014822
20071130      -0.153326     -0.044043
20071231      -0.103862     -0.008628
20080131      -0.013373     -0.061163
20080229      -0.016566     -0.034761
20080331      -0.124043     -0.005960
20080430       0.444056      0.047547
20080530      -0.176755      0.010674
20080630      -0.292647     -0.085962
20080731      -0.002079     -0.009859
20080829      -0.070833      0.012191
20080930       0.165919     -0.090791
20081031      -0.578846     -0.169425
20081128       0.228310     -0.074849
20081231      -0.148699      0.007822
