Mon Day Year IBM SP5
9 1 1978 -5.187754 -0.72876
10 2 1978 -4.788149 -9.604187
11 1 1978 3.085422 1.650290
12 1 1978 10.28475 1.477937
1 2 1979 3.282827 3.897657
2 1 1979 -1.627943 -3.720933
3 1 1979 5.029631 5.368449
4 2 1979 -0.4469281 0.1671994
5 1 1979 -2.265103 -2.668949
6 1 1979 -3.49686 3.792722
7 2 1979 -5.110601 0.8707485
8 1 1979 1.609942 5.171706
9 4 1979 -3.246228 0
10 1 1979 -8.194808 -7.107281
11 1 1979 5.88405 4.174084
12 3 1979 -1.438874 1.662813
1 2 1980 6.379714 5.602546
2 1 1980 -6.511553 -0.4389437
3 3 1980 -12.93937 -10.73568
4 1 1980 -1.665443 4.031643
5 1 1980 2.562310 4.551882
6 2 1980 5.922308 2.661147
7 1 1980 10.50800 6.301096
8 1 1980 1.628089 0.5818496
9 2 1980 -2.134419 2.485602
10 1 1980 3.858599 1.589406
11 3 1980 3.479655 9.746878
12 1 1980 -0.3544008 -3.446121
1 2 1981 -5.347568 -4.682171
2 2 1981 1.240711 1.318936
3 2 1981 -3.003981 3.539861
4 1 1981 -6.157806 -2.373535
5 1 1981 1.741504 -0.1657875
6 1 1981 -1.606460 -1.046257
7 1 1981 -3.013927 -0.2212643
8 3 1981 -0.2785517 -6.411087
9 1 1981 -1.829748 -5.533487
10 1 1981 -4.950064 4.797829
11 2 1981 7.19735 3.593684
12 1 1981 4.348511 -3.053672
1 4 1982 11.18553 -1.769958
2 1 1982 -1.437150 -6.245874
3 1 1982 -3.435921 -1.021913
4 1 1982 7.223356 3.923445
5 3 1982 -3.066278 -3.994925
6 1 1982 -1.447552 -2.049826
7 1 1982 7.938823 -2.325901
8 2 1982 8.495164 10.97304
9 1 1982 3.941895 0.7585582
10 1 1982 8.544093 10.47624
11 1 1982 8.958616 3.533885
12 1 1982 10.71891 1.511653
1 3 1983 2.655023 3.259714
2 1 1983 1.013767 1.881703
3 1 1983 2.771048 3.255885
4 4 1983 13.97315 7.23085
5 2 1983 -4.232119 -1.248410
6 1 1983 7.764363 3.181797
7 1 1983 0.1175779 -3.077166
8 1 1983 0.05873715 1.125532
9 1 1983 5.982986 1.010690
10 3 1983 -0.1106807 -1.529063
11 1 1983 -6.934889 1.727577
12 1 1983 3.899243 -0.8873387
1 3 1984 -6.667169 -0.9258761
2 1 1984 -2.65858 -3.963448
3 1 1984 3.266854 1.340774
4 2 1984 -0.1213592 0.5450629
5 1 1984 -4.597083 -6.119101
6 1 1984 -1.860817 1.731845
7 2 1984 4.495851 -1.658806
8 1 1984 12.11485 10.10502
9 4 1984 0.437877 -0.348579
10 1 1984 1.140387 -0.006020651
11 1 1984 -2.349193 -1.522764
12 3 1984 1.154176 2.212774
1 2 1985 10.22409 7.146927
2 1 1985 -0.9417666 0.8591832
3 1 1985 -5.370761 -0.2874201
4 1 1985 -0.421275 -0.4604852
5 1 1985 2.552887 5.264088
6 3 1985 -3.880928 1.206097
7 1 1985 6.018413 -0.4859325
8 1 1985 -2.860256 -1.206707
9 3 1985 -2.200194 -3.534127
10 1 1985 4.757878 4.16301
11 1 1985 8.144033 6.303267
12 2 1985 10.67562 4.407534
1 2 1986 -2.585438 0.2363732
2 3 1986 0.3001074 6.904953
3 3 1986 0.3845337 5.144752
4 1 1986 3.106883 -1.424922
5 1 1986 -1.793583 4.90085
6 2 1986 -3.905238 1.401095
7 1 1986 -10.07517 -6.047514
8 1 1986 5.462752 6.877262
9 2 1986 -3.118707 -8.931074
10 1 1986 -8.43071 5.328422
11 3 1986 3.686355 2.124979
12 1 1986 -5.765432 -2.869608
1 2 1987 7.046238 12.37801
2 2 1987 8.80306 3.625818
3 2 1987 7.34354 2.604766
4 1 1987 6.451249 -1.151618
5 1 1987 0.5840001 0.6015992
6 1 1987 1.579082 4.680201
7 1 1987 -0.9598845 4.7097
8 3 1987 5.187183 3.436171
9 1 1987 -11.06656 -2.446295
10 1 1987 -20.75135 -24.54280
11 2 1987 -9.169136 -8.92126
12 1 1987 4.214562 7.032936
1 4 1988 -2.735488 3.963625
2 1 1988 5.449642 4.096669
3 1 1988 -8.766696 -3.391185
4 4 1988 5.202378 0.9380715
5 2 1988 0.2132197 0.3171028
6 1 1988 12.40349 4.234662
7 1 1988 -1.278124 -0.5426029
8 1 1988 -11.17863 -3.936483
9 1 1988 3.455841 3.896037
10 3 1988 6.089706 2.563312
11 1 1988 -2.550408 -1.907163
12 1 1988 2.840544 1.458080
1 3 1989 6.947561 6.869997
2 1 1989 -6.417823 -2.937124
3 1 1989 -10.73905 2.059244
4 3 1989 4.496314 4.887575
5 1 1989 -2.957414 3.453434
6 1 1989 2.032908 -0.7956189
7 3 1989 2.748265 8.468147
8 1 1989 2.918832 1.539749
9 1 1989 -6.965479 -0.6565824
10 2 1989 -8.620383 -2.549775
11 1 1989 -1.434745 1.640599
12 1 1989 -3.649610 2.119069
1 2 1990 4.684697 -7.129968
2 1 1990 6.425244 0.8502706
3 1 1990 2.123222 2.396554
4 2 1990 2.694464 -2.725517
5 1 1990 10.75055 8.800091
6 1 1990 -2.134652 -0.8926024
7 2 1990 -5.247895 -0.523686
8 1 1990 -7.864313 -9.906282
9 4 1990 4.291606 -5.254068
10 1 1990 -0.8230499 -0.6720786
11 1 1990 8.558991 5.820684
12 3 1990 -0.570615 2.452456
1 2 1991 11.47583 4.067905
2 1 1991 2.560476 6.511442
3 1 1991 -12.28726 2.195996
4 1 1991 -10.04781 0.03197612
5 1 1991 4.160925 3.787846
6 3 1991 -8.882035 -4.907751
7 1 1991 4.201628 4.388229
8 1 1991 -3.228648 1.945825
9 3 1991 6.70904 -1.932933
10 1 1991 -5.320129 1.176469
11 1 1991 -4.780921 -4.489662
12 2 1991 -3.85754 10.57895
1 2 1992 1.150099 -2.012491
2 3 1992 -2.255083 0.9543823
3 2 1992 -3.936107 -2.207368
4 1 1992 8.340594 2.751077
5 1 1992 1.278861 0.09635072
6 1 1992 7.552764 -1.751129
7 1 1992 -3.227766 3.861836
8 3 1992 -7.638978 -2.429018
9 1 1992 -7.03808 0.9064414
10 1 1992 -18.82213 0.2104056
11 2 1992 3.845233 2.981292
12 1 1992 -30.37054 1.005706
1 4 1993 2.193698 0.7021264
2 1 1993 6.483329 1.042904
3 1 1993 -6.672186 1.852463
4 1 1993 -4.544039 -2.574537
5 3 1993 9.251877 2.246326
6 1 1993 -6.616292 0.07549516
7 1 1993 -10.34356 -0.5341299
8 2 1993 3.361661 3.385246
9 1 1993 -8.626034 -1.003813
10 1 1993 9.141234 1.920729
11 1 1993 16.27758 -1.299474
12 1 1993 4.774991 1.004059
1 3 1994 0 3.198382
2 1 1994 -6.182226 -3.050566
3 1 1994 3.22468 -4.682587
4 4 1994 5.180774 1.146464
5 2 1994 9.545823 1.232094
6 1 1994 -6.973334 -2.715621
7 1 1994 5.180903 3.100422
8 1 1994 10.57372 3.690914
9 1 1994 1.614023 -2.724534
10 3 1994 6.770229 2.061973
11 1 1994 -4.854082 -4.030609
12 1 1994 3.851567 1.222413
1 3 1995 -1.907242 2.398764
2 1 1995 4.579038 3.543871
3 1 1995 8.742004 2.696247
4 3 1995 14.17141 2.757654
5 1 1995 -1.473504 3.566798
6 1 1995 3.165592 2.105536
7 3 1995 12.59524 3.128163
8 1 1995 -4.98262 -0.03203018
9 1 1995 -8.963992 3.931449
10 2 1995 2.873761 -0.4991819
11 1 1995 -0.37843 4.022887
12 1 1995 -5.60439 1.729348
1 2 1996 17.18239 3.209669
2 1 1996 12.44676 0.6909816
3 1 1996 -9.698881 0.7885385
4 1 1996 -3.213295 1.334205
5 1 1996 -0.595493 2.259616
6 3 1996 -7.529008 0.2254153
7 1 1996 8.209283 -4.682752
8 1 1996 6.520038 1.863918
9 3 1996 8.482558 5.27853
10 1 1996 3.546852 2.576618
11 1 1996 21.43049 7.080896
12 2 1996 -5.069539 -2.173999
1 2 1997 3.494703 5.951065
2 3 1997 -8.52027 0.5910048
3 3 1997 -4.631053 -4.354862
4 1 1997 15.65929 5.676357
5 1 1997 7.507249 5.692544
6 2 1997 4.242906 4.253505
7 1 1997 15.84315 7.524274
8 1 1997 -4.031486 -5.918287
9 2 1997 4.457744 5.178902
10 1 1997 -7.34538 -3.508604
11 3 1997 10.79436 4.362142
12 1 1997 -4.561051 1.560917
1 2 1998 -5.776581 1.009897
2 2 1998 5.798084 6.807843
3 2 1998 -0.5389686 4.873843
4 1 1998 10.92440 0.9035526
5 1 1998 1.595727 -1.900564
6 1 1998 -2.315365 3.868039
7 1 1998 14.32440 -1.168338
8 3 1998 -16.09680 -15.75861
9 1 1998 13.19655 6.05263
10 1 1998 14.46783 7.72334
11 2 1998 10.7603 5.744407
12 1 1998 11.03137 5.484353
1 4 1999 -0.6198744 4.019083
2 1 1999 -7.51777 -3.281509
3 1 1999 4.32166 3.80606
4 1 1999 16.57363 3.724182
5 3 1999 10.46136 -2.528747
6 1 1999 10.8152 5.300824
7 1 1999 -2.788764 -3.257082
8 2 1999 -0.8100093 -0.6273778
9 1 1999 -2.901645 -2.896727
10 1 1999 -20.82128 6.066177
11 1 1999 4.908147 1.888247
12 1 1999 4.565174 5.62328
1 3 2000 3.980323 -5.224482
2 1 2000 -8.73986 -2.031306
3 1 2000 14.14710 9.232381
4 3 2000 -5.973367 -3.127998
5 1 2000 -3.713524 -2.21587
6 1 2000 2.076695 2.365163
7 3 2000 2.420602 -1.647625
8 1 2000 16.33833 5.892816
9 1 2000 -15.89460 -5.496629
10 2 2000 -13.39250 -0.4961785
11 1 2000 -5.087896 -8.345613
12 1 2000 -9.529834 0.4045193
1 2 2001 27.58627 3.405025
2 1 2001 -11.31746 -9.68311
3 1 2001 -3.799995 -6.635854
4 2 2001 18.00011 7.400701
5 1 2001 -2.823396 0.5077288
6 1 2001 1.509241 -2.535415
7 2 2001 -7.585281 -1.079822
8 1 2001 -5.002387 -6.62556
9 4 2001 -8.587879 -8.525662
10 1 2001 16.40444 1.793719
11 1 2001 6.850306 7.248435
12 3 2001 4.535017 0.7545292
1 2 2002 -11.42614 -1.569637
2 1 2002 -9.365815 -2.098489
3 1 2002 5.823507 3.608008
4 1 2002 -21.65039 -6.338468
5 1 2002 -3.827578 -0.9122942
6 3 2002 -11.09849 -7.521434
7 1 2002 -2.25075 -8.229987
8 1 2002 7.05715 0.4869544
9 3 2002 -25.68297 -11.65612
10 1 2002 30.29666 8.291442
11 1 2002 9.810619 5.550058
12 2 2002 -11.46124 -6.222928
1 2 2003 0.89863 -2.779749
2 3 2003 -0.1258829 -1.714984
3 3 2003 0.6139269 0.8322874
4 1 2003 7.92613 7.792735
5 1 2003 3.807342 4.964567
6 2 2003 -6.490144 1.125863
7 1 2003 -1.529590 1.609351
8 1 2003 1.132817 1.771534
9 2 2003 7.417423 -1.201623
10 1 2003 1.295862 5.350427
11 3 2003 1.363191 0.7103225
12 1 2003 2.332985 4.95189
1 2 2004 6.831372 1.712888
2 2 2004 -2.636395 1.21351
3 1 2004 -4.946948 -1.649422
4 1 2004 -4.080234 -1.693339
5 3 2004 0.685605 1.201102
6 1 2004 -0.5014994 1.782919
7 1 2004 -1.233822 -3.489224
8 2 2004 -2.565210 0.2284721
9 1 2004 1.240522 0.9320337
10 1 2004 4.573631 1.391696
11 1 2004 5.07283 3.786878
12 1 2004 4.500788 3.194249
1 3 2005 -5.372753 -2.561575
2 1 2005 -0.7170148 1.872693
3 1 2005 -1.30843 -1.930275
4 1 2005 -17.93157 -2.031352
5 2 2005 -0.8193293 2.951222
6 1 2005 -1.803398 -0.01426875
7 1 2005 11.75905 3.533645
8 1 2005 -3.222929 -1.128547
9 1 2005 -0.5051859 0.6924907
10 3 2005 2.057849 -1.789999
11 1 2005 8.458209 3.458124
12 1 2005 -7.833451 -0.095285
1 3 2006 -1.095901 2.514796
2 1 2006 -1.068259 0.04529941
3 1 2006 2.746348 1.103473
4 3 2006 -0.1549187 1.208237
5 1 2006 -2.657746 -3.140491
6 1 2006 -3.923663 0.008660429
7 3 2006 0.7697633 0.5072924
8 1 2006 4.890101 2.105112
9 1 2006 1.192496 2.426938
10 2 2006 11.93709 3.102184
11 1 2006 -0.1258653 1.633251
12 1 2006 5.534393 1.253684
1 3 2007 2.037386 1.396117
2 1 2007 -6.162023 -2.208831
3 1 2007 1.412421 0.9930484
4 2 2007 8.089856 4.237984
5 1 2007 4.594589 3.203072
6 1 2007 -1.272897 -1.797693
7 2 2007 5.006613 -3.25045
8 1 2007 5.664402 1.278156
9 4 2007 0.9504846 3.516828
10 1 2007 -1.442590 1.471356
11 1 2007 -9.535503 -4.504279
12 3 2007 2.734831 -0.866593
1 2 2008 -0.916243 -6.311391
2 1 2008 6.489574 -3.537971
3 3 2008 1.119651 -0.5977412
4 1 2008 4.717691 4.645094
5 1 2008 7.386322 1.061759
6 2 2008 -8.792305 -8.988355
7 1 2008 7.664248 -0.99083
8 1 2008 -4.618675 1.211680
9 2 2008 -3.996922 -9.518079
10 1 2008 -22.95660 -18.56365
11 3 2008 -12.48690 -7.779835
12 1 2008 3.089286 0.7791136
1 2 2009 8.53334 -8.954989
2 2 2009 0.9524936 -11.64565
3 2 2009 5.145311 8.195274
4 1 2009 6.318959 8.977221
5 1 2009 3.448784 5.172056
6 1 2009 -1.762667 0.01958161
7 1 2009 12.16949 7.152198
8 3 2009 0.5631895 3.300932
9 1 2009 1.318700 3.510010
10 1 2009 0.827937 -1.995987
11 2 2009 5.098093 5.577902
12 1 2009 4.260908 2.892156
