Year Mon Day mort tb3m 
1982 6 1 16.7 12.47
1982 7 1 16.82 11.35
1982 8 1 16.27 8.68
1982 9 1 15.43 7.92
1982 10 1 14.61 7.71
1982 11 1 13.83 8.07
1982 12 1 13.62 7.94
1983 1 1 13.25 7.86
1983 2 1 13.04 8.11
1983 3 1 12.8 8.35
1983 4 1 12.78 8.21
1983 5 1 12.63 8.19
1983 6 1 12.87 8.79
1983 7 1 13.42 9.08
1983 8 1 13.81 9.34
1983 9 1 13.73 9
1983 10 1 13.54 8.64
1983 11 1 13.44 8.76
1983 12 1 13.42 9
1984 1 1 13.37 8.9
1984 2 1 13.23 9.09
1984 3 1 13.39 9.52
1984 4 1 13.65 9.69
1984 5 1 13.94 9.83
1984 6 1 14.42 9.87
1984 7 1 14.67 10.12
1984 8 1 14.47 10.47
1984 9 1 14.35 10.37
1984 10 1 14.13 9.74
1984 11 1 13.64 8.61
1984 12 1 13.18 8.06
1985 1 1 13.08 7.76
1985 2 1 12.92 8.27
1985 3 1 13.17 8.52
1985 4 1 13.2 7.95
1985 5 1 12.91 7.48
1985 6 1 12.22 6.95
1985 7 1 12.03 7.08
1985 8 1 12.19 7.14
1985 9 1 12.19 7.1
1985 10 1 12.14 7.16
1985 11 1 11.78 7.24
1985 12 1 11.26 7.1
1986 1 1 10.88 7.07
1986 2 1 10.71 7.06
1986 3 1 10.08 6.56
1986 4 1 9.94 6.06
1986 5 1 10.14 6.15
1986 6 1 10.68 6.21
1986 7 1 10.51 5.83
1986 8 1 10.2 5.53
1986 9 1 10.01 5.21
1986 10 1 9.97 5.18
1986 11 1 9.7 5.35
1986 12 1 9.31 5.53
1987 1 1 9.2 5.43
1987 2 1 9.08 5.59
1987 3 1 9.04 5.59
1987 4 1 9.83 5.64
1987 5 1 10.6 5.66
1987 6 1 10.54 5.67
1987 7 1 10.28 5.69
1987 8 1 10.33 6.04
1987 9 1 10.89 6.4
1987 10 1 11.26 6.13
1987 11 1 10.65 5.69
1987 12 1 10.65 5.77
1988 1 1 10.43 5.81
1988 2 1 9.89 5.66
1988 3 1 9.93 5.7
1988 4 1 10.2 5.91
1988 5 1 10.46 6.26
1988 6 1 10.46 6.46
1988 7 1 10.43 6.73
1988 8 1 10.6 7.06
1988 9 1 10.48 7.24
1988 10 1 10.3 7.35
1988 11 1 10.27 7.76
1988 12 1 10.61 8.07
1989 1 1 10.73 8.27
1989 2 1 10.65 8.53
1989 3 1 11.03 8.82
1989 4 1 11.05 8.65
1989 5 1 10.77 8.43
1989 6 1 10.2 8.15
1989 7 1 9.88 7.88
1989 8 1 9.99 7.9
1989 9 1 10.13 7.75
1989 10 1 9.95 7.64
1989 11 1 9.77 7.69
1989 12 1 9.74 7.63
1990 1 1 9.9 7.64
1990 2 1 10.2 7.74
1990 3 1 10.27 7.9
1990 4 1 10.37 7.77
1990 5 1 10.48 7.74
1990 6 1 10.16 7.73
1990 7 1 10.04 7.62
1990 8 1 10.1 7.45
1990 9 1 10.18 7.36
1990 10 1 10.18 7.17
1990 11 1 10.01 7.06
1990 12 1 9.67 6.74
1991 1 1 9.64 6.22
1991 2 1 9.37 5.94
1991 3 1 9.5 5.91
1991 4 1 9.49 5.65
1991 5 1 9.47 5.46
1991 6 1 9.62 5.57
1991 7 1 9.58 5.58
1991 8 1 9.24 5.33
1991 9 1 9.01 5.22
1991 10 1 8.86 4.99
1991 11 1 8.71 4.56
1991 12 1 8.5 4.07
1992 1 1 8.43 3.8
1992 2 1 8.76 3.84
1992 3 1 8.94 4.04
1992 4 1 8.85 3.75
1992 5 1 8.67 3.63
1992 6 1 8.51 3.66
1992 7 1 8.13 3.21
1992 8 1 7.98 3.13
1992 9 1 7.92 2.91
1992 10 1 8.09 2.86
1992 11 1 8.31 3.13
1992 12 1 8.22 3.22
1993 1 1 8.02 3
1993 2 1 7.68 2.93
1993 3 1 7.5 2.95
1993 4 1 7.47 2.87
1993 5 1 7.47 2.96
1993 6 1 7.42 3.07
1993 7 1 7.21 3.04
1993 8 1 7.11 3.02
1993 9 1 6.92 2.95
1993 10 1 6.83 3.02
1993 11 1 7.16 3.1
1993 12 1 7.17 3.06
1994 1 1 7.06 2.98
1994 2 1 7.15 3.25
1994 3 1 7.68 3.5
1994 4 1 8.32 3.68
1994 5 1 8.6 4.14
1994 6 1 8.4 4.14
1994 7 1 8.61 4.33
1994 8 1 8.51 4.48
1994 9 1 8.64 4.62
1994 10 1 8.93 4.95
1994 11 1 9.17 5.29
1994 12 1 9.2 5.6
1995 1 1 9.15 5.71
1995 2 1 8.83 5.77
1995 3 1 8.46 5.73
1995 4 1 8.32 5.65
1995 5 1 7.96 5.67
1995 6 1 7.57 5.47
1995 7 1 7.61 5.42
1995 8 1 7.86 5.4
1995 9 1 7.64 5.28
1995 10 1 7.48 5.28
1995 11 1 7.38 5.36
1995 12 1 7.2 5.14
1996 1 1 7.03 5
1996 2 1 7.08 4.83
1996 3 1 7.62 4.96
1996 4 1 7.93 4.95
1996 5 1 8.07 5.02
1996 6 1 8.32 5.09
1996 7 1 8.25 5.15
1996 8 1 8 5.05
1996 9 1 8.23 5.09
1996 10 1 7.92 4.99
1996 11 1 7.62 5.03
1996 12 1 7.6 4.91
1997 1 1 7.82 5.03
1997 2 1 7.65 5.01
1997 3 1 7.9 5.14
1997 4 1 8.14 5.16
1997 5 1 7.94 5.05
1997 6 1 7.69 4.93
1997 7 1 7.5 5.05
1997 8 1 7.48 5.14
1997 9 1 7.43 4.95
1997 10 1 7.29 4.97
1997 11 1 7.21 5.14
1997 12 1 7.1 5.16
1998 1 1 6.99 5.04
1998 2 1 7.04 5.09
1998 3 1 7.13 5.03
1998 4 1 7.14 4.95
1998 5 1 7.14 5
1998 6 1 7 4.98
1998 7 1 6.95 4.96
1998 8 1 6.92 4.9
1998 9 1 6.72 4.61
1998 10 1 6.71 3.96
1998 11 1 6.87 4.41
1998 12 1 6.72 4.39
1999 1 1 6.79 4.34
1999 2 1 6.81 4.44
1999 3 1 7.04 4.44
1999 4 1 6.92 4.29
1999 5 1 7.15 4.5
1999 6 1 7.55 4.57
1999 7 1 7.63 4.55
1999 8 1 7.94 4.72
1999 9 1 7.82 4.68
1999 10 1 7.85 4.86
1999 11 1 7.74 5.07
1999 12 1 7.91 5.2
2000 1 1 8.21 5.32
2000 2 1 8.33 5.55
2000 3 1 8.24 5.69
2000 4 1 8.15 5.66
2000 5 1 8.52 5.79
2000 6 1 8.29 5.69
2000 7 1 8.15 5.96
2000 8 1 8.03 6.09
2000 9 1 7.91 6
2000 10 1 7.8 6.11
2000 11 1 7.75 6.17
2000 12 1 7.38 5.77
2001 1 1 7.03 5.15
2001 2 1 7.05 4.88
2001 3 1 6.95 4.42
2001 4 1 7.08 3.87
2001 5 1 7.15 3.62
2001 6 1 7.16 3.49
2001 7 1 7.13 3.51
2001 8 1 6.95 3.36
2001 9 1 6.82 2.64
2001 10 1 6.62 2.16
2001 11 1 6.66 1.87
2001 12 1 7.07 1.69
2002 1 1 7 1.65
2002 2 1 6.89 1.73
2002 3 1 7.01 1.79
2002 4 1 6.99 1.72
2002 5 1 6.81 1.73
2002 6 1 6.65 1.7
2002 7 1 6.49 1.68
2002 8 1 6.29 1.62
2002 9 1 6.09 1.63
2002 10 1 6.11 1.58
2002 11 1 6.07 1.23
2002 12 1 6.05 1.19
2003 1 1 5.92 1.17
2003 2 1 5.84 1.17
2003 3 1 5.75 1.13
2003 4 1 5.81 1.13
2003 5 1 5.48 1.07
2003 6 1 5.23 0.92
2003 7 1 5.63 0.9
2003 8 1 6.26 0.95
2003 9 1 6.15 0.94
2003 10 1 5.95 0.92
2003 11 1 5.93 0.93
2003 12 1 5.88 0.9
2004 1 1 5.74 0.88
2004 2 1 5.64 0.93
2004 3 1 5.45 0.94
2004 4 1 5.83 0.94
2004 5 1 6.27 1.02
2004 6 1 6.29 1.27
2004 7 1 6.06 1.33
2004 8 1 5.87 1.48
2004 9 1 5.75 1.65
2004 10 1 5.72 1.76
2004 11 1 5.73 2.07
2004 12 1 5.75 2.19
2005 1 1 5.71 2.33
2005 2 1 5.63 2.54
2005 3 1 5.93 2.74
2005 4 1 5.86 2.78
2005 5 1 5.72 2.84
2005 6 1 5.58 2.97
2005 7 1 5.7 3.22
2005 8 1 5.82 3.44
2005 9 1 5.77 3.42
2005 10 1 6.07 3.71
2005 11 1 6.33 3.88
2005 12 1 6.27 3.89
2006 1 1 6.15 4.24
2006 2 1 6.25 4.43
2006 3 1 6.32 4.51
2006 4 1 6.51 4.6
2006 5 1 6.6 4.72
2006 6 1 6.68 4.79
2006 7 1 6.76 4.95
2006 8 1 6.52 4.96
2006 9 1 6.4 4.81
2006 10 1 6.36 4.92
2006 11 1 6.24 4.94
2006 12 1 6.14 4.85
2007 1 1 6.22 4.98
2007 2 1 6.29 5.03
2007 3 1 6.16 4.94
2007 4 1 6.18 4.87
2007 5 1 6.26 4.73
2007 6 1 6.66 4.61
2007 7 1 6.7 4.82
2007 8 1 6.57 4.2
2007 9 1 6.38 3.89
2007 10 1 6.38 3.9
2007 11 1 6.21 3.27
2007 12 1 6.1 3
2008 1 1 5.76 2.75
2008 2 1 5.92 2.12
2008 3 1 5.97 1.26
2008 4 1 5.92 1.29
2008 5 1 6.04 1.73
2008 6 1 6.32 1.86
2008 7 1 6.43 1.63
2008 8 1 6.48 1.72
2008 9 1 6.04 1.13
2008 10 1 6.2 0.67
2008 11 1 6.09 0.19
2008 12 1 5.33 0.03
2009 1 1 5.06 0.13
2009 2 1 5.13 0.3
2009 3 1 5 0.21
2009 4 1 4.81 0.16
2009 5 1 4.86 0.18
2009 6 1 5.42 0.18
2009 7 1 5.22 0.18
2009 8 1 5.19 0.17
2009 9 1 5.06 0.12
2009 10 1 4.95 0.07
2009 11 1 4.88 0.05
