   AA     AGE    CAT     F     FDX     GM    HPQ    KMB    MEL    NYT    PG    TRB    TXN    SP5
  -0.57   7.22   7.82  -8.67   9.58  -6.44   1.35   6.99   4.77 -13.82  -1.30  -8.39  11.53   0.77
  -8.07 -13.07 -14.44 -11.90  -9.80 -11.70  -4.85  -4.15  -6.88  -1.03  -3.52  -1.07 -12.24  -4.77
   9.70  29.63   6.02  16.85  10.77  -6.44  18.36  10.14   7.38  23.12  15.56  10.47  10.62  10.82
  -0.12  -5.93   6.58   9.55  12.59  11.80   3.63  -6.36  11.08  15.56  10.74   3.34  15.94  -2.31
   7.86  -6.96   4.22  20.17  16.82  16.75  22.89   8.87   1.95   2.93  -2.37   4.36   4.57   0.64
   1.29  -9.21   1.97   4.09  -8.87  -2.67  10.21   2.62  -1.29   7.66   0.28  -0.90 -12.86  -2.52
  10.01 -16.63  12.24  18.97  -7.51  13.00  -0.93   4.16   2.83   3.39   1.20   6.79   5.82   2.48
   0.02   9.57   7.27  -2.51  -6.62  -4.22  -5.30   3.30   1.26  -3.83  -0.79  -6.96   8.36  -0.21
  -2.56  -8.15 -11.28   3.07  10.43  11.04  -9.42   2.15   1.24  -7.74 -10.77  -6.59  -6.47  -2.04
  -3.07  -0.88   2.80   0.33  -5.53  -5.67   6.45  -3.05   3.93  -1.16  10.38   1.56  18.95   3.67
 -12.09   4.09 -12.93 -11.19 -10.49 -16.12 -22.37  -3.50  -4.08  -5.61  -7.67   0.31  -8.02  -2.66
   2.27  -7.39   7.79  -3.31  -6.11  -7.46  -2.51  -1.62   6.18   5.50   5.09  10.54  12.52   0.67
   5.04  11.30   0.29  -6.82  24.67  -4.52   1.78   5.56   6.89  -5.67   7.41  -0.78  13.02  -0.03
   0.85  16.41   8.35  14.81   8.05   5.27  16.66   6.60   5.42   7.45   2.34   9.50  -0.26   2.77
   1.87  -6.65  -5.78   1.81  11.24  -0.27   5.11  -2.75   8.17  -6.07  -1.42  -4.75  -4.99   0.74
   3.59   8.74   4.69   8.26   3.65  16.80   2.79  -2.58   5.89  10.18  -6.96   9.12  15.57   0.46
  -5.42  -2.19   3.10  -0.79  -0.69  -1.04   2.19  -3.06   8.03  -1.48   4.28   0.45   4.39   0.80
  -8.27   7.77   1.69  13.11  -0.25   0.76   3.25  -1.71   0.17   7.61  -4.33   2.13   3.17   1.62
   2.28  -5.31  17.14   5.82 -14.43   8.40  -1.88 -12.80  -9.08  -7.12  -1.19   1.38  -2.39  -2.78
   2.44  -5.49   3.18  -5.27   1.05  -1.59  11.11  -1.70  -0.70   0.68  -0.25  -3.69  13.35   2.03
   3.45   4.90   4.28   0.23  -5.10  10.65  -2.80   5.63   2.71 -15.84   5.60   1.88   7.94  -0.18
   1.53   6.12   2.62   1.47  12.88   8.74 -11.36  -5.56  -0.47   3.85  -5.91  -5.83   1.00  -0.79
   5.75   0.76   6.74  -3.57  13.02  -3.19   2.70   4.28   3.78  -5.12  -1.02   1.21  13.71   3.19
 -10.89   8.01  -4.20   8.09   3.31 -11.18  -7.67   0.63  -5.62   3.40  -2.05   4.14  -6.38  -1.24
   1.05   4.41  15.76  12.46   8.84  13.82   7.43   5.11  -1.61  -5.28  14.61   3.49 -13.33   1.69
   2.17  -3.50  -7.09  -2.08   5.67  10.92  -0.09   2.16   2.76   5.63   4.35   0.62  -2.35  -1.55
  -0.07  -3.44   4.14   5.92  -1.13   3.77   7.20  -1.33  -4.76   5.27   0.19   7.59  -1.14   0.75
  14.38   1.38  16.91   4.25   6.98  11.37   7.66   9.39   6.23   8.32   4.68  -0.25   9.99   3.00
  -5.17  -5.08   3.81  -7.55  -1.75  -4.84   6.03  -2.35  -0.94  -1.53  -3.63  -2.96  15.44  -3.28
  -5.11 -19.17   3.40  -5.72 -10.98  -7.80  -9.39  -4.59   0.83  -2.52  -7.25   1.85  -4.70  -4.87
  -5.37  -1.71  -2.40  -0.18  13.71   5.03  -2.59   3.48   0.25  -7.61   6.58   6.42  -1.60   0.85
   4.10   6.83  -3.08  -1.42  -0.02  -5.28  -2.53   2.62   4.35   0.70  -1.22  -7.42   4.90   0.90
   3.19  -8.35  -6.78   1.82  -2.63  -6.86  -4.10  -5.98  -4.19  -6.72  -5.67  -9.71  -0.97  -3.03
   6.65   1.09   8.31   8.45 -11.40   1.88   2.80   6.97   2.41  -1.41   4.74  -2.24  -1.46   2.79
   7.49  14.63   6.09  -8.61   6.21  -2.17  15.41   4.25   3.12   3.92   8.82   2.52  -1.33   3.39
   0.51  -9.01  -6.56  -5.51 -13.08  -7.10  -2.83  -0.70  -5.45 -11.10  -2.44   0.55 -12.74  -3.08
   0.65   0.96  10.26   6.83  -2.23 -16.15  11.60 -12.75  -0.32   3.02   5.63  -2.96   9.70   1.67
  -4.69  -6.44  -9.85  -8.49  -6.82  -3.42  -0.57  -3.11 -11.11   5.15  -1.04  -4.70   0.39  -4.39
   5.66   3.88   1.38   2.30   5.47  10.03   2.01   0.91  -8.01  -7.31  -1.27   8.76  -0.96   0.76
  -9.19   1.61  -6.82  -8.96   0.35  -8.19   0.15  -4.94  15.28  -1.61   5.13  -4.81  -8.32   1.95
  -1.28  21.97   0.01   2.98   6.72   9.68  13.95   7.57   8.45  -2.19   1.63   6.74  13.65   3.13
   5.93  -2.08   7.03   2.39   3.36   2.75   4.46   0.39   6.41   7.73  -0.85  -1.60  12.22   2.26
   7.66   3.51   5.39   1.61   0.08   2.09   9.39   8.42  -2.92  -2.63   5.53   6.54  19.30   2.33
   3.65  -1.57   2.52   7.36 -12.42   6.56  -0.66   5.49   8.44   0.15   2.39   0.85   8.61   3.16
   7.34  -0.39   6.18   1.25   1.01  -2.80  12.73   0.09  -3.09   3.41  -0.46   2.48  15.62   1.67
  13.26   8.44   9.63  -1.93  10.66   3.55   4.08   5.39  -2.85   8.06  -4.07   3.62  16.26   2.73
   0.16  -0.96  -5.07   5.58   5.85  -3.17   2.28   0.34  17.62  -1.86   0.28   4.88  -4.93  -0.48
  -7.88   9.37 -15.71   0.78  15.24  -0.97   4.03   5.35  -5.98   9.06  10.55  -1.37   6.59   3.57
  -3.99  -4.66  -0.04  -6.95  -1.49  -7.11  10.65   7.75  12.52   0.93   5.27  -5.34 -14.47  -0.94
  14.70   6.06   7.70  -2.19  -9.73  11.10 -10.84   5.23   7.30   6.36   6.34   2.37 -15.96   3.66
 -10.04 -12.00  -4.71   1.78  -1.27   8.59   0.72  11.12  -0.66   0.00  -4.47  -5.84 -11.15   1.32
   5.18   4.82   9.75   2.96   2.63  -0.89   0.78  -2.98  -1.25  -2.53   1.27   2.04 -10.37   2.85
   2.07  -3.89   3.29   5.53  -3.19  -2.26  18.48  -5.67   5.52  -6.44  -2.78   6.66   7.14   0.29
   9.70   2.82   1.46   9.59  -5.99   3.49  -6.79  -2.43  -1.53   6.52   2.94  -1.72   1.59   0.38
  -0.81  -5.94  -5.60   4.97  15.15   1.47  12.07  -2.77  -2.04  11.66  -0.24   5.47  10.98   0.93
  -1.09   8.62   1.92   1.32  -5.53   1.93   0.17  -0.07   5.86   1.17   3.58   6.28  -0.86   1.87
  -7.32   6.05   2.81 -11.73   6.59  -5.41  -6.65   6.21  -0.64  -1.18   2.70  -2.45 -11.76  -0.20
   1.24   0.49  -2.61   0.76  -5.61  -7.35 -12.10  -2.05  -6.83 -11.16  -1.45  -4.04 -13.37  -5.00
   6.69   1.86   4.13   3.05  -4.12   2.19  -0.99   2.54   4.56   7.36  -0.84   2.69   7.67   1.46
  -5.45   4.16   9.01  -7.14   5.42  -3.70  11.28  12.78   6.57   7.58   9.28   8.10  17.85   4.99
  -0.49   2.16  -8.84   0.82   1.16  11.30  -9.90   5.40  10.30   6.62   1.58   4.39 -13.11   2.20
   8.11   4.18  14.88   4.38   9.52   7.79  21.68   4.54  10.73   3.46   9.43   5.76  32.05   6.92
  -0.21   7.70  -5.31  -1.94   0.16  -3.66  -6.92  -2.62  -2.14   1.26  -1.44  -9.22  -0.14  -2.56
   7.82   0.70   3.27   0.39  14.75   5.41   4.31   1.94   5.53   0.57   7.08  -3.43  22.52   5.71
   3.17   3.99   0.39   1.92   0.07  -1.48   6.23   8.30   7.29  15.93   3.47   2.62  -2.01   0.18
  -4.99 -13.30   2.13  -4.99   0.79  -4.75  -5.11  -6.11  -9.92  -1.27  -4.90   2.76  -3.13  -4.69
   2.69  13.39  10.97  11.67   3.17   4.09  -2.07   2.59  14.74  -2.41   9.55   7.90  18.77   5.41
   4.95   5.65   9.27   7.49  -3.43  -0.42  -2.33  -2.37   4.84   6.45   9.22  -1.48   0.14   5.44
   1.97  15.23   9.58   0.92  10.09  -3.24   8.60  -0.93   2.73   7.05   2.04  10.72  -6.56   3.93
  16.99  -1.59   4.35   8.25  11.13  10.57  24.58   1.46  12.08   1.22   7.64   9.72  36.38   7.39
  -7.21  -6.35   3.25   4.77   2.48   1.79 -12.57  -6.84  -5.01  -6.20 -12.92  -6.74  -1.62  -6.17
  -0.72  29.32  -7.52   4.53  20.00   6.26  12.92   3.26  13.35  10.70   3.34   7.43  17.67   4.90
 -11.39  -3.33  -4.93  -2.67 -16.98  -4.52 -11.83   5.72  -4.83   3.87  -1.59   2.99 -20.80  -3.86
  -7.96   2.20  -6.89  -2.00   0.04  -4.71  -1.24  -0.19   8.59   8.33  11.61   2.13  -7.40   4.03
   4.22  16.43   0.74  12.51  -9.38   5.37   1.84  -5.25   6.52  10.94   4.33   9.99  -9.58   1.14
   8.11  -5.14  -0.93   5.46   6.13  -5.05  -4.03   5.41  -0.29  -2.03  -1.90  -2.83  20.97   0.60
  -4.03  11.13  13.25  10.48  -2.54  19.42  11.01   6.28   2.78   0.41   7.87   6.13   5.75   6.62
  -6.64   4.03   0.50  14.17  11.26  -2.14  -5.62  -9.96   1.49   6.55  -1.01   8.78  -7.10   4.58
  12.21   2.43   3.45   8.21  -4.81  -0.97  18.52   0.83  13.54   0.93  -2.71  -6.80  18.22   0.50
 -10.58 -10.64  -3.93  12.82  -6.12   7.00 -17.75  -2.76  -6.75  -1.03   1.64   1.17 -20.20  -2.30
  -5.37   5.01  -4.11  13.32  -2.56  -7.46  -4.07  -7.35   2.92  12.27   8.15   2.48  12.95   3.53
   4.70  -8.91  -8.17  -3.09  -3.70   7.82  -7.72  -2.46  -3.22 -22.81 -12.94  -2.68   1.55  -1.58
 -13.48 -30.97 -13.81 -22.12 -17.92 -19.34 -12.91 -15.71 -23.23  -5.79  -4.03  -4.34 -20.62 -14.99
  18.20  11.88   5.57   4.94 -10.87  -5.98   8.95   6.68   5.38  -5.56  -7.41 -22.30  11.49   5.86
  11.29  13.69   1.33  16.07  16.96  14.82  13.48  18.81   9.64   2.40  24.76  14.20  20.47   7.70
  -6.20   7.23   9.65   1.13  23.06  11.01   3.47   8.70   4.73   9.92  -1.57  11.21  19.09   5.55
   0.06   0.18  -7.32   6.22  37.11   2.05   9.08   3.67   8.44  11.30   3.84   2.56  11.75   5.27
  11.71  -9.42  -5.55   5.11  -9.05  25.05  14.37  -8.96  -2.38  -1.44  -0.53  -3.49  15.21   3.74
  -2.95  -4.24   4.83  -3.83  16.59  -7.82 -15.60  -5.51   0.56  -9.75  -1.88   3.63 -10.17  -3.60
   1.33   0.47   0.45  -4.80  -2.73   5.07   1.94   1.64   3.70  -8.44   9.06  -1.69  10.91   3.51
  50.78   6.72  40.43  13.24  20.88   2.01  15.96  27.54   5.81  20.70  -4.28  27.15   2.62   3.44
 -11.70  -4.30 -15.13 -11.03  -3.15  -7.50  19.20  -4.86  -4.33  -1.16  -0.84  -5.55   6.72  -2.87
  12.12  -4.02   8.96  -1.58  -1.41  -4.73   6.35  -2.60   1.55   7.49  -4.80   9.99  31.28   5.06
  -3.61 -14.53  -2.13 -13.63 -17.89  -7.77   3.79   6.64  -7.05   6.41   1.45   0.70  -0.32  -3.58
   7.77  -9.65  -3.81   7.08  -5.56   8.81   0.26  -7.05  -1.50  -0.76   9.20   5.77  13.58  -1.02
  -4.26   5.18  -3.59  -3.99  -8.78  -5.39 -14.12  -7.29   0.36  -4.39  -5.93   6.24  -0.16  -3.24
  -2.52  14.29   1.10   9.79  10.37  11.51 -18.66  19.03  10.04   6.93  11.80  20.20   8.77   5.85
   7.73  -2.08 -16.58  -8.40  -2.74   2.51  27.46   1.07  -1.78  -4.66   3.03 -20.17   6.61   1.48
  26.28   7.84   1.05   5.14  -3.11   0.52  19.63   2.32  -6.95  27.37   0.55  14.13   0.15   5.35
 -16.48   2.87  -9.58  -6.19  -3.80  10.39  -5.28  -5.51   0.88  -7.44  -7.91 -23.83  11.11  -5.53
  -1.81  -4.80 -17.84 -16.79 -12.15  -5.43  23.79 -17.57 -12.67  -7.76 -13.51  -7.93  53.71  -2.47
   2.08  26.26  12.00   9.89  10.62   8.40  -1.56   8.91  -1.72   1.15 -36.18  -6.57  -4.16   9.20
  -8.12  -6.41   0.35  19.77  -3.37  12.59   1.13   2.87   8.25  -4.55   5.85   4.83   1.35  -3.55
 -10.02  -7.20  -3.49 -11.78  -6.29 -24.51 -11.45   3.94  19.75  -6.58  10.81  -0.22 -11.76  -2.67
  -1.22  11.15 -11.91  -8.24   6.57 -18.26  28.97  -5.19  -6.14   1.96 -14.38  -9.57  -5.41   1.92
   3.81  35.08   1.06   8.95   3.78  -2.43 -13.06  -0.39   3.54   3.78  -0.54  -7.64 -15.02  -2.13
   9.82  -1.86   7.38   3.39   1.32  27.15  10.08   1.34  19.56  -5.08   8.17   9.61  13.55   5.56
 -24.37   0.10  -8.66   4.15   9.39 -10.46 -20.04  -4.63   1.99  -0.18   7.89  21.74 -30.00  -5.85
  12.82  -3.50   4.39   3.89   5.17  -4.93  -4.63  17.74   4.01  -7.03   6.64 -15.55   3.51  -1.00
  -1.82 -12.21  11.61 -13.43   1.75 -20.03 -32.50   5.45  -3.36  -4.11   4.30  -0.41 -24.46  -8.52
  18.37   5.73  19.87   2.54 -17.09   2.42  -0.43   0.98   4.45  12.97   4.28  13.71  26.49  -0.08
   9.69  -1.23  -6.25  21.13  13.13   4.99  16.32  -8.83  -5.24   8.38  -8.39  -5.02  -7.93   3.03
  -3.07 -17.81  -6.33  -1.75 -10.21  -0.18 -22.12  10.02  -1.03   1.26  -2.27   0.59 -32.94  -9.64
   0.16  -4.77   6.31   0.75   1.46  -3.13   8.30  -5.11 -12.87  -7.68 -11.57  -0.02   4.47  -6.79
  14.84   9.60  13.56   5.58   0.61   5.39  -9.40 -12.75   1.28  -0.18  -3.84   3.11  24.67   7.36
   4.29   4.25   7.59 -17.70  -5.22   4.42   2.83   1.47  11.65   2.59   6.68   1.83 -12.14   0.21
  -8.98   5.92  -7.88   0.53   0.21  12.80  -2.47  -7.35  -2.49  -0.50  -0.98  -7.09  -6.80  -2.79
  -0.72  -3.07  10.50   3.45   2.62  -1.46 -14.07   8.49 -14.91   9.95  11.62   2.83   7.92  -1.37
  -2.73  -7.02  -9.54 -21.09   1.49 -13.41  -6.16   1.76  -7.57  -7.68   4.13  -4.47  -4.34  -6.69
 -18.87 -13.77 -10.62 -12.90 -12.93 -21.86 -30.72   0.15  -8.50  -8.92  -2.05 -20.56 -24.75  -8.39
   4.37  12.44   0.42  -6.81  11.60  -3.86   4.68 -10.65   4.12   5.51   1.70  -4.00  11.95   1.63
  19.46   7.58   5.88  17.85  11.48  21.34  30.50   4.64  11.12  10.33   4.83  19.75  14.35   7.36
  -8.04   3.92  10.05 -17.14  12.99  -2.35  -6.37   3.14   0.47  -4.98   2.02   3.54 -12.78   0.62
   0.71  -3.90  -3.24  -2.17   3.08   5.09   7.51   0.70   2.25  -2.73   3.57  -0.83  11.40  -1.69
   5.07  -4.05  10.26  -2.89   7.90   4.43  -9.14   3.67  -6.39   4.35   3.66  15.35  -6.10  -2.22
   0.30   7.90   2.26  10.67   0.27  13.95 -10.59   3.60   7.04   8.87   6.10   6.02  12.63   3.52
  -9.97  -7.10  -3.45  -3.11 -11.21   5.98  -4.83   0.58  -1.98  -2.86   0.47  -2.98  -6.64  -6.29
   3.09  -3.15  -4.45  10.79   4.27  -2.48  11.49  -0.45  -1.89   8.11  -0.93  -3.65  -7.45  -1.05
  -5.37  -1.80  -6.49  -9.49  -1.07 -14.14 -19.68  -4.18 -15.42   2.31   0.40   2.19 -17.48  -7.39
 -18.09 -11.64  -8.11 -15.33  -4.73 -13.05  -7.53  -1.67 -15.19 -12.28  -0.03  -8.42  -2.37  -8.04
  -7.38   9.28  -2.51 -12.76  -7.20   3.75  -5.22  -2.12   3.89   4.47  -0.52   4.68 -15.04   0.35
 -23.21 -14.75 -14.85 -16.87   5.71 -18.86 -12.64  -4.98  -6.36  -3.84   0.69   0.10 -25.16 -11.14
  14.17   2.75  10.56 -12.78   6.10 -14.66  35.26  -9.21   9.47   6.38  -0.71  14.79   7.39   8.51
  16.40   9.68  22.05  34.41  -1.27  20.80  23.19  -2.39   6.12  -0.59  -4.53  -4.56  26.06   5.60
 -10.94  -8.41  -8.48 -18.38   3.13  -7.25 -10.57  -5.17 -13.21  -4.91   1.57  -0.84 -25.09  -6.13
 -13.31 -13.42  -3.14  -1.07  -3.09  -1.54   0.19  -2.52 -12.01   6.70  -0.05   6.37   5.97  -2.84
   4.35  -6.75   6.77  -8.77  -2.38  -5.77  -9.06  -1.16  -1.67  -4.69  -4.43  -7.20   5.25  -1.80
  -5.56  -2.38   4.59  -9.71   7.14  -0.54  -1.48  -0.16  -5.65  -7.22   8.69   0.26  -2.36   0.74
  19.00  15.08   7.53  38.20   8.64   7.13   4.73   9.39  24.98   7.39   1.26   8.73  12.99   8.01
   7.24  10.20  -0.95   1.85   6.76  -0.70  19.54   4.25   2.63   3.50   2.10   1.97  10.78   5.00
   3.54   4.36   6.65   4.59  -3.05   1.82   9.56   0.98   2.06  -5.09  -2.95  -3.24 -14.22   1.06
   8.83   8.08  21.77   1.47   3.73   3.90  -0.69  -7.25   9.44  -2.05  -1.03  -2.31   7.26   1.55
   3.31  -2.76   6.38   4.44   4.13  11.06  -5.94   5.52   3.56  -0.23  -0.74  -1.90  26.31   1.71
  -8.48   7.06  -4.24  -6.91  -3.98  -0.49  -2.54   1.00  -3.94  -2.17   6.26  -0.84  -4.48  -1.27
  20.60   5.36   6.91  13.48  17.51   4.17  15.16   2.83  -0.44   9.29   6.31   6.79  26.86   5.42
   4.33  -9.36   3.70   8.74  -4.12   1.35  -2.63   2.59  -3.66  -3.20  -2.16  -0.26   2.83   0.64
  15.74  -1.03   9.09  21.14  -7.14  24.75   5.95   9.53  11.42   4.04   3.71   5.55  -1.35   5.00
