IBM HPQ INTC JPM BAC
-8.97628 4.371732 -1.850008 4.407813 9.141442
2.868561 10.5211 14.87777 -5.921405 -2.255752
-0.3863454 -10.97189 -13.78849 5.348863 9.191716
-5.586584 1.138099 -7.016713 -2.105307 -2.657398
17.17778 1.186928 -2.634603 13.88363 0.3584568
12.44170 17.29368 6.276914 6.67517 6.180698
-9.735046 -6.589624 -3.349887 -1.583166 8.290722
-3.196653 11.76355 17.55587 -1.342268 -0.3124877
-0.6050266 0.5885646 10.83081 1.438898 1.552782
-7.53703 -6.432521 -2.769807 0.8889372 2.531583
8.237138 -12.40768 2.338444 -0.8032172 4.003480
6.504683 -0.5698204 6.052673 6.779322 -1.022611
8.482357 11.06725 17.87912 7.446812 2.700409
3.550710 -9.96789 14.13268 7.435766 8.148044
21.36409 19.96399 14.38588 9.716392 9.482734
-5.067454 -6.727078 3.151805 -5.575904 -5.163651
3.486412 4.618105 21.47266 4.040367 10.08747
-8.494152 6.438976 -13.41922 7.921036 10.42041
-4.627119 -4.799348 -1.957331 -6.445532 -7.20332
15.64899 -1.652885 9.620796 -1.211003 8.419224
7.730728 -1.923175 -1.066871 2.54533 -2.515885
4.243957 8.626668 -6.607998 2.675487 9.731544
15.84941 22.31436 25.87169 16.24428 9.768372
-4.028047 -12.94586 0.3398220 -2.113580 -17.51478
4.461288 12.51990 0.2032932 5.94663 4.026632
-7.338285 -12.11580 -18.09849 -1.659900 -3.390121
10.76932 -0.8147098 0.8084234 -5.967782 0.4171288
-4.554249 2.24853 -9.982918 0.6873324 1.863921
-5.77912 -3.673868 14.27592 -1.557770 -1.553606
5.791035 10.82668 10.18822 14.62055 13.45746
-0.5400557 -5.34166 -13.88219 8.356327 6.796514
10.93234 17.34061 3.499256 3.215543 4.113043
1.579657 -19.03134 -12.33084 -1.912676 -0.6600737
-2.313762 -3.723469 3.692963 10.50850 2.054941
14.32827 -7.587615 13.02587 0.6403454 3.915821
-16.05679 -13.35314 -17.02736 -36.49736 -32.7112
13.18648 8.927839 18.61185 -19.67098 -6.502611
14.46560 12.93910 3.930436 28.19700 7.210296
10.74489 3.766373 18.82837 11.02991 12.54831
11.02687 9.026657 9.678727 11.26249 -7.3385
-0.6120693 13.74122 17.28763 8.498157 10.63994
-7.522906 -16.52438 -16.10118 3.433476 -2.364127
4.323476 2.284114 -0.8898474 2.173997 8.455252
16.56695 15.11181 2.901788 1.86873 1.318667
10.45402 17.87494 -12.32473 -13.09370 -10.10034
10.81582 6.51349 9.58355 17.82834 13.12826
-2.794999 4.082231 14.81303 -11.02212 -9.941047
-0.802814 0.6545531 17.52617 8.247268 -9.267685
-2.901695 -14.76558 -10.07235 -10.46141 -7.483885
-20.82759 -20.15129 4.119185 15.09900 14.59402
4.898443 24.59644 -0.9341496 -11.52795 -9.66695
4.563758 18.28481 7.07846 -0.08043234 -14.33474
3.975519 -4.956006 18.39652 4.295795 -3.549144
-8.726195 21.71207 13.31646 -1.325547 -5.163335
13.83853 -1.095175 15.49409 9.073245 14.04704
-5.66603 1.586548 -3.961855 -18.30266 -6.780144
-3.648765 -11.62215 -1.665798 3.491241 13.24150
2.016825 25.81091 6.969396 -7.784803 -25.40565
2.590261 -13.42471 -0.1403985 8.217428 9.689438
16.1389 10.06559 11.50665 11.73634 13.20462
-15.98484 -21.73628 -58.86214 -19.04078 -2.241945
-13.28962 -4.211137 7.946439 -0.7988826 -8.592724
-5.07061 -38.55037 -16.69074 -21.01780 -17.12617
-9.531008 0.05528472 -23.59515 20.88036 13.86048
27.58476 15.48861 20.76392 19.66164 15.97248
-11.30287 -24.47452 -25.81233 -16.42640 -6.347349
-3.7948 8.310417 -8.205097 -3.844981 9.175478
17.99270 -9.521438 16.10358 7.340751 2.257427
-2.818551 3.082499 -13.41327 2.409243 6.582145
1.067581 -2.206976 7.967218 -9.714326 1.307909
-7.142941 -14.82239 1.896404 -2.176004 5.808304
-4.988902 -6.059962 -6.335416 -9.43865 -3.389086
-8.592942 -36.39024 -31.32816 -14.30035 -4.217812
16.40388 4.745403 17.79085 4.438811 1.005231
6.848074 26.74245 29.13605 6.460914 3.971578
4.541017 -6.432628 -3.775171 -3.699599 3.47434
-11.43474 7.365558 10.80909 -5.542815 0.1270193
-9.349563 -9.431617 -20.41329 -15.19503 2.38298
5.820004 -11.02324 6.31147 19.78692 6.169981
-21.64349 -4.795466 -6.101514 -0.590842 6.350893
-3.845708 11.00859 -3.449207 2.392842 4.491983
-11.09696 -21.73976 -41.32801 -5.812394 -6.611416
-2.247263 -7.683029 2.806448 -29.31999 -5.642327
7.033637 -5.22232 -11.85156 5.608918 5.243589
-25.67688 -13.36377 -18.24420 -32.94517 -8.452357
30.29147 30.29886 21.95371 10.48869 8.988092
9.802467 20.93780 18.90423 19.31065 0.4002977
-11.47096 -11.06221 -29.34453 -4.759907 0.1853282
0.8991455 0.2875861 0.831434 -1.342268 0.6876304
-0.1279819 -9.38756 9.58891 -2.868552 -1.163037
0.6139117 -1.397723 -5.845467 4.441298 -2.574764
7.926764 4.710398 12.07812 22.49132 10.24393
3.813262 17.92493 12.6155 11.29634 0.2023950
-6.499302 9.20412 -0.04801152 3.938416 7.112925
-1.526796 -0.61217 17.90328 3.478879 4.381878
1.125937 -6.035847 13.92905 -2.396488 -4.103868
7.423882 -2.489328 -3.814433 0.3209843 -0.5186426
1.293498 14.18259 18.00782 5.414343 -3.004692
1.354189 -2.588104 1.834372 -1.402590 -0.3968866
2.336099 5.851227 -4.544203 3.688240 7.407911
6.828742 3.507656 -4.891507 6.584766 1.272470
-2.624028 -4.645973 -4.284487 5.332273 0.5631115
-4.949491 0.9204508 -7.095157 2.241881 -0.1710462
-4.078137 -14.78946 -5.555922 -10.04725 -0.6069381
0.678195 7.526794 10.53991 -2.042008 3.227259
-0.4979377 -0.2828998 -3.384121 5.106282 2.717441
-1.232767 -4.606907 -12.40530 -2.878226 0.4598411
-2.559169 -11.89626 -13.36480 5.852642 5.659581
1.232177 5.120914 -5.951012 0.3782836 -2.704032
4.570828 -0.4811557 10.40636 -2.008435 3.313976
5.072448 6.934974 0.716229 -2.491891 3.250882
4.502403 5.116829 4.414128 3.54849 2.49716
-5.376266 -6.80733 -4.101785 -3.495383 -1.328181
-0.7090075 5.993356 6.96753 -2.111639 0.6019844
-1.304674 5.699829 -3.219267 -5.482795 -4.606069
-17.93061 -6.935115 1.240672 3.493172 2.109101
-0.8282203 9.499922 13.94662 0.7299295 2.802267
-1.803058 4.686355 -3.548833 -1.210092 -0.5628812
11.76035 4.61333 4.214336 0.451977 -4.506954
-3.21431 12.00374 -5.063456 -3.62201 -0.1606289
-0.4974352 5.330851 -4.249214 0.1179304 -2.184998
2.048181 -4.053662 -4.777633 8.55362 3.82154
8.450474 5.650414 12.99075 4.354883 5.882064
-7.83573 -3.289103 -6.663993 3.695565 0.5650009
-1.100938 8.532137 -16.06830 1.002756 -4.249423
-1.063434 5.095639 -2.645794 3.437147 3.597217
2.741281 0.5167625 -5.69302 1.208073 0.4135437
-0.1577243 -1.315616 2.637120 9.347486 9.18305
-2.633371 -0.2775849 -9.771537 -6.227868 -2.064464
-3.931064 -1.933370 5.295671 -1.512277 -0.6217287
0.7650659 0.7233773 -5.406767 9.01021 6.88822
4.866063 13.6035 8.872308 0.08766157 0.9656228
1.190881 0.5727566 4.983628 2.807323 3.998965
11.93818 5.436886 3.674939 1.731129 0.5584378
-0.1191710 1.841441 0.7236751 -2.475591 0.9974093
5.533726 4.484812 -5.500227 4.272131 -0.8578692
2.037795 4.949468 3.446133 5.967452 -1.528726
-6.14574 -9.519459 -4.825896 -3.07046 -2.289203
1.410308 2.186814 -3.744956 -2.066098 0.3731031
8.097243 4.862444 11.6795 8.058318 -0.2354770
4.579903 8.132005 3.619306 -0.5195473 0.7242708
-1.274487 -2.234377 6.797075 -6.743658 -3.654988
5.00332 3.111100 -0.5063799 -8.751841 -3.052931
5.657124 6.964453 9.070048 1.152137 6.648693
0.9467046 1.048187 0.4262901 2.87818 0.4527734
-1.436367 3.725628 3.942935 3.347926 -4.039084
-9.5155 -1.011296 -2.665306 -2.980169 -4.555401
2.738362 -1.179732 2.199532 -4.414313 -9.617726
-0.9200192 -14.37711 -23.38911 9.040362 6.769977
6.462039 8.859221 -4.868302 -15.36233 -10.52350
1.117928 -4.342434 5.883101 5.503822 -3.040251
4.715931 1.499895 4.973353 11.17891 -0.9807941
7.36881 1.520186 4.651997 -10.2683 -9.87524
-8.797366 -6.066444 -7.616748 -22.57632 -32.75739
7.670823 1.325674 3.251946 17.83788 32.08501
-4.59696 4.623548 3.628757 -5.410778 -5.498008
-3.99734 -1.287047 -19.96993 19.33456 13.49757
-22.95553 -18.89173 -15.56017 -11.49228 -37.02365
-12.43383 -8.161144 -13.97622 -26.45973 -39.70194
3.089092 3.042833 6.045425 -0.4114453 -12.08645
