Mon Day Year HK    JP
4 27 2006 16742.85 17114.54
4 28 2006 16661.3 16906.23
5 2 2006 16868.04 17153.77
5 8 2006 17301.79 17291.67
5 9 2006 17133.99 17190.91
5 10 2006 17080.59 16951.93
5 11 2006 17140.78 16862.14
5 12 2006 16901.85 16601.78
5 15 2006 16494.84 16486.91
5 16 2006 16393.11 16158.42
5 17 2006 16615.55 16307.67
5 18 2006 16266.52 16087.18
5 19 2006 16313.36 16155.45
5 22 2006 15805.52 15857.87
5 23 2006 15864.56 15599.2
5 24 2006 15822.64 15907.2
5 25 2006 15696.89 15693.75
5 26 2006 15895.1 15970.76
5 29 2006 15963.77 15915.68
5 30 2006 15857.89 15859.45
6 1 2006 15645.27 15503.74
6 2 2006 15912.71 15789.31
6 5 2006 16016.23 15668.31
6 6 2006 15973.11 15384.86
6 7 2006 15816.55 15096.01
6 8 2006 15450.11 14633.03
6 9 2006 15628.69 14750.84
6 12 2006 15621.44 14833.01
6 13 2006 15234.42 14218.6
6 14 2006 15247.92 14309.56
6 15 2006 15435.08 14470.76
6 16 2006 15842.65 14879.34
6 19 2006 15768.86 14860.35
6 20 2006 15608.97 14648.41
6 21 2006 15659.36 14644.26
6 22 2006 15826.7 15135.69
6 23 2006 15808.81 15124.04
6 26 2006 15804.81 15152.4
6 27 2006 15774.7 15171.81
6 28 2006 15742.66 14886.11
6 29 2006 15865.22 15121.15
6 30 2006 16267.62 15505.18
7 3 2006 16326.66 15571.62
7 4 2006 16368.98 15638.5
7 5 2006 16267.18 15523.94
7 6 2006 16440.99 15321.4
7 7 2006 16459.78 15307.61
7 10 2006 16603.81 15552.81
7 11 2006 16490.13 15473.82
7 12 2006 16522.21 15249.32
7 13 2006 16305.48 15097.95
7 14 2006 16135.71 14845.24
7 18 2006 16043.94 14437.24
7 19 2006 16097.54 14500.26
7 20 2006 16472.62 14946.84
7 21 2006 16464.18 14821.26
7 24 2006 16480.59 14794.5
7 25 2006 16583.86 15005.24
7 26 2006 16617.24 14884.07
7 27 2006 16916.77 15179.78
7 28 2006 16955.04 15342.87
7 31 2006 16971.34 15456.81
8 1 2006 16911.37 15440.91
8 2 2006 17032.75 15464.29
8 3 2006 17048.42 15470.37
8 4 2006 16887.8 15499.18
8 7 2006 16953.55 15154.06
8 8 2006 17048.2 15464.66
8 9 2006 17346.58 15656.59
8 10 2006 17222.14 15630.91
8 11 2006 17249.95 15565.02
8 14 2006 17290.01 15857.11
8 15 2006 17274.07 15816.19
8 16 2006 17451.03 16071.36
8 17 2006 17373.05 16020.84
8 18 2006 17330.7 16105.98
8 21 2006 17007.88 15969.04
8 22 2006 17149.75 16181.17
8 23 2006 17088.39 16163.03
8 24 2006 16883.04 15960.62
8 25 2006 16955.45 15938.66
8 28 2006 16922.29 15762.59
8 29 2006 17083.28 15890.56
8 30 2006 17284.71 15872.02
8 31 2006 17392.27 16140.76
9 1 2006 17423.72 16134.25
9 4 2006 17513.88 16358.07
9 5 2006 17438.8 16385.96
9 6 2006 17258.51 16284.09
9 7 2006 17096.44 16012.41
9 8 2006 17145.76 16080.46
9 11 2006 16948.59 15794.38
9 12 2006 17075.4 15719.34
9 13 2006 17210.04 15750.05
9 14 2006 17183.45 15942.39
9 15 2006 17237.65 15866.93
9 19 2006 17346.7 15874.28
9 20 2006 17512.96 15718.67
9 21 2006 17619.97 15834.23
9 22 2006 17600.65 15634.67
9 25 2006 17546.04 15633.81
9 26 2006 17308.08 15557.45
9 27 2006 17521.51 15947.87
9 28 2006 17530.57 16024.85
9 29 2006 17543.05 16127.58
10 2 2006 17543.05 16254.29
10 3 2006 17606.53 16242.09
10 4 2006 17629.21 16082.55
10 5 2006 17907.67 16449.33
10 6 2006 17903.39 16436.06
10 10 2006 17823.7 16477.25
10 11 2006 17862.79 16400.57
10 12 2006 17873.09 16368.81
10 13 2006 17988.86 16536.54
10 16 2006 18010.2 16692.76
10 17 2006 18014.84 16611.59
10 18 2006 18048.09 16653
10 19 2006 17986.97 16551.36
10 20 2006 18113.55 16651.63
10 23 2006 18089.85 16788.82
10 24 2006 18153.41 16780.47
10 25 2006 18157.94 16699.3
10 26 2006 18353.74 16811.6
10 27 2006 18297.55 16669.07
10 30 2006 18297.55 16351.85
10 31 2006 18324.35 16399.39
11 1 2006 18453.65 16375.26
11 2 2006 18714.78 16350.02
11 6 2006 18936.55 16364.76
11 7 2006 18939.31 16393.41
11 8 2006 18811.24 16215.74
11 9 2006 18952.86 16198.57
11 10 2006 18891.14 16112.43
11 13 2006 18868.54 16022.49
11 14 2006 18878.42 16289.55
11 15 2006 19093 16243.47
11 16 2006 19154.07 16163.87
11 17 2006 19182.71 16091.73
11 20 2006 18954.63 15725.94
11 21 2006 19008.3 15734.14
11 22 2006 19250.79 15914.23
11 24 2006 19260.3 15734.6
11 27 2006 19204.01 15885.38
11 28 2006 18639.53 15855.26
11 29 2006 18780.93 16076.2
11 30 2006 18960.48 16274.33
12 1 2006 18690.82 16321.78
12 4 2006 18702.73 16303.59
12 5 2006 18944.19 16265.76
12 6 2006 19026.36 16371.28
12 7 2006 18842.99 16473.36
12 8 2006 18739.99 16417.82
12 11 2006 18924.66 16527.99
12 12 2006 18907.17 16637.78
12 13 2006 18718.19 16692.93
12 14 2006 18919.4 16829.2
12 15 2006 19110.65 16914.31
12 18 2006 19192.91 16962.11
12 19 2006 18964.55 16776.88
12 20 2006 19240.12 17011.04
12 21 2006 19222.84 17047.83
12 22 2006 19320.52 17104.96
12 27 2006 19725.73 17248.63
12 28 2006 20001.91 17224.81
12 29 2006 19964.72 17225.83
1 4 2007 20025.58 17353.67
1 5 2007 20211.28 17091.59
1 9 2007 19898.08 17237.77
1 10 2007 19568.34 16942.4
1 11 2007 19385.37 16838.17
1 12 2007 19613.41 17057.01
1 15 2007 20068.56 17209.92
1 16 2007 20027.95 17202.46
1 17 2007 20064.57 17261.35
1 18 2007 20277.51 17370.93
1 19 2007 20327.72 17310.44
1 22 2007 20772.22 17424.18
1 23 2007 20769.7 17408.57
1 24 2007 20821.05 17507.4
1 25 2007 20669.83 17458.3
1 26 2007 20281.13 17421.93
1 29 2007 20236.68 17470.46
1 30 2007 20460.46 17490.19
1 31 2007 20106.42 17383.42
2 1 2007 20430.16 17519.5
2 2 2007 20563.68 17547.11
2 5 2007 20455.62 17344.8
2 6 2007 20655.2 17406.86
2 7 2007 20679.69 17292.32
2 8 2007 20735.05 17292.48
2 9 2007 20677.66 17504.33
2 13 2007 20132.25 17621.45
2 14 2007 20209.91 17752.64
2 15 2007 20538.42 17897.23
2 16 2007 20567.91 17875.65
2 19 2007 20567.91 17940.09
2 21 2007 20651.42 17913.21
2 22 2007 20809.23 18108.79
2 23 2007 20711.65 18188.42
2 26 2007 20507.95 18215.35
2 27 2007 20147.87 18119.92
2 28 2007 19651.51 17604.12
3 1 2007 19346.6 17453.51
3 2 2007 19442.01 17217.93
3 5 2007 18664.88 16642.25
3 6 2007 19058.56 16844.5
3 7 2007 18918.64 16764.62
3 8 2007 19175.17 17090.31
3 9 2007 19134.88 17164.04
3 12 2007 19442.42 17292.39
3 13 2007 19333.14 17178.84
3 14 2007 18836.93 16676.89
3 15 2007 18969.44 16860.39
3 16 2007 18953.5 16744.15
3 19 2007 19266.74 17009.55
3 20 2007 19356.9 17163.2
3 22 2007 19690.25 17419.2
3 23 2007 19692.64 17480.61
3 26 2007 19765.85 17521.96
3 27 2007 19706.79 17365.05
3 28 2007 19553.87 17254.73
3 29 2007 19821.78 17263.94
3 30 2007 19800.93 17287.65
4 2 2007 19809.7 17028.41
4 3 2007 20002.7 17244.05
4 4 2007 20209.71 17544.09
4 10 2007 20347.87 17664.69
4 11 2007 20449.43 17670.07
4 12 2007 20380.21 17540.42
4 13 2007 20340.97 17363.95
4 16 2007 20757.53 17628.3
4 17 2007 20788.61 17527.45
4 18 2007 20777.09 17667.33
4 19 2007 20299.71 17371.97
4 20 2007 20566.59 17452.62
4 23 2007 20556.57 17455.37
4 24 2007 20572.8 17451.77
4 25 2007 20536.78 17236.16
4 26 2007 20667.29 17429.17
4 27 2007 20526.5 17400.41
5 1 2007 20318.98 17274.98
5 2 2007 20388.49 17394.92
5 7 2007 20896.64 17669.83
5 8 2007 20706.35 17656.84
5 9 2007 20844.78 17748.12
5 10 2007 20746.27 17736.96
5 11 2007 20468.21 17553.72
5 14 2007 20979.24 17677.94
5 15 2007 20868.15 17512.98
5 16 2007 20937.26 17529
5 17 2007 20994.61 17498.6
5 18 2007 20904.84 17399.58
5 21 2007 20927.75 17556.87
5 22 2007 20843.92 17680.05
5 23 2007 20798.97 17705.12
5 24 2007 20798.97 17696.97
5 25 2007 20520.66 17481.21
5 28 2007 20529.76 17587.59
5 29 2007 20469.59 17672.56
5 30 2007 20293.76 17588.26
5 31 2007 20634.47 17875.75
6 1 2007 20602.87 17958.88
6 4 2007 20729.59 17973.42
6 5 2007 20842.15 18053.81
6 6 2007 20818.61 18040.93
6 7 2007 20800.16 18053.38
6 8 2007 20509.15 17779.09
6 11 2007 20615.49 17834.48
6 12 2007 20636.39 17760.91
6 13 2007 20578.75 17732.77
6 14 2007 20867.26 17842.29
6 15 2007 21017.05 17971.49
6 18 2007 21582.89 18149.52
6 19 2007 21582.89 18163.61
6 20 2007 21684.67 18211.68
6 21 2007 21954.67 18240.3
6 22 2007 21999.91 18188.63
6 25 2007 21822.35 18087.48
6 26 2007 21803.57 18066.11
6 27 2007 21705.56 17849.28
6 28 2007 21938.22 17932.27
6 29 2007 21772.73 18138.36
7 3 2007 22151.14 18149.9
7 4 2007 22218.55 18168.72
7 5 2007 22252.99 18221.48
7 6 2007 22531.74 18140.94
7 9 2007 22817.43 18261.98
7 10 2007 22885.84 18252.67
7 11 2007 22607.02 18049.51
7 12 2007 22809.02 17984.14
7 13 2007 23099.29 18238.95
7 17 2007 23057.3 18217.27
7 18 2007 22841.92 18015.58
7 19 2007 23016.2 18116.57
7 20 2007 23291.9 18157.93
7 23 2007 23365.56 17963.64
7 24 2007 23472.88 18002.03
7 25 2007 23362.18 17858.42
7 26 2007 23211.69 17702.09
7 27 2007 22570.41 17283.81
7 30 2007 22739.9 17289.3
7 31 2007 23184.94 17248.89
8 1 2007 22455.36 16870.98
8 2 2007 22443.25 16984.11
8 3 2007 22538.44 16979.86
8 6 2007 21936.73 16914.46
8 7 2007 21907.99 16921.77
8 8 2007 22536.67 17029.28
8 9 2007 22439.36 17170.6
8 10 2007 21792.71 16764.09
8 13 2007 21891.1 16800.05
8 14 2007 22007.32 16844.61
8 15 2007 21375.72 16475.61
8 16 2007 20672.39 16148.49
8 17 2007 20387.13 15273.68
8 20 2007 21595.63 15732.48
8 21 2007 21729.35 15901.34
8 22 2007 22346.88 15900.64
8 23 2007 22966.97 16316.32
8 24 2007 22921.89 16248.97
8 27 2007 23577.73 16301.39
8 28 2007 23363.76 16287.49
8 29 2007 23020.6 16012.83
8 30 2007 23484.54 16153.82
8 31 2007 23984.14 16569.09
9 3 2007 23904.09 16524.93
9 4 2007 23886.07 16420.47
9 5 2007 24069.17 16158.45
9 6 2007 24050.4 16257
9 7 2007 23982.61 16122.16
9 10 2007 23999.7 15764.97
9 11 2007 23952.24 15877.67
9 12 2007 24310.14 15797.6
9 13 2007 24537.02 15821.19
9 14 2007 24898.11 16127.42
9 18 2007 24576.85 15801.8
9 19 2007 25554.64 16381.54
9 20 2007 25701.13 16413.79
9 21 2007 25843.78 16312.61
9 25 2007 26430.29 16401.73
9 26 2007 26430.29 16435.74
9 27 2007 27065.15 16832.22
9 28 2007 27142.47 16785.69
10 1 2007 27142.47 16845.96
10 2 2007 28199.75 17046.78
10 3 2007 27479.94 17199.89
10 4 2007 26973.98 17092.49
10 5 2007 27831.52 17065.04
10 9 2007 28228.04 17159.9
10 10 2007 28569.33 17177.89
10 11 2007 29133.02 17458.98
10 12 2007 28838.37 17331.17
10 15 2007 29540.78 17358.15
10 16 2007 28954.55 17137.92
10 17 2007 29298.71 16955.31
10 18 2007 29465.05 17106.09
10 19 2007 29465.05 16814.37
10 22 2007 28373.63 16438.47
10 23 2007 29376.86 16450.58
10 24 2007 29333.53 16358.39
10 25 2007 29854.49 16284.17
10 26 2007 30405.22 16505.63
10 29 2007 31586.9 16698.08
10 30 2007 31638.22 16651.01
10 31 2007 31352.58 16737.63
11 1 2007 31492.88 16870.4
11 2 2007 30468.34 16517.48
11 5 2007 28942.32 16268.92
11 6 2007 29438.13 16249.63
11 7 2007 29708.93 16096.68
11 8 2007 28760.22 15771.57
11 9 2007 28783.41 15583.42
11 12 2007 27665.73 15197.09
11 13 2007 27803.35 15126.63
11 14 2007 29166.01 15499.56
11 15 2007 28751.21 15396.3
11 16 2007 27614.43 15154.61
11 19 2007 27460.17 15042.56
11 20 2007 27771.21 15211.52
11 21 2007 26618.19 14837.66
11 22 2007 26004.92 14888.77
11 26 2007 27626.62 15135.21
11 27 2007 27210.21 15222.85
11 28 2007 27371.24 15153.78
11 29 2007 28482.54 15513.74
11 30 2007 28643.61 15680.67
12 3 2007 28658.42 15628.97
12 4 2007 28879.59 15480.19
12 5 2007 29345.45 15608.88
12 6 2007 29558.92 15874.08
12 7 2007 28842.47 15956.37
12 10 2007 28501.1 15924.39
12 11 2007 29226.84 16044.72
12 12 2007 28521.06 15932.26
12 13 2007 27744.45 15536.52
12 14 2007 27563.64 15514.51
12 17 2007 26596.58 15249.79
12 18 2007 26732.87 15207.86
12 19 2007 27029.26 15030.51
12 20 2007 27017.09 15031.6
12 21 2007 27626.92 15257
12 27 2007 27842.93 15564.69
12 28 2007 27370.6 15307.78
1 4 2008 27519.69 14691.41
1 7 2008 27179.49 14500.55
1 8 2008 27112.9 14528.67
1 9 2008 27615.85 14599.16
1 10 2008 27230.86 14388.11
1 11 2008 26867.01 14110.79
1 15 2008 25837.78 13972.63
1 16 2008 24450.85 13504.51
1 17 2008 25114.98 13783.45
1 18 2008 25201.87 13861.29
1 21 2008 23818.86 13325.94
1 22 2008 21757.63 12573.05
1 23 2008 24090.17 12829.06
1 24 2008 23539.27 13092.78
1 25 2008 25122.37 13629.16
1 28 2008 24053.61 13087.91
1 29 2008 24291.8 13478.86
1 30 2008 23653.69 13345.03
1 31 2008 23455.74 13592.47
2 1 2008 24123.58 13497.16
2 4 2008 25032.08 13859.7
2 5 2008 24808.7 13745.5
2 6 2008 23469.46 13099.24
2 12 2008 22921.67 13021.96
2 13 2008 23169.55 13068.3
2 14 2008 24021.68 13626.45
2 15 2008 24148.43 13622.56
2 19 2008 24123.17 13757.91
2 20 2008 23590.58 13310.37
2 21 2008 23623 13688.28
2 22 2008 23305.04 13500.46
2 25 2008 23269.14 13914.57
2 26 2008 23714.75 13824.72
2 27 2008 24483.84 14031.3
2 28 2008 24591.69 13925.51
2 29 2008 24331.67 13603.02
3 3 2008 23584.97 12992.18
3 4 2008 23119.87 12992.28
3 5 2008 23114.34 12972.06
3 6 2008 23342.73 13215.42
3 7 2008 22501.33 12782.8
3 10 2008 22705.05 12532.13
3 11 2008 22995.35 12658.28
3 12 2008 23422.76 12861.13
3 13 2008 22301.64 12433.44
3 14 2008 22237.11 12241.6
3 17 2008 21084.61 11787.51
3 18 2008 21384.61 11964.16
3 19 2008 21866.94 12260.44
3 24 2008 21108.22 12480.09
3 25 2008 22464.52 12745.22
3 26 2008 22617.01 12706.63
3 27 2008 22664.22 12604.58
3 28 2008 23285.95 12820.47
3 31 2008 22849.2 12525.54
4 1 2008 23137.46 12656.42
4 2 2008 23872.43 13189.36
4 3 2008 24264.63 13389.9
4 4 2008 24264.63 13293.22
4 7 2008 24578.76 13450.23
4 8 2008 24311.69 13250.43
4 9 2008 23984.57 13111.89
4 10 2008 24187.1 12945.3
4 11 2008 24667.79 13323.73
4 14 2008 23811.2 12917.51
4 15 2008 23901.33 12990.58
4 16 2008 23878.35 13146.13
4 17 2008 24258.96 13398.3
4 18 2008 24197.78 13476.45
4 21 2008 24721.67 13696.55
4 22 2008 24939.15 13547.82
4 23 2008 25289.24 13579.16
4 24 2008 25680.78 13540.87
4 25 2008 25516.78 13863.47
4 28 2008 25666.29 13894.37
4 30 2008 25755.35 13849.99
5 1 2008 25755.35 13766.86
5 2 2008 26241.02 14049.26
5 7 2008 25610.21 14102.48
5 8 2008 25449.79 13943.26
5 9 2008 25063.17 13655.34
5 12 2008 25063.17 13743.36
5 13 2008 25552.77 13953.73
5 14 2008 25533.48 14118.55
5 15 2008 25513.71 14251.74
5 16 2008 25618.86 14219.48
5 19 2008 25742.23 14269.61
5 20 2008 25169.46 14160.09
5 21 2008 25460.29 13926.3
5 22 2008 25043.12 13978.46
5 23 2008 24714.07 14012.2
5 26 2008 24127.31 13690.19
5 27 2008 24282.04 13893.31
5 28 2008 24249.51 13709.44
5 29 2008 24383.99 14124.47
5 30 2008 24533.12 14338.54
6 2 2008 24831.36 14440.14
6 3 2008 24375.76 14209.17
6 4 2008 24123.25 14435.57
6 5 2008 24255.29 14341.12
6 6 2008 24402.18 14489.44
6 10 2008 23375.52 14021.17
6 11 2008 23327.6 14183.48
6 12 2008 23023.86 13888.6
6 13 2008 22592.3 13973.73
6 16 2008 23029.69 14354.37
6 17 2008 23057.99 14348.37
6 18 2008 23325.8 14452.82
6 19 2008 22797.61 14130.17
6 20 2008 22745.6 13942.08
6 23 2008 22714.96 13857.47
6 24 2008 22456.02 13849.56
6 25 2008 22635.16 13829.92
6 26 2008 22455.67 13822.32
6 27 2008 22042.35 13544.36
6 30 2008 22102.01 13481.38
7 2 2008 21704.45 13286.37
7 3 2008 21242.78 13265.4
7 4 2008 21423.82 13237.89
7 7 2008 21913.06 13360.04
7 8 2008 21220.81 13033.1
7 9 2008 21805.81 13052.13
7 10 2008 21821.78 13067.21
7 11 2008 22184.55 13039.69
7 14 2008 22014.46 13010.16
7 15 2008 21174.77 12754.56
7 16 2008 21223.5 12760.8
7 17 2008 21734.72 12887.95
7 18 2008 21874.19 12803.7
7 22 2008 22527.48 13184.96
7 23 2008 23134.55 13312.93
7 24 2008 23087.72 13603.31
7 25 2008 22740.71 13334.76
7 28 2008 22687.21 13353.78
7 29 2008 22258 13159.45
7 30 2008 22690.6 13367.79
7 31 2008 22731.1 13376.81
8 1 2008 22862.6 13094.59
8 4 2008 22514.92 12933.18
8 5 2008 21949.75 12914.66
8 7 2008 22104.2 13124.99
8 8 2008 21885.21 13168.41
8 11 2008 21859.34 13430.91
8 12 2008 21640.89 13303.6
8 13 2008 21293.32 13023.05
8 14 2008 21392.71 12956.8
8 15 2008 21160.58 13019.41
8 18 2008 20930.67 13165.45
8 19 2008 20484.37 12865.05
8 20 2008 20931.26 12851.69
8 21 2008 20392.06 12752.21
8 22 2008 20392.06 12666.04
8 25 2008 21104.79 12878.66
8 26 2008 21056.66 12778.71
8 27 2008 21464.72 12752.96
8 28 2008 20972.29 12768.25
8 29 2008 21261.89 13072.87
9 1 2008 20906.31 12834.18
9 2 2008 21042.46 12609.47
9 3 2008 20585.06 12689.59
9 4 2008 20389.48 12557.66
9 5 2008 19933.28 12212.23
9 8 2008 20794.27 12624.46
9 9 2008 20491.11 12400.65
9 10 2008 19999.78 12346.63
9 11 2008 19388.72 12102.5
9 12 2008 19352.9 12214.76
9 16 2008 18300.61 11609.72
9 17 2008 17637.19 11749.79
9 18 2008 17632.46 11489.3
9 19 2008 19327.73 11920.86
9 22 2008 19632.2 12090.59
9 24 2008 18961.99 12115.03
9 25 2008 18934.43 12006.53
9 26 2008 18682.09 11893.16
9 29 2008 17880.68 11743.61
9 30 2008 18016.21 11259.86
10 2 2008 18211.11 11154.76
10 3 2008 17682.4 10938.14
10 6 2008 16803.76 10473.09
10 7 2008 16803.76 10155.9
10 8 2008 15431.73 9203.32
10 9 2008 15943.24 9157.49
10 10 2008 14796.87 8276.43
10 14 2008 16832.88 9447.57
10 15 2008 15998.3 9547.47
10 16 2008 15230.52 8458.45
10 17 2008 14554.21 8693.82
10 20 2008 15323.01 9005.59
10 21 2008 15041.17 9306.25
10 22 2008 14266.6 8674.69
10 23 2008 13760.49 8460.98
10 24 2008 12618.38 7649.08
10 27 2008 11015.84 7162.9
10 28 2008 12596.29 7621.92
10 29 2008 12702.07 8211.9
10 30 2008 14329.85 9029.76
10 31 2008 13968.67 8576.98
11 4 2008 14384.34 9114.6
11 5 2008 14840.16 9521.24
11 6 2008 13790.04 8899.14
11 7 2008 14243.43 8583
11 10 2008 14744.63 9081.43
11 11 2008 14040.9 8809.3
11 12 2008 13939.09 8695.51
11 13 2008 13221.35 8238.64
11 14 2008 13542.66 8462.39
11 17 2008 13529.53 8522.58
11 18 2008 12915.89 8328.41
11 19 2008 12815.8 8273.22
11 20 2008 12298.56 7703.04
11 21 2008 12659.2 7910.79
11 25 2008 12878.6 8323.93
11 26 2008 13369.45 8213.22
11 27 2008 13552.06 8373.39
11 28 2008 13888.24 8512.27
12 1 2008 14108.84 8397.22
12 2 2008 13405.85 7863.69
12 3 2008 13588.66 8004.1
12 4 2008 13509.78 7924.24
12 5 2008 13846.09 7917.51
12 8 2008 15044.87 8329.05
12 9 2008 14753.22 8395.87
12 10 2008 15577.74 8660.24
12 11 2008 15613.9 8720.55
12 12 2008 14758.39 8235.87
12 15 2008 15046.95 8664.66
12 16 2008 15130.21 8568.02
12 17 2008 15460.52 8612.52
12 18 2008 15497.81 8667.23
12 19 2008 15127.51 8588.52
12 22 2008 14622.39 8723.78
12 24 2008 14184.14 8517.1
12 26 2008 14184.14 8739.52
12 29 2008 14328.48 8747.17
12 30 2008 14235.5 8859.56
