   sp       csco    intc
  -0.059   2.187   3.319
  -0.308  -0.967   0.685
  -0.257  -2.956  -3.473
   0.513  -1.258   3.130
   0.011   0.253  -0.343
  -0.030  -3.338  -3.853
  -0.100  -3.723  -1.077
  -0.339  -2.469  -0.725
   0.246   5.407   2.159
   0.124  -3.209  -7.001
   0.052  10.073  -0.766
   0.080  -1.237  -2.335
   1.150  -1.504   1.950
   0.570  -1.015   0.000
  -0.224  -2.846  -2.740
  -0.479  -0.262  -1.197
  -0.030  -2.127   0.800
  -0.152   4.726   2.751
  -0.450   1.526  -0.389
   0.200   0.504  -1.174
   0.021  -0.504   0.471
   0.067   2.000   1.169
   0.669  -1.496  -1.562
   0.021   2.970  -0.395
   0.271   4.296   0.000
  -0.141  -1.175  -0.794
  -1.164  -3.610  -3.034
  -1.201  -2.482  -3.128
   0.454   7.267   2.923
   0.139   1.161  -1.243
   0.026  -0.231   1.653
   0.734   0.692   4.016
  -0.233   2.498   0.393
   0.593   0.000  -1.581
  -0.353   2.217  -4.481
   0.643   0.219   0.830
  -0.414  -2.436  -2.723
  -0.256   0.671  -1.714
  -0.220   1.547  -1.743
  -0.753  -2.217   1.093
   0.413   1.778   2.363
   0.288   1.313   1.893
   0.151  -0.217   0.416
  -0.251  -2.649  -0.624
  -0.024   0.669   2.678
   0.022   2.415   2.013
   0.264   2.992   0.397
   0.384   3.109   0.791
   0.331   0.813  -6.506
   0.071   0.404  -0.210
  -0.101  -2.449   0.211
  -0.454  -1.457  -2.553
  -0.054   0.210  -3.063
   0.381   0.209   2.198
  -0.569  -1.049   0.000
  -0.264   0.211   2.151
   0.324   1.255   0.000
   0.654   0.622  -1.285
  -0.114   2.045   0.858
  -0.118  -1.222   1.695
   0.433  -0.411   3.712
   0.013   2.238   0.605
   0.674  -0.201   1.200
   0.085   1.600   1.773
  -0.076   0.791  -1.376
  -0.413   3.482  -0.198
  -0.468  -1.726  -1.600
  -0.217  -0.582  -1.217
   0.311   1.160   4.001
   0.141   2.282   0.781
  -0.092  -0.755  -0.390
   0.593   0.943   2.888
   1.136   2.775   1.694
  -0.240  -0.733  -0.374
   0.008   0.000   2.405
  -0.359  -1.109  -0.550
   0.515   2.569   0.732
  -0.340   0.542  -3.340
   0.200   1.963   1.498
   0.010  -2.143  -7.325
   0.143  -0.907   1.980
  -0.055   2.162   2.134
  -0.581   0.178   0.574
  -0.223  -2.523  -0.575
   0.483  -0.366  -2.251
   0.810   0.547   0.977
   0.345   2.695   1.353
   0.606   2.798   0.192
  -0.414  -1.389  -0.963
   0.495   2.076   0.962
  -0.268   2.369  -3.113
  -2.294  -4.096  -2.401
   0.414   1.040   0.404
  -0.149   2.048   2.390
   0.362   0.337   0.589
  -0.816  -3.077  -1.181
   0.266   3.246   0.985
   0.011   0.503   0.196
   0.486  -1.347   1.746
   0.057  -0.851   3.031
  -0.520   0.341  -0.749
  -0.565  -0.512   0.375
   0.803   1.361   2.952
  -0.163  -1.360  -0.182
  -1.376  -1.727  -1.283
   0.389   1.898   0.735
   0.229   0.851   0.730
  -0.580   0.507  -2.952
   0.080   1.507  -0.187
  -0.388   1.973   2.043
   0.373   2.890   2.362
   0.466   1.726   2.307
  -0.221  -0.468  -0.704
   0.253   0.934   1.229
  -0.679  -0.933  -2.116
   0.546  -0.313  -2.162
   0.203   0.313   1.984
  -0.081  -1.575   1.770
   0.515   0.159   0.873
   0.315   0.789   0.521
   0.034  -0.631  -0.347
  -0.536  -1.917   0.346
   0.055  -2.615  -0.347
  -0.056  -1.334  -0.696
  -0.898  -7.670  -1.763
  -0.815  -4.445  -0.715
  -0.126   0.000  -1.626
  -1.648  -3.077  -3.522
  -1.543   1.551   0.000
   0.049   5.245   1.869
  -1.549  -3.340  -0.371
   2.112   5.506   2.205
  -0.054   1.770   1.265
   0.630   0.000   1.426
  -0.842  -2.487  -1.786
   0.618  -4.037  -0.270
  -0.513  -7.583  -5.096
  -0.293  -3.494  -3.089
   0.027   1.247  -6.271
  -0.045   0.000  -0.209
  -0.837  -1.248  -2.114
   0.018  -1.263  -1.724
  -0.131  -1.710   0.000
   1.520   9.453   4.672
  -0.245  -1.980   0.207
   1.129   1.587   4.137
  -0.186   0.784   0.594
  -0.615  -2.322  -2.501
   0.402  -3.095  -1.120
   0.467   6.968  -0.823
   0.002  -3.523  -1.878
  -0.290  -2.012  -1.377
  -0.075   2.410   0.850
  -0.792   0.000   1.052
  -1.236  -4.879  -1.796
   0.831  -5.129   1.482
  -1.019   1.739   0.000
   0.511   0.000  -1.589
   0.088 -22.100  -0.321
   0.079  -3.279  -1.510
   1.092  -1.681   1.296
   0.957   7.613   1.173
   0.613   0.262   1.995
  -0.342  -2.914  -0.626
  -0.379   5.236  -0.419
   0.355   3.015   3.306
   0.336   1.961  -0.408
   0.158  -2.956  -1.232
   0.059   1.489   1.436
  -0.179  -2.494   1.816
   0.245   0.000   3.319
   0.004  -2.557  -0.169
   0.540   1.542  -2.353
  -0.272   2.020  -2.105
  -0.146  -4.082  -0.304
  -0.251  -5.900  -2.887
   0.175   1.916  -1.263
   0.177   1.879   1.654
   0.094  -2.696  -0.811
   0.710   8.130   2.899
  -0.381   0.252  -0.511
   0.286  -0.757  -0.721
  -0.756  -1.274  -0.829
  -0.665  -0.514  -1.893
  -0.898  -2.611  -1.497
   0.387  -0.530   2.763
  -0.767 -11.247  -2.118
  -1.531   5.218   0.000
   1.013   4.421   2.328
  -0.278  -0.542   0.834
   0.349   3.733  -1.463
  -0.753  -2.116  -1.485
   0.433   0.799   0.851
   0.038  -2.689  -2.142
  -0.054   0.272  -1.636
   0.503   1.617   1.853
   0.261  -2.162   2.137
  -0.332   3.754   1.651
  -0.025  -4.302   0.026
   0.174   5.349   2.667
   1.037 -19.490  -0.406
   0.165  -0.635  -3.306
   0.233   6.174  -1.482
  -0.299  -3.659  -2.811
  -0.499   0.311  -0.881
   0.223   1.536   3.452
   0.110   0.000  -1.047
   0.251  -1.846  -0.108
  -0.196  -1.881  -0.755
  -0.174  -0.635  -0.876
   0.368   1.266   1.853
   0.879   5.506   2.348
   0.600   4.367   0.631
  -0.098  -3.184  -0.210
   0.195  -0.590  -1.269
  -0.665  -1.190  -2.586
  -0.286   0.000   1.516
   0.175   3.530  -0.215
   0.007   1.435   2.132
   0.518  -1.435   0.840
  -0.309  -1.163   1.041
   0.667   0.000  -0.311
  -0.156   2.312   0.931
   0.816   2.817   1.328
   0.034   6.454   3.491
  -0.431  -2.105  -0.615
   0.110  -3.794   0.123
  -0.296   1.643   0.492
   0.475   2.151   0.781
   0.968   0.000  -0.097
  -0.203   2.106   1.450
   1.215   6.552   1.335
   0.167   2.410   0.189
   0.316  -0.477   1.314
  -0.124  -5.155  -1.884
  -0.491  -1.267  -2.307
  -0.462   0.509  -0.024
   0.185   0.758   1.569
  -0.185   4.193   1.709
   0.455   0.482   0.750
  -1.054  -2.187  -1.696
  -0.422  -1.986  -1.919
   0.281   2.720   1.156
   0.273   2.885   0.192
   1.274   2.342   2.456
  -0.765  -1.869  -0.187
  -0.072  -1.425   0.559
  -1.603  -1.689  -1.876
  -0.411  -3.465  -0.952
  -0.041   0.252  -1.347
  -0.348  -1.519  -1.957
   0.250  -0.511  -0.993
   0.267   0.000  -0.200
   0.596  -1.031  -1.613
  -0.557   6.032   0.203
   0.104   6.606  -0.203
  -0.210   0.456  -2.054
  -1.561  -3.468  -3.805
  -0.236  -1.183   1.285
  -0.256   3.048   0.318
   0.604   2.058   0.844
   0.862   0.451   1.668
   1.460   1.342   0.103
  -0.069  -3.621  -1.248
   0.497   1.373  -1.475
   0.280   0.454  -0.639
  -0.030  -2.288  -0.535
  -0.278  -0.464   0.107
   0.559   1.843   2.960
  -0.732   0.456   1.139
  -0.421  -0.913  -0.309
  -0.877   1.367  -1.667
   0.150   0.451  -0.949
   0.236   4.406   1.887
   0.698   3.390   0.830
   1.686   0.000   2.852
  -0.300   0.416  -0.201
  -0.835   1.646  -1.214
