Date      pfe      mrk 
19730430 -0.042424 -0.077124
19730531 0.064177 0.011331
19730629 0.116418 0.010308
19730731 0.05615 0.034771
19730831 -0.057519 -0.121828
19730928 -0.032345 0.006144
19731031 0.086351 0.050382
19731130 -0.118564 -0.011628
19731231 0.005848 -0.045882
19740131 -0.119186 -0.032508
19740228 0.019802 0.0048
19740329 -0.031197 0.034713
19740430 -0.087248 -0.006182
19740531 0.042353 -0.017107
19740628 0.035461 -0.001899
19740731 -0.205479 -0.146497
19740830 -0.148621 -0.047015
19740930 -0.061224 -0.208661
19741031 0.391304 0.313433
19741129 0.011406 0.037879
19741231 0.023346 -0.025912
19750131 -0.136882 -0.043315
19750228 0.207048 0.181102
19750331 -0.052847 0.014667
19750430 -0.003876 0.034653
19750530 0.072062 0.055821
19750630 -0.021898 0.03142
19750731 -0.190299 -0.116176
19750829 0 -0.060233
19750930 -0.075945 -0.030249
19751031 0.160804 0.099083
19751128 -0.030649 0.055092
19751231 -0.004505 -0.118987
19760130 0.076923 0.046931
19760227 -0.096639 -0.068966
19760331 0.119442 0.108889
19760430 -0.087866 -0.031879
19760528 0.022936 -0.029463
19760630 0.056861 0.033571
19760730 -0.021368 -0.027778
19760831 -0.005415 0.047857
19760930 0.070796 0.07363
19761029 -0.016529 -0.038278
19761130 -0.110252 -0.145937
19761231 0.119048 0.064453
19770131 -0.080851 -0.150459
19770228 0.023148 -0.030238
19770331 0.026787 -0.011136
19770429 -0.08 -0.070295
19770531 -0.01971 -0.004878
19770630 0.034826 0.101235
19770729 0.004808 -0.042601
19770831 0.014354 0.107728
19770930 0.018491 -0.004255
19771031 -0.070093 -0.076923
19771130 0.116382 0.049537
19771230 -0.004545 -0.013333
19780131 -0.009132 -0.011261
19780228 -0.036129 -0.041002
19780331 0.067633 -0.067933
19780428 0.085973 0.1491
19780531 0.0975 0.050112
19780630 0.02682 -0.04721
19780731 0.063433 0.087838
19780831 -0.002105 0.013251
19780929 0.003546 -0.012346
19781031 -0.091873 -0.0625
19781130 0.017121 0.062222
19781229 0.019305 0.139749
19790131 -0.045455 0.005545
19790228 -0.043651 -0.040441
19790330 0.064896 0.018774
19790430 -0.055118 0.037879
19790531 0.002667 -0.077007
19790629 0.029412 0.075697
19790731 0.016327 -0.018519
19790831 0.139116 0.056226
19790928 -0.017794 -0.010791
19791031 0 -0.038182
19791130 0.168986 0.094518
19791231 -0.01875 0.006218
19800131 -0.044586 -0.051903
19800229 -0.016667 -0.066423
19800331 0.033492 0.065089
19800430 0.023179 0.005556
19800530 0.074045 0.053407
19800630 0.00304 -0.002448
19800731 0.039394 0.091873
19800829 -0.040816 -0.011974
19800930 0.121216 0.052805
19801031 -0.032787 -0.062696
19801128 0.12678 0.063545
19801231 0.080808 0.074214
19810130 -0.056075 -0.023599
19810227 -0.00198 0.009063
19810331 0.085 0.021257
19810430 0.004608 0.075332
19810529 -0.029358 0.104396
19810630 -0.085714 -0.073134
19810731 -0.020833 -0.002703
19810831 -0.026064 -0.082385
19810930 -0.044077 0.010417
19811030 0.048991 -0.05891
19811130 0.148901 0.071987
19811231 0.026506 -0.002044
19820129 0.050892 -0.001475
19820226 0.002252 -0.070901
19820331 -0.076404 -0.073768
19820430 0.087591 0.060659
19820528 -0.034273 -0.052288
19820630 0.03271 -0.05931
19820730 0.017376 0.035185
19820831 0.125561 0.099463
19820930 0.10757 0.026273
19821029 0.02518 0.0304
19821130 0.034526 0.036646
19821231 -0.059727 0.022659
19830131 0.002976 0.013294
19830228 0.021898 -0.01516
19830331 0.082143 0.013433
19830429 0.085809 0.113402
19830531 -0.058298 -0.08254
19830630 0.139837 0.079942
19830729 -0.10893 0.009421
19830831 -0.012903 0.035467
19830930 0.039216 0.001297
19831031 -0.028302 -0.007772
19831130 -0.034563 0.028721
19831230 -0.033784 -0.075448
19840131 -0.001259 -0.02213
19840229 0.056537 0.065064
19840330 -0.090301 0.007968
19840430 -0.011029 -0.022576
19840531 -0.04223 -0.063859
19840629 0.027451 0.083455
19840731 -0.005191 -0.101351
19840831 0.112403 0.018045
19840928 -0.020906 -0.014903
19841031 0.081851 0.049924
19841130 0.035 0.023055
19841231 0.083333 0.068169
19850131 -0.056331 0.021277
19850228 0.018987 0.048698
19850329 0.065217 0.050063
19850430 0.037901 -0.029797
19850531 0.13191 0.067568
19850628 -0.01 0.044189
19850731 -0.017778 0.00222
19850830 -0.002591 0.018162
19850930 -0.015584 -0.051479
19851031 -0.034301 0.076212
19851129 0.174754 0.11588
19851231 -0.051522 0.060769
19860131 -0.036346 0.004562
19860228 0.144703 0.100999
19860331 0.085779 0.156846
19860430 -0.014553 -0.004304
19860530 0.068101 0.112392
19860630 0.137177 0.087565
19860731 -0.060699 0.019139
19860829 0.018727 0.085681
19860930 -0.147059 -0.143351
19861031 0.030172 0.102792
19861128 0.027782 0.017261
19861231 0 0.126018
19870130 0.118033 0.10999
19870227 0.075646 0.121818
19870331 -0.006861 0.005997
19870430 -0.025907 -0.046079
19870529 -0.069858 0.073729
19870630 0.105566 0.080032
19870731 0.032292 0.109971
19870831 -0.042301 0.084148
19870930 -0.021201 0.012232
19871030 -0.240072 -0.122659
19871130 -0.114964 -0.063361
19871231 0.01084 -0.062941
19880129 0.171582 -0.048896
19880229 0.004577 0.103383
19880331 0.013793 -0.050642
19880429 -0.002268 0.002389
19880531 -0.043182 0.017474
19880630 -0.009592 0.059859
19880729 0.004843 -0.006667
19880831 -0.012165 -0.011275
19880930 0.071429 0.052392
19881031 0.050575 -0.008658
19881130 0.002188 -0.006638
19881230 0.022026 0.022124
19890131 0.003017 0.12987
19890228 -0.043384 -0.021073
19890331 0.043084 0.020117
19890428 0.076087 0.054054
19890531 -0.005253 0.022491
19890630 -0.059426 -0.036036
19890731 0.142484 0.136449
19890831 0.065385 -0.028618
19890929 -0.009025 0.032368
19891031 -0.014572 0.028053
19891130 0.104251 0.012841
19891229 -0.062395 -0.011727
19900131 -0.014388 -0.067742
19900228 -0.129927 -0.053633
19900330 0.027542 0.023035
19900430 -0.063918 0.053957
19900531 0.171366 0.135836
19900629 -0.026565 0.048338
19900731 0.181287 0.027378
19900831 -0.054785 -0.077868
19900928 -0.005282 -0.067381
19901031 0.030088 0.009852
19901130 0.118213 0.121951
19901231 0 0.048522
19910131 0.113003 0.018081
19910228 0.175633 0.11612
19910328 0.019048 0.038531
19910430 0.018692 0.021327
19910531 0.08633 0.103248
19910628 -0.057325 -0.018423
19910731 0.114865 0.108719
19910830 0.063919 -0.00967
19910930 -0.005725 0.025616
19911031 0.099808 0.054755
19911129 -0.068691 0.066485
19911231 0.265537 0.141793
19920131 -0.130952 -0.056306
19920228 0.025616 0.003182
19920331 -0.067114 -0.062236
19920430 0.028777 -0.014443
19920529 0.048881 0.042241
19920630 -0.021776 -0.027692
19920731 0.07363 0.064103
19920831 -0.009633 -0.057831
19920930 -0.032362 -0.084833
19921030 0.011706 -0.014045
19921130 0.03795 0.02849
19921231 -0.072 -0.033241
19930129 -0.089655 -0.069164
19930226 -0.109167 -0.04644
19930331 0.066381 -0.074675
19930430 0.096386 0.045936
19930528 0.057436 0.033784
19930630 -0.066202 -0.065359
19930730 -0.11194 -0.137324
19930831 0.065882 0.040816
19930930 -0.055556 -0.02651
19931029 0.046218 0.044715
19931130 0.07502 0.066148
19931231 0.037594 0.011825
19940131 -0.063406 0.061818
19940228 -0.095242 -0.113014
19940331 -0.068966 -0.072432
19940429 0.092593 -0.004202
19940531 0.088475 0.029536
19940630 -0.009804 -0.01541
19940729 -0.017822 -0.004202
19940831 0.108387 0.151899
19940930 0.012821 0.052747
19941031 0.072333 0
19941130 0.050185 0.045614
19941230 -0.001616 0.031544
19950131 0.058252 0.055738
19950228 0.021651 0.052795
19950331 0.033133 0.012979
19950428 0.010204 0.005865
19950531 0.023319 0.09621
19950630 0.04539 0.051596
19950731 0.09905 0.050891
19950831 -0.019556 -0.033898
19950929 0.081013 0.129624
19951031 0.074941 0.026786
19951130 0.015425 0.076087
19951229 0.086207 0.066101
19960131 0.087302 0.068571
19960229 -0.033942 -0.055258
19960329 0.020873 -0.055245
19960430 0.024164 -0.028112
19960531 0.031579 0.068182
19960628 0.008834 0.005261
19960731 -0.016813 -0.005803
19960830 0.0161 0.021401
19960930 0.114437 0.078476
19961031 0.045814 0.049734
19961129 0.086707 0.123519
19961231 -0.073919 -0.035843
19970131 0.114458 0.138148
19970228 -0.005784 0.016552
19970331 -0.081855 -0.080923
19970430 0.141159 0.0727
19970530 0.076458 -0.005533
19970630 0.160194 0.14306
19970731 0.000753 0.015272
19970829 -0.070231 -0.116125
19970930 0.084555 0.093397
19971031 0.180873 -0.106942
19971128 0.027042 0.062325
19971231 0.024914 0.122742
19980130 0.096396 0.107311
19980227 0.084893 0.086794
19980331 0.126412 0.008427
19980430 0.141693 -0.059971
19980529 -0.077408 -0.029046
19980630 0.036971 0.147009
19980731 0.010351 -0.076168
19980831 -0.15251 -0.06171
19980930 0.138627 0.122178
19981030 0.014775 0.042451
19981130 0.044869 0.148542
19981231 0.116695 -0.045673
19990129 0.029 -0.005085
19990226 0.027464 0.110733
19990331 0.051634 -0.013558
19990430 -0.170721 -0.121685
19990528 -0.068159 -0.039076
19990630 0.018692 0.092717
19990730 -0.067661 -0.081494
19990831 0.116753 -0.00647
19990930 -0.049669 -0.031033
19991029 0.106272 0.22758
19991130 -0.084598 -0.010998
19991231 -0.105172 -0.142462
20000131 0.115607 0.173023
20000229 -0.109775 -0.218874
20000331 0.138132 0.013848
20000428 0.152137 0.118712
20000531 0.06 0.077914
20000630 0.077139 0.026801
20000731 -0.101563 -0.064437
20000831 0.004986 -0.020541
20000929 0.039017 0.065295
20001031 -0.038943 0.208228
20001130 0.028133 0.030577
20001229 0.038082 0.013783
20010131 -0.018478 -0.122243
20010228 -0.000886 -0.024093
20010330 -0.09 -0.049377
20010430 0.057387 0.000922
20010531 -0.006928 -0.034751
20010629 -0.066216 -0.124401
20010731 0.029214 0.063683
20010831 -0.067928 -0.037217
20010928 0.046724 0.023041
20011031 0.044888 -0.041892
20011130 0.036277 0.061746
20011231 -0.079889 -0.126937
20020131 0.045671 0.006463
20020228 -0.013919 0.03633
20020328 -0.029785 -0.055438
20020430 -0.085305 -0.05627
20020531 -0.044567 0.050791
20020628 0.011561 -0.107005
20020731 -0.075714 -0.020537
20020830 0.026584 0.018548
20020930 -0.122733 -0.088084
20021031 0.094762 0.186611
20021129 -0.003462 0.095317
20021231 -0.030447 -0.041071
20030131 -0.001963 -0.021551
20030228 -0.017787 -0.047662
20030331 0.044936 0.045308
20030430 -0.013158 0.062066
20030530 0.013659 -0.044689
20030630 0.100903 0.095898
20030731 -0.023133 -0.087036
20030829 -0.098621 -0.036605
20030930 0.015374 0.013315
20031031 0.040158 -0.12584
20031128 0.067089 -0.082486
20031231 0.052428 0.147044
20040130 0.036796 0.030303
20040227 0.005187 0.010084
20040331 -0.043656 -0.073211
20040430 0.020257 0.063589
20040528 -0.006991 0.006383
20040630 -0.029994 0.012051
20040730 -0.067678 -0.045263
20040831 0.027534 -0.008379
20040930 -0.063361 -0.257727
20041029 -0.053922 -0.051212
20041130 -0.034888 -0.105078
20041231 -0.031689 0.1606
20050131 -0.101525 -0.127256
20050228 0.096027 0.130125
20050331 -0.000761 0.033123
20050429 0.03426 0.047266
20050531 0.033861 -0.043068
20050630 -0.01147 -0.038841
20050729 -0.039159 0.008442
20050831 -0.031321 -0.07888
20050930 -0.020016 -0.036132
20051031 -0.129355 0.037119
20051130 -0.016099 0.05528
20051230 0.1 0.081973
20060131 0.101201 0.084565
20060228 0.029206 0.010435
20060331 -0.048492 0.021515
20060428 0.016453 -0.022992
20060531 -0.056455 -0.02179
20060630 -0.00803 0.094323
20060731 0.107371 0.105408
20060831 0.069642 0.016389
20060929 0.029028 0.033292
20061031 -0.060296 0.084009
20061130 0.040525 -0.020035
20061229 -0.057839 -0.011907
20070131 0.013127 0.026376
20070228 -0.037729 -0.013408
20070330 0.012019 0.00906
20070430 0.047506 0.164591
20070531 0.049887 0.019635
20070629 -0.069844 -0.043279
20070731 -0.080563 -0.003012
20070831 0.068907 0.010473
20070928 -0.016506 0.037871
20071031 0.007368 0.127104
20071130 -0.022755 0.018881
20071231 -0.04335 -0.014656
20080131 0.027717 -0.206677
20080229 -0.032534 -0.039046
20080331 -0.060592 -0.134763
20080430 -0.039178 0.002372
20080530 -0.021382 0.024185
20080630 -0.097624 -0.022844
20080731 0.068689 -0.127089
20080829 0.040707 0.084194
20080930 -0.03506 -0.10457
20081031 -0.039588 -0.019328
20081128 -0.054207 -0.136672
20081231 0.077906 0.151946
