Date            PG            VW
19791231       0.003378      0.028212
19800131      -0.017172      0.065607
19800229      -0.012132      0.001015
19800331      -0.049123     -0.120224
19800430       0.067897      0.052288
19800530       0.089161      0.060090
19800630      -0.052970      0.037714
19800731       0.104407      0.069438
19800829      -0.024845      0.023553
19800930      -0.089172      0.029495
19801031      -0.040909      0.020079
19801128       0.040665      0.104920
19801231      -0.021314     -0.034407
19810130      -0.013430     -0.040108
19810227       0.065299      0.015523
19810331      -0.012259      0.046184
19810430       0.031206     -0.011257
19810529      -0.017422      0.013553
19810630       0.074468     -0.010229
19810731      -0.028713     -0.003073
19810831      -0.044750     -0.056279
19810930       0.063063     -0.063767
19811030       0.075254      0.060177
19811130       0.025559      0.045850
19811231       0.001558     -0.028096
19820129       0.073717     -0.026207
19820226      -0.023460     -0.051125
19820331      -0.006006     -0.010094
19820430       0.047432      0.043267
19820528      -0.020438     -0.028212
19820630      -0.010432     -0.023912
19820730       0.038253     -0.020526
19820831       0.117474      0.119013
19820930       0.030223      0.016761
19821029       0.093622      0.118636
19821130       0.120141      0.051935
19821231      -0.005258      0.014516
19830131      -0.038478      0.041850
19830228       0.015556      0.030218
19830331       0.063457      0.034673
19830429      -0.000412      0.074188
19830531      -0.103950      0.013224
19830630       0.023202      0.037837
19830729      -0.050340     -0.031567
19830831       0.033816      0.003464
19830930       0.039720      0.016059
19831031       0.008539     -0.028049
19831130       0.067568      0.029556
19831230      -0.040084     -0.010464
19840131      -0.101538     -0.013023
19840229      -0.066832     -0.039073
19840330       0.023873      0.013389
19840430      -0.005699      0.002534
19840531       0.039578     -0.052342
19840629       0.063452      0.023385
19840731       0.017184     -0.020621
19840831       0.064133      0.112689
19840928      -0.002232      0.000404
19841031       0.049664     -0.000074
19841130      -0.004310     -0.010685
19841231      -0.012987      0.023656
19850131      -0.001754      0.085718
19850228       0.011111      0.016896
19850329      -0.024176     -0.001747
19850430      -0.049099     -0.002186
19850531       0.033573      0.055775
19850628       0.044084      0.017091
19850731       0.029333     -0.000251
19850830       0.004367     -0.004795
19850930      -0.019565     -0.039825
19851031       0.135698      0.044441
19851129       0.059172      0.069228
19851231       0.039106      0.043061
19860131      -0.046237      0.009829
19860228       0.047438      0.072500
19860331       0.067029      0.053885
19860430       0.007470     -0.007900
19860530       0.059524      0.050844
19860630       0.028892      0.014246
19860731      -0.025897     -0.059700
19860829       0.033926      0.066181
19860930      -0.153125     -0.079021
19861031       0.116974      0.049303
19861128       0.036667      0.015093
19861231      -0.017685     -0.026388
19870130       0.161047      0.128496
19870227      -0.014205      0.047918
19870331       0.060519      0.023664
19870430      -0.071467     -0.017001
19870529       0.079646      0.005125
19870630       0.071038      0.043662
19870731      -0.042857      0.044248
19870831       0.104698      0.037146
19870930      -0.018226     -0.020774
19871030      -0.119554     -0.225363
19871130      -0.077904     -0.072273
19871231       0.049155      0.070327
19880129       0.002343      0.044880
19880229      -0.007364      0.051695
19880331      -0.075668     -0.016598
19880429      -0.000642      0.010991
19880531      -0.009724      0.000448
19880630       0.014730      0.051460
19880729      -0.021613     -0.007272
19880831      -0.006656     -0.028006
19880930       0.072027      0.037202
19881031       0.041563      0.017637
19881130      -0.009077     -0.016412
19881230       0.062595      0.021075
19890131       0.068103      0.066103
19890228      -0.037992     -0.016446
19890331       0.043724      0.021465
19890428       0.042432      0.048204
19890531       0.074510      0.039338
19890630       0.054745     -0.004866
19890731       0.108881      0.077131
19890831       0.076440      0.022127
19890929      -0.066148     -0.001474
19891031       0.083542     -0.029281
19891130       0.002904      0.017815
19891229       0.084942      0.018295
19900131      -0.082562     -0.070115
19900228      -0.001953      0.014901
19900330       0.060665      0.024140
19900430       0.049077     -0.028286
19900531       0.169912      0.088936
19900629       0.054463     -0.004196
19900731       0.000861     -0.009405
19900831      -0.112392     -0.091896
19900928      -0.053571     -0.053843
19901031       0.085763     -0.012504
19901130       0.054054      0.065744
19901231       0.045249      0.029513
19910131      -0.079365      0.049078
19910228       0.025237      0.075847
19910328       0.047692      0.028923
19910430      -0.008811      0.003322
19910531       0.014903      0.040732
19910628      -0.091043     -0.044029
19910731       0.050081      0.046795
19910830       0.034056      0.026819
19910930       0.016467     -0.010975
19911031      -0.008837      0.017789
19911129      -0.031390     -0.037275
19911231       0.158951      0.106778
19920131       0.110519     -0.001182
19920228      -0.020482      0.013354
19920331       0.006150     -0.023700
19920430       0.015159      0.013419
19920529      -0.004843      0.006439
19920630      -0.104623     -0.019287
19920731       0.106522      0.039900
19920831      -0.074074     -0.020822
19920930       0.053333      0.012449
19921030       0.076456      0.010986
19921130       0.026005      0.040193
19921231      -0.011521      0.017773
19930129      -0.067133      0.012643
19930226       0.045226      0.005402
19930331      -0.040865      0.025075
19930430      -0.009524     -0.025400
19930528       0.000000      0.029598
19930630       0.058524      0.005440
19930730      -0.056538     -0.000795
19930831      -0.007692      0.039478
19930930      -0.018088      0.000641
19931029       0.148632      0.018065
19931130       0.046083     -0.017606
19931231       0.004405      0.019513
19940131       0.049298      0.031467
19940228      -0.033613     -0.024218
19940331      -0.069565     -0.045797
19940429       0.068879      0.009476
19940531      -0.008791      0.009359
19940630      -0.053215     -0.027909
19940729       0.051054      0.030632
19940831       0.091928      0.042598
19940930      -0.020534     -0.018364
19941031       0.060377      0.014520
19941130      -0.005964     -0.037218
19941230      -0.008000      0.012608
19950131       0.056048      0.020400
19950228       0.021113      0.039613
19950331      -0.003759      0.027041
19950428       0.060000      0.025048
19950531       0.028623      0.034007
19950630       0.000000      0.031173
19950731      -0.036174      0.040783
19950831       0.007260      0.009306
19950929       0.109910      0.036362
19951031       0.057143     -0.011318
19951130       0.067901      0.042705
19951229      -0.040462      0.015190
19960131       0.016867      0.028146
19960229      -0.023810      0.016309
19960329       0.033537      0.010929
19960430       0.001770      0.025509
19960531       0.039941      0.026800
19960628       0.031294     -0.008299
19960731      -0.010207     -0.053819
19960830      -0.004202      0.032464
19960930       0.097046      0.053014
19961031       0.020000      0.013632
19961129       0.098485      0.065501
19961231      -0.010345     -0.011358
19970131       0.074983      0.053449
19970228       0.038919     -0.001144
19970331      -0.044745     -0.044820
19970430       0.099782      0.042303
19970530       0.096421      0.071624
19970630       0.024479      0.044145
19970731       0.080566      0.076503
19970829      -0.124897     -0.036267
19970930       0.037559      0.058433
19971031      -0.011729     -0.034528
19971128       0.120404      0.030458
19971231       0.047580      0.017771
19980130      -0.014847      0.004529
19980227       0.082935      0.073230
19980331      -0.005891      0.051322
19980430      -0.022933      0.010862
19980529       0.020532     -0.025755
19980630       0.085693      0.031954
19980731      -0.125216     -0.023264
19980831      -0.036220     -0.157667
19980930      -0.070261      0.063836
19981030       0.250931      0.074357
19981130      -0.011980      0.061986
19981231       0.042083      0.063053
19990129      -0.001670      0.038346
19990226      -0.015131     -0.038105
19990331       0.094274      0.037862
19990430      -0.039209      0.049000
19990528      -0.004664     -0.020720
19990630      -0.044177      0.051020
19990730       0.018291     -0.030635
19990831       0.095928     -0.009983
19990930      -0.055416     -0.022867
19991029       0.122080      0.062048
19991130       0.034565      0.036856
19991231       0.009793      0.083925
20000131      -0.074661     -0.039753
20000229      -0.130489      0.031770
20000331      -0.357041      0.053552
20000428       0.063186     -0.059467
20000531       0.112971     -0.039047
20000630      -0.139098      0.051649
20000731      -0.000437     -0.017105
20000831       0.086813      0.075811
20000929       0.083923     -0.051139
20001031       0.071455     -0.024564
20001130       0.048119     -0.102546
20001229       0.047579      0.020346
20010131      -0.079649      0.039533
20010228      -0.018653     -0.099267
20010330      -0.112057     -0.070290
20010430      -0.035144      0.083904
20010531       0.069775      0.010561
20010629      -0.006849     -0.017481
20010731       0.119122     -0.018321
20010831       0.044072     -0.059080
20010928      -0.018341     -0.091540
20011031       0.018821      0.027967
20011130       0.049878      0.078734
20011231       0.021559      0.017841
20020131       0.037028     -0.016060
20020228       0.038075     -0.021705
20020328       0.062507      0.044693
20020430       0.006105     -0.049649
20020531      -0.007866     -0.010458
20020628       0.005430     -0.070243
20020731       0.001120     -0.081137
20020830      -0.003821      0.007984
20020930       0.008235     -0.099975
20021031      -0.005818      0.074958
20021129      -0.044319      0.061276
20021231       0.016681     -0.053309
20030131       0.000465     -0.023430
20030228      -0.043356     -0.015408
20030331       0.087833      0.010333
20030430       0.013588      0.082797
20030530       0.021925      0.063507
20030630      -0.028752      0.016332
20030731      -0.009587      0.023130
20030829      -0.006601      0.024908
20030930       0.063352     -0.009102
20031031       0.063833      0.060331
20031128      -0.020857      0.016607
20031231       0.037822      0.045532
20040130       0.016570      0.023064
20040227       0.014147      0.015467
20040331       0.023120     -0.010685
20040430       0.013063     -0.024230
20040528       0.019574      0.014127
20040630       0.009831      0.021563
20040730      -0.037472     -0.037681
20040831       0.073250      0.002714
20040930      -0.033053      0.020555
20041029      -0.049704      0.017810
20041130       0.044939      0.048243
20041231       0.029918      0.035180
20050131      -0.029049     -0.026557
20050228      -0.002630      0.022695
20050331      -0.001695     -0.016937
20050429       0.026981     -0.025182
20050531       0.018467      0.037916
20050630      -0.043518      0.011531
20050729       0.059905      0.043331
20050831      -0.002696     -0.005943
20050930       0.071738      0.010609
20051031      -0.053649     -0.020784
20051130       0.021432      0.040406
20051230       0.012065      0.003476
20060131       0.028162      0.040112
20060228       0.011818     -0.001644
20060331      -0.038378      0.019060
20060428       0.015443      0.012968
20060531      -0.068030     -0.031042
20060630       0.024885     -0.000396
20060731       0.016367     -0.001902
20060831       0.101424      0.025085
20060929       0.001292      0.019452
20061031       0.027751      0.037086
20061130      -0.009465      0.023716
20061229       0.023571      0.010823
20070131       0.014159      0.019438
20070228      -0.021273     -0.013998
20070330      -0.005198      0.012949
20070430       0.025174      0.039893
20070531      -0.013199      0.038894
20070629      -0.037136     -0.014758
20070731       0.016669     -0.031753
20070831       0.055771      0.011623
20070928       0.077017      0.040903
20071031      -0.006682      0.025842
20071130       0.064442     -0.049279
20071231      -0.007838     -0.004342
20080131      -0.104195     -0.062305
20080229       0.011617     -0.022040
20080331       0.058779     -0.010470
20080430      -0.037391      0.051144
20080530      -0.014914      0.023825
20080630      -0.079334     -0.078625
20080731       0.083374     -0.013150
20080829       0.065516      0.011042
20080930      -0.001147     -0.098060
20081031      -0.068159     -0.184726
20081128      -0.002944     -0.085206
20081231      -0.039316      0.021482
