    30yrs     20yrs     10yrs      5yrs      1yr
   0.00519   0.00519   0.00519   0.00175   0.00130
  -0.00613  -0.00613  -0.00613  -0.00051  -0.00067
   0.00212   0.00212   0.00212   0.00077   0.00077
   0.00082   0.00082   0.00082   0.00004   0.00119
   0.00300   0.00300   0.00300   0.00077   0.00093
   0.00331   0.00331   0.00331   0.00199   0.00102
  -0.00250  -0.00250  -0.00250   0.00028   0.00102
   0.00555   0.00555   0.00555   0.00203   0.00100
   0.00140   0.00140   0.00140  -0.00074   0.00017
  -0.00725  -0.00725  -0.00725   0.00033   0.00081
  -0.00477  -0.00477  -0.00477   0.00018  -0.00002
   0.00350   0.00350   0.00350   0.00162   0.00126
   0.00162   0.00162   0.00162   0.00126   0.00112
   0.00578   0.00578   0.00578   0.00219   0.00047
  -0.00739  -0.00739  -0.00739   0.00066   0.00107
  -0.01574  -0.01574  -0.01573  -0.01269  -0.00842
  -0.00626  -0.00626  -0.00626   0.00575   0.00325
  -0.00692  -0.00692  -0.00692  -0.00404   0.00213
  -0.00616  -0.00616  -0.00616   0.00499   0.00110
   0.01384   0.01384   0.01384   0.00577   0.00195
   0.00985   0.00985   0.00985   0.00356   0.00200
  -0.00796  -0.00796  -0.00796  -0.00570   0.00067
   0.00102   0.00102   0.00102   0.00161   0.00188
  -0.01361  -0.01361  -0.01361   0.00325   0.00161
  -0.00610  -0.00610  -0.00610  -0.00159   0.00049
   0.00282   0.00282   0.00282   0.00377   0.00434
   0.00140   0.00140   0.00139  -0.00202   0.00204
   0.01107   0.01107   0.01107   0.00666   0.00247
   0.01707   0.01707   0.01707   0.00539   0.00181
  -0.00335  -0.00335  -0.00335   0.00193   0.00089
   0.00030   0.00030   0.00030  -0.00352   0.00064
  -0.00197  -0.00197  -0.00197  -0.00304   0.00109
  -0.00700  -0.00700  -0.00700  -0.00093   0.00105
  -0.01301  -0.01301  -0.01301  -0.00074   0.00199
   0.01477   0.01477   0.01477   0.00732   0.00308
  -0.00155  -0.00155  -0.00154   0.00242   0.00038
  -0.00859  -0.00859  -0.00859   0.00182   0.00277
   0.00118   0.00118   0.00118  -0.00023   0.00303
  -0.00869  -0.00869  -0.00869   0.00026   0.00106
  -0.00882  -0.00882  -0.00882  -0.00166   0.00121
  -0.01052  -0.01052  -0.01052  -0.00961  -0.00060
  -0.01475  -0.01475  -0.01475  -0.01166   0.00078
   0.02226   0.02226   0.02226   0.01555   0.00396
   0.00394   0.00394   0.00394   0.00555   0.00315
  -0.00076  -0.00076  -0.00076  -0.00081   0.00237
   0.02993   0.02993   0.02993   0.01877   0.00589
   0.00744   0.00744   0.00744   0.00760   0.00540
  -0.00494  -0.00494  -0.00494  -0.00237   0.00220
   0.02061   0.02061   0.02061   0.01179   0.00185
   0.00893   0.00893   0.01877  -0.00122   0.00843
   0.02396   0.02396   0.01583   0.01023   0.00428
   0.00583   0.00583   0.00752   0.00794   0.00177
   0.01038   0.01038   0.00765   0.01019   0.00350
  -0.00871  -0.00871  -0.01329  -0.01290  -0.00031
   0.01626   0.01626   0.01166   0.00684   0.00195
   0.01344   0.01344   0.00730   0.00029   0.00185
  -0.00360  -0.00360  -0.00402   0.00070  -0.00034
  -0.00097  -0.00097   0.00203  -0.00096  -0.00032
   0.00063   0.00063   0.00013  -0.00070  -0.00048
  -0.00250  -0.00250  -0.00466   0.00039   0.00089
   0.00641   0.00641  -0.00099  -0.00091  -0.00007
  -0.02412  -0.02412  -0.01355  -0.00318  -0.00336
  -0.00784  -0.00784  -0.00631  -0.00523  -0.00512
   0.00380   0.00380   0.00602   0.00244   0.00231
   0.00269   0.00269  -0.00313   0.00044   0.00003
   0.00819   0.00819   0.00743   0.00014   0.00172
  -0.00523  -0.00523  -0.00818  -0.00364   0.00226
  -0.00811  -0.00811  -0.01674  -0.00706   0.00033
   0.00146   0.00146   0.00698   0.00067   0.00024
   0.01192   0.01192   0.01000   0.00820   0.00226
   0.00750   0.00750   0.01077   0.00724   0.00184
  -0.00160  -0.00160  -0.01003  -0.00535  -0.00291
   0.00490   0.00490   0.00183  -0.00109   0.00177
   0.00627   0.00627   0.01441   0.01053   0.00622
   0.00141   0.00141  -0.00085   0.00031   0.00041
  -0.01438  -0.01438  -0.01717  -0.01004   0.00101
  -0.00993  -0.00993  -0.00368  -0.00011  -0.00045
   0.02422   0.02422   0.02297   0.01120   0.00359
   0.00300   0.00300  -0.00121   0.00029   0.00509
  -0.02400  -0.02400  -0.01670  -0.00949   0.00016
  -0.01771  -0.01771  -0.01772  -0.01028   0.00012
   0.00305   0.00305   0.00817   0.00917   0.00219
  -0.00699  -0.00699  -0.00773  -0.00221   0.00397
  -0.00730  -0.00730  -0.00939  -0.00305  -0.00232
  -0.02119  -0.02119  -0.02049   0.00094   0.00205
   0.03933   0.03933   0.05052   0.02374   0.00847
   0.00110   0.00110  -0.01206  -0.00125   0.00034
  -0.00143  -0.00143   0.00966   0.00177   0.00176
  -0.02501  -0.02501  -0.01541  -0.01012   0.00128
  -0.00264  -0.00264  -0.01434  -0.00170   0.00275
  -0.02890  -0.02890  -0.01908   0.00223   0.00212
   0.00457   0.00457   0.00769   0.00230   0.00143
  -0.00004  -0.00004   0.00660   0.00219   0.00315
   0.00997   0.00997  -0.00751  -0.00242   0.00211
  -0.00419  -0.00419  -0.00476   0.00587   0.00593
   0.05493   0.05493   0.07438   0.03078   0.00953
   0.03493   0.03493   0.01865   0.03167   0.00716
  -0.01550  -0.01550   0.00494   0.00338   0.00815
   0.01687   0.01687   0.01396   0.01386   0.00453
   0.00960   0.00960   0.01266   0.00528   0.00285
   0.02206   0.02206   0.00474   0.00519   0.00310
   0.01207   0.01207   0.00400   0.00602   0.00366
  -0.01866  -0.01866  -0.01911  -0.00676  -0.00021
  -0.04045  -0.03279  -0.00965  -0.00905  -0.00176
  -0.04052  -0.04632  -0.04986  -0.03562  -0.00814
  -0.01780  -0.01046   0.00105  -0.00166  -0.00031
   0.01117   0.01801  -0.00183   0.00024   0.00532
   0.01603   0.01206   0.01644   0.01196   0.00097
  -0.02144  -0.01835  -0.03106  -0.01501   0.00498
  -0.01026  -0.01076  -0.00122  -0.00134  -0.00177
   0.00422   0.01197   0.01454   0.01074   0.00362
  -0.00480   0.00165  -0.01176  -0.00373   0.00268
  -0.00915  -0.01166  -0.01811  -0.00521   0.00071
  -0.00381  -0.00056   0.00086  -0.00010   0.00244
   0.00205   0.00104  -0.00486  -0.00768   0.00207
   0.01024   0.00597   0.00252   0.00336   0.00226
  -0.01730  -0.00412  -0.01840  -0.00006   0.00106
   0.00609  -0.00566   0.00706   0.00571   0.00168
   0.01736   0.01504   0.01787   0.02111   0.01072
  -0.01201  -0.01187  -0.00949  -0.00915   0.00087
  -0.03184  -0.01589  -0.02404  -0.00718   0.00342
   0.00756   0.01118   0.02665   0.01541   0.00672
   0.01639   0.02039   0.01474   0.00718   0.00499
   0.04976   0.02821   0.03396   0.02917   0.01192
  -0.02036  -0.01698  -0.01384  -0.00643  -0.00208
   0.02457   0.01517   0.01897   0.00314   0.00437
   0.02858   0.01726   0.01554   0.02168   0.01375
   0.03703   0.03676   0.03393   0.02715   0.00311
  -0.01606  -0.00674  -0.00237  -0.00080   0.00120
  -0.00362   0.00752   0.00578   0.00179   0.00316
  -0.00353   0.00152  -0.00603   0.00073   0.00334
  -0.01439  -0.01662  -0.01888  -0.00525   0.00080
   0.03308   0.02973   0.02908   0.02063   0.00553
  -0.01261  -0.01104  -0.00804  -0.00594   0.00065
   0.02423   0.01853   0.01632   0.00903   0.00116
  -0.00024   0.00169  -0.00606   0.00365   0.00328
   0.01560   0.01185   0.01288   0.00536   0.00282
   0.00988   0.00320  -0.00099  -0.00277   0.00260
  -0.02808  -0.02159  -0.01314  -0.00192   0.00202
  -0.00014   0.00113   0.00097   0.00198   0.00365
  -0.01749  -0.00876  -0.00045   0.00195   0.00421
   0.00374   0.00826   0.00936   0.00855   0.00311
   0.00542   0.00585   0.00110   0.00294   0.00380
  -0.00167  -0.00157  -0.00904  -0.00158   0.00209
  -0.00521  -0.00503  -0.00273  -0.00043   0.00236
   0.00484  -0.00160   0.00155  -0.00423   0.00259
   0.00363   0.00783   0.01915   0.01486   0.00372
   0.02625   0.01713   0.01928   0.00923   0.00476
   0.01685   0.01902   0.01643   0.00245   0.00181
  -0.00481   0.01048  -0.00597   0.00488   0.00209
  -0.01176  -0.00884  -0.00351  -0.00277   0.00100
  -0.00819  -0.01069   0.00245  -0.00060   0.00220
   0.03194   0.02331   0.01081   0.01215   0.00367
   0.01547   0.00407   0.00561   0.00242   0.00358
   0.01217   0.01269   0.00544   0.00445   0.00391
   0.00341   0.00018   0.00447   0.00631   0.00175
  -0.00551   0.00236   0.00919   0.00527   0.00220
  -0.00067   0.00372   0.00330  -0.00287   0.00281
   0.00187   0.00069  -0.00219   0.00172   0.00258
  -0.00223   0.00350   0.00256   0.00274   0.00244
  -0.00195  -0.00365  -0.00071   0.00335   0.00285
   0.00363  -0.00108   0.00327   0.00108   0.00178
   0.00404  -0.00210   0.00234   0.00138   0.00294
   0.00449   0.00185   0.00381  -0.00002  -0.00013
   0.00277   0.00293   0.00160   0.00181   0.00245
  -0.00424   0.00509  -0.00174   0.00223   0.00338
  -0.00426  -0.00386  -0.00007   0.00111   0.00186
  -0.00303  -0.00405   0.00632   0.00465   0.00283
  -0.01140  -0.01087   0.00129  -0.00004   0.00329
   0.00076   0.00671   0.00274   0.00363   0.00472
   0.00122   0.00212   0.00056   0.00116   0.00169
  -0.00946  -0.00807   0.00071   0.00133   0.00416
   0.01416   0.00163   0.00451   0.00361   0.00525
   0.01745   0.00993   0.00616   0.00774   0.00253
   0.01473   0.01265   0.00690   0.00390   0.00392
  -0.00136   0.00381   0.00199   0.00274   0.00448
   0.00005   0.00168   0.00141   0.00271   0.00199
  -0.00152   0.00439   0.00543   0.00420   0.00276
   0.00794   0.00647   0.00540   0.00325   0.00228
   0.00220  -0.00110   0.00017   0.00087   0.00149
  -0.00069   0.00032   0.00468   0.00242   0.00535
   0.00705   0.00508   0.00508   0.00499   0.00301
   0.00048   0.00143   0.00177   0.00122   0.00169
   0.00555   0.00757   0.00358   0.00459   0.00461
   0.00695   0.00291   0.00313   0.00257   0.00316
   0.00348   0.00219   0.00342   0.00289   0.00343
   0.00385   0.00685   0.00483   0.00519   0.00473
   0.00141  -0.00054  -0.00044   0.00205   0.00265
  -0.00983  -0.01020  -0.00338   0.00192   0.00252
  -0.02277  -0.01122  -0.00114  -0.00081   0.00205
   0.00883   0.00295  -0.00318   0.00034   0.00404
   0.00756   0.00112  -0.00093   0.00036   0.00314
  -0.00513  -0.01063  -0.01007  -0.01518   0.00031
   0.00226   0.00107  -0.00431  -0.00007   0.00522
  -0.03500  -0.02653  -0.01839  -0.00804   0.00242
   0.01805   0.03140   0.03032   0.01872   0.00692
   0.00985  -0.00796  -0.00653  -0.00185   0.00399
   0.00474   0.00115  -0.00156   0.00107   0.00337
  -0.01136  -0.01415  -0.01047  -0.00174   0.00434
   0.00141   0.00696   0.00076  -0.00315   0.00077
  -0.00432  -0.00937  -0.02034  -0.01247   0.00003
   0.02024   0.01935   0.02756   0.02419   0.00468
   0.02300   0.02360   0.01805   0.00604   0.00405
  -0.01728  -0.01376  -0.01195   0.00071   0.00517
   0.04030   0.02911   0.04163   0.02832   0.00887
   0.02845   0.02579   0.01669   0.01055   0.00729
  -0.02747  -0.02783  -0.01804  -0.00100   0.00269
   0.01665   0.01530   0.02102   0.01875   0.00878
  -0.02634  -0.02658  -0.02423  -0.00774   0.00208
  -0.00290  -0.00290  -0.00011   0.00373   0.00423
  -0.02375  -0.02416  -0.02259  -0.02262  -0.00571
   0.01913   0.01974   0.00239   0.01270   0.00396
  -0.00477  -0.00544  -0.00586  -0.00358   0.00360
  -0.00579  -0.00431  -0.00138   0.00300   0.00390
  -0.04078  -0.03958  -0.01934  -0.00982   0.00361
   0.00447   0.00126  -0.00775   0.00413   0.00334
   0.01015   0.00919   0.00583   0.00268   0.00506
   0.03878   0.03910   0.02502   0.01454   0.00781
  -0.00508  -0.00581   0.00286   0.00466   0.00347
  -0.03008  -0.03041  -0.02214  -0.00261   0.00392
   0.01362   0.01377   0.01658  -0.00227   0.00243
   0.00297   0.00624  -0.01121   0.00704   0.00411
   0.02773   0.02418   0.03421   0.01666   0.00693
   0.02049   0.02032   0.02735   0.01763   0.00973
  -0.00111  -0.00031   0.00017   0.00210   0.00544
  -0.01258  -0.01271  -0.00113   0.00520   0.00409
  -0.01431  -0.01524  -0.00815   0.00091   0.00214
  -0.02187  -0.02054  -0.01625  -0.00161   0.00321
  -0.02745  -0.02797  -0.02118  -0.01733  -0.00138
  -0.01555  -0.01626  -0.00045   0.00927   0.00592
  -0.00232  -0.00318  -0.00595  -0.00101   0.00370
  -0.02145  -0.01909  -0.00231   0.00874   0.00768
   0.04540   0.04680   0.03482   0.00850   0.00545
  -0.03786  -0.03991  -0.02780  -0.00880   0.00130
   0.02977   0.02945  -0.00630  -0.00840  -0.00100
   0.01207   0.01198   0.00036   0.00857   0.00516
  -0.01181   0.00210  -0.00373  -0.00215   0.00536
  -0.05288  -0.07116  -0.04098  -0.03355   0.00565
   0.04988   0.05545   0.04514   0.03825   0.01092
  -0.03600  -0.03645  -0.02584  -0.00678   0.00165
  -0.01873  -0.01948  -0.04984  -0.01810   0.00521
   0.00541   0.00527   0.02883   0.00203   0.00646
   0.07667   0.07564   0.06789   0.04595   0.01665
  -0.00980  -0.00992  -0.00027   0.00807   0.00837
  -0.04240  -0.04204  -0.05087  -0.02597  -0.00293
  -0.04071  -0.04308  -0.00652   0.01127   0.00754
   0.06299   0.06326   0.02140   0.00997   0.00888
   0.03178   0.03237   0.02929   0.01368   0.00949
  -0.01944  -0.01915  -0.00952   0.01186   0.00696
   0.03034   0.03165   0.02179   0.01587   0.00683
  -0.00220  -0.00223   0.00214   0.01432   0.00787
   0.05958   0.05837   0.07303   0.05063   0.01730
  -0.02646  -0.02102   0.00301   0.00451   0.00512
   0.06254   0.05947   0.04465   0.01805   0.01363
  -0.01751  -0.01708  -0.00051   0.02056   0.00948
   0.04061   0.03961   0.05913   0.02163   0.00343
  -0.00361  -0.00758  -0.03742  -0.03526  -0.00477
   0.00357   0.00568  -0.02131  -0.00239   0.00136
  -0.00168  -0.00053  -0.01239  -0.01828  -0.00532
   0.00558   0.00503   0.00873   0.00234   0.00700
   0.04889   0.04708   0.04610   0.04475   0.01282
   0.02059   0.02032   0.02794   0.00633   0.00415
   0.02085   0.01901   0.01489   0.01845   0.01166
  -0.00240  -0.00457   0.01008   0.00349   0.00386
  -0.00256  -0.00785   0.00024   0.02079   0.00895
  -0.00892  -0.00711  -0.00988  -0.00314   0.00583
   0.01480   0.01184   0.00277   0.00751   0.00341
  -0.00741  -0.00245   0.00056  -0.01045  -0.00164
   0.00832   0.00632   0.00932   0.01500   0.00909
   0.02055   0.02437   0.00626   0.01093   0.00508
  -0.00746  -0.00787  -0.00127  -0.00437  -0.00108
   0.02207   0.02140   0.00376   0.00624   0.00768
   0.00679   0.00701  -0.00446  -0.00337  -0.00174
  -0.00355  -0.00487   0.00065   0.00628   0.00301
   0.01310   0.01036   0.01805   0.00451   0.00660
   0.01426   0.01316   0.01457   0.00903   0.00592
  -0.02510  -0.02091  -0.00152  -0.00190   0.00402
  -0.04347  -0.04526  -0.00485   0.00059   0.00007
   0.00084   0.00084  -0.00445  -0.00754   0.00298
   0.00687   0.00687   0.00672   0.00241   0.00048
   0.00326   0.00326   0.00878   0.00892   0.00876
  -0.00857  -0.00857  -0.01030   0.00475   0.00232
  -0.00212  -0.00212   0.00459  -0.00031   0.00040
  -0.04182  -0.04182  -0.03057  -0.03558  -0.00316
   0.03293   0.03293   0.02606   0.03350   0.00951
   0.03991   0.03991   0.03295   0.02867   0.01616
  -0.01550  -0.01550   0.01163   0.00227   0.00981
   0.01476   0.01476   0.00590   0.00621   0.00436
  -0.00696  -0.00696  -0.00467   0.00239   0.00551
  -0.00665   0.00007  -0.00342   0.00027   0.00769
  -0.00279  -0.00349   0.01322   0.00354   0.00443
  -0.03164  -0.02657  -0.01672  -0.02153  -0.00534
  -0.02073  -0.01957  -0.02106  -0.01817   0.00155
   0.01736   0.01792   0.01395   0.01644   0.01009
   0.00623   0.00147  -0.00405  -0.00939   0.00370
  -0.00826  -0.00713  -0.01312   0.00207   0.00666
  -0.03191  -0.02085  -0.00986  -0.00118   0.00046
   0.02644   0.01526   0.03008   0.03210   0.02222
   0.04154   0.04766   0.03468   0.01108   0.01135
   0.01212   0.02431   0.02321   0.02225   0.00724
   0.00301   0.01168   0.01287   0.01745   0.01021
   0.02906   0.01579   0.00869   0.00657   0.01600
   0.00901   0.00571   0.01003   0.01474   0.00739
  -0.03278  -0.03106  -0.00341  -0.00839   0.00231
  -0.01708  -0.02415  -0.00918  -0.01675   0.00068
   0.03038   0.03340   0.00605   0.02727   0.01246
   0.02336   0.02956   0.00155   0.00017  -0.00118
  -0.00915   0.00232  -0.00188  -0.00211   0.00289
  -0.00534  -0.01767  -0.00636   0.00170   0.00490
  -0.01155  -0.02286  -0.02726   0.00182   0.00452
   0.05372   0.04250   0.01722   0.03187   0.02032
  -0.01372  -0.00097   0.01151  -0.00188   0.00342
   0.04110   0.03028   0.03276   0.02407   0.01110
   0.01208   0.01787   0.03531   0.00525   0.01129
   0.00249   0.01045  -0.00031   0.00638  -0.00007
   0.02214   0.01335   0.00393   0.00918   0.00691
  -0.00066   0.00146  -0.00261   0.00785   0.00553
  -0.01284  -0.02116  -0.00033  -0.00977  -0.00105
   0.01968   0.02150   0.01461   0.01004   0.00912
   0.00652   0.00890   0.00604   0.00568   0.00893
   0.02137   0.01125   0.00917   0.01583   0.00798
   0.01637   0.02135   0.02149   0.01324   0.00648
   0.00894   0.01355   0.01823   0.01642   0.00772
   0.03368   0.03326   0.02427   0.03337   0.01053
   0.03541   0.03771   0.03799   0.00461   0.00580
  -0.03888  -0.02320  -0.02608  -0.02198  -0.00265
  -0.00452   0.00995   0.00424   0.00196   0.00615
   0.01140   0.01358   0.00025   0.00824   0.00703
   0.00551   0.00681  -0.00458   0.00888   0.00442
   0.01298  -0.00011  -0.00219   0.00734   0.00300
   0.01948   0.01668   0.01398   0.01496   0.00789
  -0.00951  -0.01329  -0.00494  -0.00720  -0.00011
   0.02139   0.01848   0.01175   0.00850   0.00455
  -0.00376  -0.00991   0.00186  -0.00043   0.00286
  -0.00792  -0.00919  -0.00364  -0.00611   0.00272
   0.00875   0.00586   0.00735   0.00909   0.00682
  -0.01797  -0.00572  -0.00983  -0.00338   0.00394
  -0.00967  -0.00469  -0.00326   0.00067   0.00412
   0.00175  -0.00420  -0.00004   0.00049   0.00542
  -0.00204  -0.00760  -0.00035   0.00400   0.00567
   0.00016  -0.00425   0.00090   0.00364   0.00450
  -0.00643  -0.02755  -0.00593  -0.00167   0.00302
  -0.00582  -0.00207  -0.00645  -0.00232   0.00259
   0.01383   0.01477   0.01180   0.00953   0.00750
   0.02555   0.03876   0.01792   0.00846   0.00614
  -0.01001  -0.00492  -0.00375   0.00151   0.00167
  -0.01893  -0.02980  -0.01792  -0.01182  -0.00149
   0.01740   0.01564   0.01406   0.01455   0.00582
  -0.00988  -0.01187  -0.01209  -0.01275   0.00401
   0.01976   0.01801   0.02206   0.02278   0.01359
  -0.01622  -0.01426  -0.00725  -0.00654   0.00585
   0.01361   0.01047   0.01132   0.01227   0.01113
  -0.01244  -0.00787  -0.00681   0.00230   0.00625
   0.02447   0.01960   0.02609   0.02112   0.01196
   0.03282   0.03532   0.02346   0.02124   0.01353
  -0.00798  -0.00614  -0.00518  -0.00177   0.00244
  -0.00345  -0.00706  -0.00666  -0.00623   0.00201
  -0.00812  -0.01072  -0.00501  -0.00147   0.00310
  -0.07729  -0.08406  -0.06672  -0.05142  -0.00846
   0.02516   0.03114   0.04804   0.03861   0.02220
   0.00583   0.00571   0.01195   0.00723   0.00443
  -0.07543  -0.07410  -0.03748  -0.01479   0.00436
  -0.07111  -0.04672  -0.05051  -0.05802  -0.01721
   0.00583  -0.03147   0.04834   0.00970   0.00698
   0.13314   0.15235   0.08438   0.10612   0.05606
   0.04399   0.04509   0.03848   0.04306   0.02716
   0.04573   0.03245   0.02931   0.01240   0.01198
  -0.05208  -0.04288  -0.04269  -0.01451   0.00255
  -0.03405  -0.04169  -0.02764  -0.04723  -0.01130
  -0.02967  -0.03039  -0.00721  -0.00169   0.00465
  -0.03118  -0.02608  -0.02365  -0.02085  -0.00032
   0.01553   0.01341   0.00980  -0.00477  -0.00098
   0.03826   0.03402   0.02754   0.03836   0.02296
  -0.01309  -0.01034  -0.00403   0.00409   0.00608
  -0.03964  -0.03964  -0.02898  -0.02232   0.00659
   0.03177   0.03177   0.02767   0.02566   0.02168
  -0.05287  -0.05287  -0.03825  -0.02382  -0.00722
   0.04984   0.04984   0.04524   0.02749   0.01043
  -0.00476  -0.00476  -0.00698   0.00557   0.01518
  -0.03410  -0.03410  -0.02849  -0.02424  -0.00022
  -0.04068  -0.04068  -0.02260  -0.01716   0.00812
  -0.01747  -0.01747  -0.00804   0.00136   0.01683
   0.07912   0.07912   0.07429   0.06454   0.02956
   0.11368   0.11368   0.08452   0.06717   0.03912
  -0.04724  -0.04724  -0.03278  -0.03874  -0.00149
  -0.00103  -0.00103   0.00288   0.00567   0.00720
   0.01887   0.01887   0.01910   0.01364   0.01135
   0.02467   0.02467   0.00563   0.00476   0.01256
   0.03242   0.03242   0.02693   0.03088   0.01663
   0.00663   0.00663   0.02061   0.01100   0.01748
  -0.02177  -0.02177  -0.02499  -0.01670   0.00048
   0.04526   0.04526   0.04146   0.04884   0.02643
   0.08230   0.08230   0.07607   0.04243   0.02512
   0.05927   0.05927   0.03954   0.03672   0.01857
   0.07936   0.07936   0.09999   0.05264   0.01658
  -0.01195  -0.01195  -0.01014   0.00672   0.01015
   0.03131   0.03131   0.03630   0.01781   0.01264
  -0.02851  -0.02851  -0.02040  -0.00012   0.00736
   0.05129   0.05129   0.04230   0.02537   0.01068
  -0.00931  -0.00931  -0.01117  -0.00345   0.00220
   0.03451   0.03451   0.03002   0.02328   0.01235
  -0.03833  -0.03833  -0.02976  -0.01396   0.00245
   0.00320   0.00320   0.00078   0.00269   0.00511
  -0.04787  -0.04787  -0.04400  -0.01862   0.00220
   0.00267   0.00267   0.01278   0.00393   0.00896
   0.05074   0.05074   0.04249   0.02829   0.01460
  -0.01385  -0.01385  -0.01099   0.00837   0.00971
   0.01842   0.01842   0.01613   0.00966   0.00687
  -0.00450  -0.00450  -0.00031   0.00349   0.00726
