   AGE       C      MWD     MER    DELL    HPQ      IBM     AA      CAT     PG
   -6.96   -0.32   -1.20   -2.28    9.09   22.89   -2.45    7.86    4.22   -2.37
   -9.21   -3.35   -1.68   -1.90    3.96   10.21   -4.22    1.29    1.97    0.28
  -16.63    1.12  -11.40  -11.22    7.93   -0.93    8.37   10.01   12.24    1.20
    9.57   -5.84    4.77   -0.71    2.08   -5.30    1.03    0.02    7.27   -0.79
   -8.15   -0.31   -2.74    3.82  -32.86   -9.42    7.55   -2.56  -11.28  -10.77
   -0.88   14.91    9.46    1.71   26.63    6.45   -3.46   -3.07    2.80   10.38
    4.09   -9.92   -7.78   -3.32    9.52  -22.37   -7.56  -12.09  -12.93   -7.67
   -7.39    9.82   -5.43    1.77   13.12   -2.51   -7.02    2.27    7.79    5.09
   11.30   -2.52    2.89    9.14   18.98    1.78  -17.42    5.04    0.29    7.41
   16.41   11.90    7.30    9.31    7.43   16.66    3.60    0.85    8.35    2.34
   -6.65    1.04    4.92   -1.72   30.34    5.11  -26.46    1.87   -5.78   -1.42
    8.74    9.57    1.32    9.62   -3.90    2.79    1.98    3.59    4.69   -6.96
   -2.19    3.50    1.96    4.42  -30.79    2.19    6.39   -5.42    3.10    4.28
    7.77   25.84   10.80    4.34    9.09    3.25   -6.68   -8.27    1.69   -4.33
   -5.31   -0.51   -6.68   -1.29  -17.68   -1.88   -4.66    2.28   17.14   -1.19
   -5.49    0.92    9.98    7.70  -16.63   11.11    9.35    2.44    3.18   -0.25
    4.90   13.22    4.89    6.68  -22.94   -2.80   -6.65    3.45    4.28    5.60
    6.12    2.36    1.74    7.15    7.08  -11.36  -10.13    1.53    2.62   -5.91
    0.76    9.63   17.68   11.65   -8.95    2.70    3.12    5.75    6.74   -1.02
    8.01    7.36    4.73    0.79   -9.77   -7.67   -8.44  -10.89   -4.20   -2.05
    4.41   -7.84   -9.88   -0.99   21.55    7.43    9.27    1.05   15.76   14.61
   -3.50   -9.32   -8.66   -6.58   33.69   -0.09   17.40    2.17   -7.09    4.35
   -3.44   -3.07   -1.65   -7.69  -16.84    7.20    4.62   -0.07    4.14    0.19
    1.38    8.11   11.94    7.07   -3.01    7.66   -0.25   14.38   16.91    4.68
   -5.08  -11.84  -15.96   -9.74   13.37    6.03   -6.24   -5.17    3.81   -3.63
  -19.17   -5.34   -4.23   -8.60    0.71   -9.39    3.02   -5.11    3.40   -7.25
   -1.71   -1.72   -4.02   -1.31  -13.18   -2.59    4.96   -5.37   -2.40    6.58
    6.83   -5.31   -2.90    6.04   29.77   -2.53    9.65    4.10   -3.08   -1.22
   -8.35   -2.25   -5.16  -10.60   -8.20   -4.10   -7.09    3.19   -6.78   -5.67
    1.09    2.35    6.23    4.28    5.80    2.80    4.96    6.65    8.31    4.74
   14.63   11.78   15.17   11.18   15.70   15.41   10.74    7.49    6.09    8.82
   -9.01  -11.53  -11.32  -15.15   14.81   -2.83    1.26    0.51   -6.56   -2.44
    0.96    5.29    4.82   13.97   18.45   11.60    6.59    0.65   10.26    5.63
   -6.44   -5.76   -9.54   -3.93   -3.67   -0.57   -5.14   -4.69   -9.85   -1.04
    3.88   -1.61   -0.68   -6.39   -5.26    2.01    3.42    5.66    1.38   -1.27
    1.61   14.04    1.43    2.62    3.49    0.15   -2.35   -9.19   -6.82    5.13
   21.97    4.94   11.58   11.46   -3.12   13.95    4.20   -1.28    0.01    1.63
   -2.08   -1.12    0.00    3.18    4.94    4.46    8.66    5.93    7.03   -0.85
    3.51    6.65    2.68    6.59   24.67    9.39   14.75    7.66    5.39    5.53
   -1.57    1.82    9.06    3.40   -8.46   -0.66   -1.93    3.65    2.52    2.39
   -0.39    3.40    7.26   11.25   18.90   12.73    2.77    7.34    6.18   -0.46
    8.44    7.83    1.92    5.26    7.66    4.08   12.96   13.26    9.63   -4.07
   -0.96    1.29    3.44    3.85   18.01    2.28   -5.27    0.16   -5.07    0.28
    9.37   10.24   11.22    8.02    9.95    4.03   -9.02   -7.88  -15.71   10.55
   -4.66   -5.04  -10.42  -11.64    9.27   10.65    2.47   -3.99   -0.04    5.27
    6.06   17.77   -1.31    0.02   -5.54  -10.84   -0.83   14.70    7.70    6.34
  -12.00    4.82   -6.95   -8.54  -22.18    0.72   -5.86  -10.04   -4.71   -4.47
    4.82    4.57   18.16   11.61  -21.36    0.78   18.32    5.18    9.75    1.27
   -3.89    1.65   -1.98    0.92   25.17   18.48   12.85    2.07    3.29   -2.78
    2.82   -1.72   10.52    5.01   -2.96   -6.79   -9.69    9.70    1.46    2.94
   -5.94   -7.23   -3.44   -1.03   36.53   12.07   -3.56   -0.81   -5.60   -0.24
    8.62    1.17   -1.91    7.32   20.29    0.17   -1.02   -1.09    1.92    3.58
    6.05    9.52   -1.18    0.15   -8.55   -6.65   -7.68   -7.32    2.81    2.70
    0.49   -7.83   -0.84   -7.26    8.66  -12.10    8.16    1.24   -2.61   -1.45
    1.86    2.60   -2.47    1.03   20.53   -0.99    6.30    6.69    4.13   -0.84
    4.16   12.83    3.76    7.13   15.40   11.28    8.43   -5.45    9.01    9.28
    2.16   10.32    0.94    6.23    4.25   -9.90    3.20   -0.49   -8.84    1.58
    4.18   10.18   19.23   14.24   24.47   21.68   23.40    8.11   14.88    9.43
    7.70    0.42   -5.40    1.15    4.14   -6.92   -5.35   -0.21   -5.31   -1.44
    0.70   15.34   -0.07    2.80   24.05    4.31    3.13    7.82    3.27    7.08
    3.99    1.97   10.09   14.06    7.14    6.23   -8.56    3.17    0.39    3.47
  -13.30  -10.92   -7.36  -10.98   -5.35   -5.11   -4.95   -4.99    2.13   -4.90
   13.39   15.19    7.36   10.66   23.32   -2.07   16.51    2.69   10.97    9.55
    5.65   -1.05    7.10   11.16   34.01   -2.33    7.62    4.95    9.27    9.22
   15.23   14.25    4.27   12.09    3.98    8.60    3.92    1.97    9.58    2.04
   -1.59   13.89   21.68   17.71   45.19   24.58   16.75   16.99    4.35    7.64
   -6.35  -12.16   -8.65  -12.83   -4.45  -12.57   -4.38   -7.21    3.25  -12.92
   29.32    7.17   11.93   20.22   17.64   12.92    4.15   -0.72   -7.52    3.34
   -3.33    2.28   -9.52   -9.26  -17.70  -11.83   -7.49  -11.39   -4.93   -1.59
    2.20    8.59   10.41    3.66    4.64   -1.24   10.94   -7.96   -6.89   11.61
   16.43    5.47    8.43    3.49   -0.65    1.84   -4.88    4.22    0.74    4.33
   -5.14   -8.43   -1.35  -13.70   17.96   -4.03   -6.04    8.11   -0.93   -1.90
   11.13   12.06   19.17   13.03   40.24   11.01    5.54   -4.03   13.25    7.87
    4.03    7.45    3.97   15.56   -3.55   -5.62   -0.96   -6.64    0.50   -1.01
    2.43    1.77    8.10    5.52   18.78   18.52   11.14   12.21    3.45   -2.71
  -10.64   -0.31   -1.45    1.51    1.63  -17.75    1.18  -10.58   -3.93    1.64
    5.01   -1.43   16.64    2.80   12.21   -4.07   -2.70   -5.37   -4.11    8.15
   -8.91   10.72   -4.91    5.68   16.59   -7.72   14.99    4.70   -8.17  -12.94
  -30.97  -34.89  -33.72  -32.73   -8.32  -12.91  -15.24  -13.48  -13.81   -4.03
   11.88  -15.28  -26.11  -28.89   31.12    8.95   13.71   18.20    5.57   -7.41
   13.69   25.48   50.86   24.70   -0.71   13.48   15.23   11.29    1.33   24.76
    7.23    6.55    6.75   27.16   -7.52    3.47   10.98   -6.20    9.65   -1.57
    0.18   -1.48    1.61  -11.37   19.98    9.08   11.29    0.06   -7.32    3.84
   -9.42   12.83   21.98   13.31   36.27   14.37   -0.97   11.71   -5.55   -0.53
   -4.24    4.42    4.10    1.10  -20.25  -15.60   -7.62   -2.95    4.83   -1.88
    0.47    8.35   10.06   14.94    1.66    1.94    4.05    1.33    0.45    9.06
    6.72   17.19   -0.87   -5.23    0.41   15.96   17.66   50.78   40.43   -4.28
   -4.30  -11.89   -3.09   -0.28  -16.76   19.20   10.65  -11.70  -15.13   -0.84
   -4.02    7.17    5.97   -5.74    7.06    6.35   11.04   12.12    8.96   -4.80
  -14.53   -6.27  -12.20  -14.84   10.09    3.79   -3.14   -3.61   -2.13    1.45
   -9.65   -0.67   -5.31    9.93   19.03    0.26   -1.19    7.77   -3.81    9.20
    5.18   -1.38    3.54  -10.26  -14.73  -14.12   -3.25   -4.26   -3.59   -5.93
   14.29   23.21   23.55   16.11   -4.44  -18.66  -19.21   -2.52    1.10   11.80
   -2.08   -1.11    8.93    2.47    6.74   27.46    4.60    7.73  -16.58    3.03
    7.84    2.93   17.91    3.06   18.17   19.63    4.24   26.28    1.05    0.55
    2.87    1.91   -7.34    3.68  -25.08   -5.28    3.61  -16.48   -9.58   -7.91
   -4.80   -9.28    5.86   18.00    5.72   23.79   -8.82   -1.81  -17.84  -13.51
   26.26   15.09   17.18    1.96   31.68   -1.56   14.37    2.08   12.00  -36.18
   -6.41   -0.73   -7.62   -3.39   -7.54    1.13   -5.98   -8.12    0.35    5.85
   -7.20    3.92   -7.32   -3.44  -14.45  -11.45   -4.07  -10.02   -3.49   10.81
   11.15   -3.59   15.96   16.13   13.87   28.97    1.56   -1.22  -11.91  -14.38
   35.08   16.62    9.35   11.89  -11.40  -13.06    2.13    3.81    1.06   -0.54
   -1.86   10.06   17.37   11.93   -1.22   10.08   17.01    9.82    7.38    8.17
    0.10   -7.89  -15.49   -9.47  -29.87  -20.04  -15.27  -24.37   -8.66    7.89
   -3.50   -3.17  -12.46    5.55   -4.77   -4.63  -12.95   12.82    4.39    6.64
  -12.21   -5.59  -21.60  -17.61  -35.26  -32.50   -5.46   -1.82   11.61    4.30
    5.73    2.03   24.57   17.34   -9.90   -0.43   -9.57   18.37   19.87    4.28
   -1.23    9.18    6.86    6.13   49.39   16.32   31.34    9.69   -6.25   -8.39
  -17.81  -12.29  -23.60  -17.79  -16.67  -22.12  -11.09   -3.07   -6.33   -2.27
   -4.77   -8.91  -18.23   -7.88   17.06    8.30   -4.09    0.16    6.31  -11.57
    9.60    8.95   17.47   11.05    1.83   -9.40   19.39   14.84   13.56   -3.84
    4.25    4.26    3.23    5.26   -7.47    2.83   -3.08    4.29    7.59    6.68
    5.92    2.81   -1.49   -9.09    7.06   -2.47    0.78   -8.98   -7.88   -0.98
   -3.07   -5.27   -6.80   -8.75    2.69  -14.07   -7.19   -0.72   10.50   11.62
   -7.02   -8.74  -11.10   -4.85  -20.89   -6.16   -5.15   -2.73   -9.54    4.13
  -13.77  -11.79  -13.34  -21.54  -13.55  -30.72   -8.45  -18.87  -10.62   -2.05
   12.44   12.21    5.86    7.87   29.23    4.68   17.65    4.37    0.42    1.70
    7.58    5.42   13.30   14.44   16.32   30.50    6.93   19.46    5.88    4.83
    3.92    5.25    0.65    3.91   -2.83   -6.37    4.51   -8.04   10.05    2.02
   -3.90   -5.92   -1.41   -2.32    1.00    7.51  -10.94    0.71   -3.24    3.57
   -4.05   -4.68  -10.84   -5.77  -10.33   -9.14   -9.07    5.07   10.26    3.66
    7.90    9.29   16.52   15.35    5.60  -10.59    5.84    0.30    2.26    6.10
   -7.10  -12.70  -16.48  -24.41    0.74   -4.83  -19.61   -9.97   -3.45    0.47
   -3.15   -0.01   -4.88   -2.70    1.79   11.49   -3.92    3.09   -4.45   -0.93
   -1.80  -10.40   -5.38   -0.66   -2.79  -19.68  -10.64   -5.37   -6.49    0.40
  -11.64  -13.59   -5.94  -11.72   -4.77   -7.53   -2.36  -18.09   -8.11   -0.03
    9.28    4.51    5.74    1.46    6.64   -5.22    7.15   -7.38   -2.51   -0.52
  -14.75   -9.60  -20.83   -9.16  -11.82  -12.64  -22.78  -23.21  -14.85    0.69
    2.75   25.10   15.42   15.04   21.56   35.26   35.25   14.17   10.56   -0.71
    9.68    5.12   16.14   14.94   -0.14   23.19   10.20   16.40   22.05   -4.53
   -8.41   -9.59  -11.86  -12.86   -6.60  -10.57  -10.94  -10.94   -8.48    1.57
  -13.42   -1.83   -4.58   -7.82  -10.87    0.19    0.81  -13.31   -3.14   -0.05
   -6.75   -3.12   -2.87   -2.32   12.89   -9.06   -0.23    4.35    6.77   -4.43
   -2.38    3.23    3.98    3.78    1.20   -1.48    0.52   -5.56    4.59    8.69
   15.08   13.84   17.19   15.87    6.02    4.73    8.15   19.00    7.53    1.26
   10.20    4.93    2.15    5.78    8.16   19.54    3.80    7.24   -0.95    2.10
    4.36    4.26   -6.63    7.73    1.42    9.56   -6.37    3.54    6.65   -2.95
    8.08    5.42   11.43   16.40    5.70   -0.69   -1.59    8.83   21.77   -1.03
   -2.76   -3.32    2.77   -0.87   -3.23   -5.94    1.05    3.31    6.38   -0.74
    7.06    4.90    3.34   -0.54    2.37   -2.54    7.63   -8.48   -4.24    6.26
    5.36    4.85    9.12   10.52    7.64   15.16    1.23   20.60    6.91    6.31
   -9.36   -0.86    0.67   -3.95   -4.05   -2.63    1.29    4.33    3.70   -2.16
   -1.03    3.14    4.61    3.27   -1.78    5.95    2.29   15.74    9.09    3.71
