year mon day c1t c3t 
1964 3 6 0.05 0.04
1964 3 13 -0.01 0.01
1964 3 20 0 0.03
1964 3 27 0.04 0.07
1964 4 3 0.01 -0.01
1964 4 10 -0.02 -0.02
1964 4 17 0 0
1964 4 24 -0.04 -0.02
1964 5 1 -0.04 -0.03
1964 5 8 0.01 -0.03
1964 5 15 -0.04 -0.07
1964 5 22 0.02 0.03
1964 5 29 0 -0.01
1964 6 5 0 -0.01
1964 6 12 0.01 0
1964 6 19 0 0
1964 6 26 -0.03 -0.03
1964 7 3 -0.03 -0.03
1964 7 10 -0.04 -0.03
1964 7 17 -0.08 -0.02
1964 7 24 0.04 0.03
1964 7 31 -0.01 -0.01
1964 8 7 0 -0.01
1964 8 14 0.04 0.02
1964 8 21 0.01 -0.01
1964 8 28 0.02 0.01
1964 9 4 0.06 0.04
1964 9 11 0.03 0.04
1964 9 18 -0.01 0
1964 9 25 -0.03 -0.02
1964 10 2 0.02 0.01
1964 10 9 0.02 0.02
1964 10 16 0.01 0.01
1964 10 23 0 -0.02
1964 10 30 0 -0.01
1964 11 6 -0.01 0
1964 11 13 -0.01 -0.02
1964 11 20 0.01 0.02
1964 11 27 0.17 0.11
1964 12 4 0.04 0
1964 12 11 -0.04 -0.05
1964 12 18 -0.04 -0.01
1964 12 25 0.02 0.01
1965 1 1 0 0.01
1965 1 8 -0.07 -0.03
1965 1 15 0 -0.02
1965 1 22 0 -0.02
1965 1 29 0 0.02
1965 2 5 0.04 0.02
1965 2 12 0.04 0.03
1965 2 19 0.02 0.01
1965 2 26 0.04 0.02
1965 3 5 0.02 0.03
1965 3 12 -0.02 0.02
1965 3 19 -0.04 -0.03
1965 3 26 0 -0.02
1965 4 2 0 0.01
1965 4 9 0 -0.01
1965 4 16 -0.01 0
1965 4 23 0.01 0.02
1965 4 30 0 -0.01
1965 5 7 -0.01 -0.02
1965 5 14 -0.01 0.02
1965 5 21 0.01 0
1965 5 28 0.01 -0.02
1965 6 4 -0.01 0
1965 6 11 0 0
1965 6 18 -0.03 -0.01
1965 6 25 -0.06 -0.05
1965 7 2 0.02 0.02
1965 7 9 0.02 0.02
1965 7 16 0 0.01
1965 7 23 0 0
1965 7 30 0.02 0.01
1965 8 6 0.03 0.03
1965 8 13 0.02 0.02
1965 8 20 0.02 0.02
1965 8 27 0.03 0.01
1965 9 3 0.04 0.04
1965 9 10 0.01 0.01
1965 9 17 0.02 -0.02
1965 9 24 0.05 0.03
1965 10 1 0.13 0.07
1965 10 8 -0.06 -0.01
1965 10 15 -0.03 0
1965 10 22 0.03 0.04
1965 10 29 0.03 0.02
1965 11 5 0.05 0.08
1965 11 12 0.01 0.04
1965 11 19 -0.02 -0.03
1965 11 26 0.03 0
1965 12 3 0.02 0.06
1965 12 10 0.2 0.18
1965 12 17 0.12 0.14
1965 12 24 0.08 0.04
1965 12 31 0.1 0.08
1966 1 7 -0.01 0
1966 1 14 -0.03 -0.08
1966 1 21 -0.01 0.01
1966 1 28 0.01 0.03
1966 2 4 0.01 0.05
1966 2 11 0.04 0.05
1966 2 18 0.05 0.05
1966 2 25 0.02 0
1966 3 4 0.02 -0.02
1966 3 11 0 -0.02
1966 3 18 -0.01 -0.06
1966 3 25 -0.08 -0.05
1966 4 1 -0.01 0
1966 4 8 -0.04 -0.08
1966 4 15 0.04 0.04
1966 4 22 -0.01 0.03
1966 4 29 0.01 0.05
1966 5 6 0.02 0.03
1966 5 13 -0.04 -0.04
1966 5 20 0.01 0.02
1966 5 27 0.1 0.13
1966 6 3 0.03 -0.01
1966 6 10 0 0
1966 6 17 -0.04 -0.07
1966 6 24 -0.12 -0.04
1966 7 1 0.09 0.17
1966 7 8 0.11 0.04
1966 7 15 0.13 0.11
1966 7 22 0.02 -0.02
1966 7 29 -0.01 0.02
1966 8 5 0.02 0.04
1966 8 12 0.1 0.11
1966 8 19 0.26 0.27
1966 8 26 0.2 0.28
1966 9 2 0.1 -0.02
1966 9 9 -0.09 -0.19
1966 9 16 0.11 0.05
1966 9 23 -0.03 0.08
1966 9 30 -0.2 -0.28
1966 10 7 -0.06 -0.12
1966 10 14 -0.02 0.04
1966 10 21 -0.02 -0.07
1966 10 28 -0.04 -0.06
1966 11 4 0 0.06
1966 11 11 0.07 0.07
1966 11 18 -0.02 0.03
1966 11 25 -0.1 -0.06
1966 12 2 -0.04 -0.05
1966 12 9 -0.01 -0.01
1966 12 16 -0.24 -0.24
1966 12 23 -0.16 -0.25
1966 12 30 -0.03 -0.03
1967 1 6 -0.08 -0.04
1967 1 13 -0.16 -0.1
1967 1 20 -0.08 -0.11
1967 1 27 0 0
1967 2 3 -0.08 -0.07
1967 2 10 0.02 0.03
1967 2 17 0.13 0.14
1967 2 24 0.07 0.04
1967 3 3 -0.14 -0.12
1967 3 10 -0.13 -0.09
1967 3 17 -0.26 -0.16
1967 3 24 -0.1 -0.12
1967 3 31 -0.05 -0.01
1967 4 7 -0.04 -0.03
1967 4 14 -0.02 0.01
1967 4 21 0.02 0.08
1967 4 28 0 0.1
1967 5 5 0.02 0.04
1967 5 12 0.01 0.07
1967 5 19 0.01 0.02
1967 5 26 0.03 0.06
1967 6 2 0.01 -0.1
1967 6 9 0.04 0.08
1967 6 16 0.22 0.27
1967 6 23 0.1 0.08
1967 6 30 0.24 0.05
1967 7 7 0.21 0
1967 7 14 -0.06 -0.05
1967 7 21 0.04 0.05
1967 7 28 0.12 0.05
1967 8 4 -0.01 -0.03
1967 8 11 0.04 0.1
1967 8 18 -0.03 0.03
1967 8 25 0.04 0.12
1967 9 1 0.04 0.02
1967 9 8 -0.01 -0.01
1967 9 15 0.04 0.06
1967 9 22 0.06 0.05
1967 9 29 0.04 0.01
1967 10 6 -0.01 -0.02
1967 10 13 0.03 0.04
1967 10 20 0.08 0.06
1967 10 27 0.01 0.02
1967 11 3 0.07 0.1
1967 11 10 0.14 0.14
1967 11 17 -0.02 -0.07
1967 11 24 0.03 -0.06
1967 12 1 0 -0.01
1967 12 8 0.07 0.03
1967 12 15 -0.01 0.02
1967 12 22 0 -0.03
1967 12 29 0.04 0.06
1968 1 5 -0.11 -0.12
1968 1 12 -0.17 -0.13
1968 1 19 -0.11 0.02
1968 1 26 0.02 0.03
1968 2 2 -0.02 0
1968 2 9 0.08 0.08
1968 2 16 -0.03 -0.04
1968 2 23 0.01 0.03
1968 3 1 0.03 0.05
1968 3 8 0.03 0.06
1968 3 15 0.16 0.19
1968 3 22 0.03 -0.1
1968 3 29 -0.06 -0.01
1968 4 5 -0.1 -0.22
1968 4 12 0.04 -0.05
1968 4 19 0.18 0.21
1968 4 26 0.19 0.21
1968 5 3 0.1 0.04
1968 5 10 0.04 0.05
1968 5 17 0.08 0.09
1968 5 24 0.19 0.15
1968 5 31 -0.17 -0.23
1968 6 7 -0.11 -0.17
1968 6 14 0 -0.01
1968 6 21 -0.1 -0.15
1968 6 28 -0.02 0.07
1968 7 5 -0.08 -0.11
1968 7 12 -0.14 -0.11
1968 7 19 -0.01 0
1968 7 26 -0.19 -0.16
1968 8 2 -0.08 0.03
1968 8 9 -0.04 -0.03
1968 8 16 0.1 0.03
1968 8 23 -0.01 0
1968 8 30 -0.03 -0.05
1968 9 6 -0.01 -0.03
1968 9 13 0.07 0.08
1968 9 20 -0.07 -0.07
1968 9 27 -0.01 0.02
1968 10 4 0.04 0.05
1968 10 11 0.11 0.08
1968 10 18 0 0
1968 10 25 0.02 0.02
1968 11 1 0.07 0.02
1968 11 8 0.06 0
1968 11 15 0.03 0.01
1968 11 22 0.02 0.01
1968 11 29 -0.01 0.01
1968 12 6 0.2 0.3
1968 12 13 0.06 0.13
1968 12 20 0.22 0.21
1968 12 27 0.27 0.21
1969 1 3 -0.07 -0.09
1969 1 10 0.05 0.02
1969 1 17 -0.2 -0.2
1969 1 24 -0.07 -0.07
1969 1 31 0.1 0.1
1969 2 7 0.09 0.06
1969 2 14 -0.02 -0.03
1969 2 21 0.02 0.12
1969 2 28 0.02 0.08
1969 3 7 0.01 0.06
1969 3 14 -0.1 -0.09
1969 3 21 -0.03 -0.04
1969 3 28 -0.04 -0.07
1969 4 4 -0.02 -0.03
1969 4 11 0 0
1969 4 18 0 -0.04
1969 4 25 0.03 0.01
1969 5 2 0.01 0.12
1969 5 9 0.05 0.04
1969 5 16 0.08 0.07
1969 5 23 0 0.12
1969 5 30 0.16 0.1
1969 6 6 0.21 0.05
1969 6 13 0.3 0.03
1969 6 20 -0.18 0.01
1969 6 27 0.35 0.22
1969 7 4 0.43 0.29
1969 7 11 -0.01 0.02
1969 7 18 -0.15 -0.05
1969 7 25 0 0.11
1969 8 1 0.05 -0.01
1969 8 8 -0.1 -0.12
1969 8 15 0.1 0.11
1969 8 22 -0.13 -0.1
1969 8 29 0.18 0.12
1969 9 5 0.11 0.14
1969 9 12 0.06 0.18
1969 9 19 0.01 0.13
1969 9 26 0.02 0.09
1969 10 3 0.14 0.17
1969 10 10 -0.15 -0.23
1969 10 17 -0.22 -0.35
1969 10 24 -0.21 -0.24
1969 10 31 0.15 0.15
1969 11 7 0.14 0.08
1969 11 14 0.12 0.13
1969 11 21 0.21 0.17
1969 11 28 0.03 -0.07
1969 12 5 -0.02 0.04
1969 12 12 0.14 0.3
1969 12 19 0.01 0.13
1969 12 26 0.04 0.06
1970 1 2 0.13 0.19
1970 1 9 -0.16 -0.08
1970 1 16 -0.18 -0.16
1970 1 23 0.04 -0.06
1970 1 30 0.11 0.13
1970 2 6 -0.21 -0.21
1970 2 13 -0.22 -0.16
1970 2 20 -0.29 -0.19
1970 2 27 -0.22 -0.24
1970 3 6 -0.16 -0.23
1970 3 13 -0.07 -0.06
1970 3 20 0.05 0.06
1970 3 27 -0.24 -0.27
1970 4 3 0.07 0.14
1970 4 10 -0.05 0.05
1970 4 17 0.06 0.17
1970 4 24 0.31 0.25
1970 5 1 0.47 0.24
1970 5 8 0.07 0.1
1970 5 15 0.06 0.03
1970 5 22 -0.06 0
1970 5 29 0.06 0.03
1970 6 5 -0.21 -0.23
1970 6 12 0.01 0.1
1970 6 19 0.02 0.08
1970 6 26 -0.1 -0.06
1970 7 3 -0.14 -0.14
1970 7 10 -0.13 -0.13
1970 7 17 -0.17 -0.05
1970 7 24 -0.04 -0.01
1970 7 31 0.01 0.01
1970 8 7 0.04 0
1970 8 14 0.1 0.03
1970 8 21 -0.15 -0.1
1970 8 28 -0.31 -0.17
1970 9 4 0.12 0.03
1970 9 11 0.03 -0.04
1970 9 18 -0.08 -0.18
1970 9 25 -0.23 -0.21
1970 10 2 0.05 0.07
1970 10 9 -0.08 -0.03
1970 10 16 -0.09 0
1970 10 23 -0.04 0.09
1970 10 30 -0.09 -0.11
1970 11 6 -0.19 -0.21
1970 11 13 -0.24 -0.14
1970 11 20 -0.61 -0.43
1970 11 27 -0.26 -0.41
1970 12 4 0.04 -0.06
1970 12 11 0.05 0.02
1970 12 18 -0.15 0.04
1970 12 25 0.01 0.13
1971 1 1 0.01 -0.03
1971 1 8 0.02 0.09
1971 1 15 -0.3 -0.22
1971 1 22 -0.33 -0.25
1971 1 29 -0.09 -0.1
1971 2 5 -0.09 -0.04
1971 2 12 -0.21 -0.15
1971 2 19 -0.25 -0.21
1971 2 26 -0.03 -0.09
1971 3 5 0.04 -0.08
1971 3 12 -0.14 -0.3
1971 3 19 0.02 -0.15
1971 3 26 0.11 0.06
1971 4 2 0.24 0.21
1971 4 9 0.12 0.2
1971 4 16 0.19 0.35
1971 4 23 0.05 0.27
1971 4 30 0.34 0.22
1971 5 7 0.21 0.24
1971 5 14 0.1 0.06
1971 5 21 0.24 0.19
1971 5 28 -0.08 -0.21
1971 6 4 -0.07 -0.09
1971 6 11 0.35 0.32
1971 6 18 0.41 0.37
1971 6 25 0.05 -0.07
1971 7 2 0.32 0.28
1971 7 9 -0.12 -0.04
1971 7 16 -0.23 -0.07
1971 7 23 0.2 0.17
1971 7 30 0.17 0.09
1971 8 6 0.01 -0.05
1971 8 13 0.01 -0.02
1971 8 20 -0.71 -0.85
1971 8 27 -0.04 0.05
1971 9 3 -0.13 -0.18
1971 9 10 0.05 0.04
1971 9 17 0.08 0.06
1971 9 24 -0.03 0.01
1971 10 1 -0.11 -0.11
1971 10 8 -0.21 -0.08
1971 10 15 -0.22 -0.21
1971 10 22 -0.05 -0.05
1971 10 29 -0.19 -0.1
1971 11 5 -0.09 -0.11
1971 11 12 0.12 0.07
1971 11 19 -0.09 -0.06
1971 11 26 0.16 0.18
1971 12 3 -0.04 -0.1
1971 12 10 -0.05 -0.06
1971 12 17 -0.03 -0.01
1971 12 24 -0.03 0
1971 12 31 -0.16 -0.15
1972 1 7 -0.04 0.02
1972 1 14 -0.27 -0.16
1972 1 21 0.08 0.09
1972 1 28 0.11 0.14
1972 2 4 0.07 0.08
1972 2 11 -0.13 -0.04
1972 2 18 -0.11 -0.09
1972 2 25 0.1 0.02
1972 3 3 0.02 0.03
1972 3 10 0.07 0.08
1972 3 17 0.45 0.37
1972 3 24 0.04 -0.01
1972 3 31 0.18 0.11
1972 4 7 0.15 0.17
1972 4 14 -0.05 -0.01
1972 4 21 -0.19 -0.06
1972 4 28 -0.29 -0.18
1972 5 5 -0.04 -0.11
1972 5 12 0.06 0.01
1972 5 19 0.03 -0.05
1972 5 26 -0.08 -0.1
1972 6 2 0.08 0.02
1972 6 9 0.16 0.07
1972 6 16 0.01 0.04
1972 6 23 0.1 0.1
1972 6 30 0.15 0.09
1972 7 7 -0.03 0
1972 7 14 -0.04 0.01
1972 7 21 -0.13 -0.01
1972 7 28 -0.04 -0.01
1972 8 4 -0.05 -0.04
1972 8 11 0.01 0
1972 8 18 0.01 0.01
1972 8 25 0.25 0.07
1972 9 1 0.3 0.17
1972 9 8 0.07 0.1
1972 9 15 0.05 0
1972 9 22 0.03 -0.04
1972 9 29 0.06 0.01
1972 10 6 0 -0.02
1972 10 13 -0.07 0.01
1972 10 20 0 0.04
1972 10 27 -0.09 -0.04
1972 11 3 -0.06 -0.03
1972 11 10 -0.11 -0.06
1972 11 17 -0.07 -0.04
1972 11 24 0.05 0.02
1972 12 1 0.1 0.03
1972 12 8 0.09 0
1972 12 15 0.04 0.01
1972 12 22 0.09 0.07
1972 12 29 0.07 0.06
1973 1 5 0.06 0.05
1973 1 12 0.08 0.04
1973 1 19 0.11 0.06
1973 1 26 0.14 0.1
1973 2 2 0.12 0.13
1973 2 9 0.01 0.04
1973 2 16 -0.12 -0.03
1973 2 23 0.16 0.16
1973 3 2 0.23 0.09
1973 3 9 0.21 0.09
1973 3 16 0.26 0.07
1973 3 23 0.13 0.04
1973 3 30 -0.03 -0.13
1973 4 6 0.01 0
1973 4 13 -0.19 -0.11
1973 4 20 -0.06 0.07
1973 4 27 0.03 0.05
1973 5 4 0.04 0.02
1973 5 11 -0.06 -0.03
1973 5 18 0.01 0
1973 5 25 0.25 0.05
1973 6 1 0.13 -0.01
1973 6 8 0.06 -0.06
1973 6 15 -0.02 -0.02
1973 6 22 0.09 0.04
1973 6 29 0.24 0.16
1973 7 6 0.52 0.24
1973 7 13 0.07 0.11
1973 7 20 0.29 0.21
1973 7 27 0.31 0.3
1973 8 3 0.18 0.24
1973 8 10 0.28 0.21
1973 8 17 -0.29 -0.32
1973 8 24 -0.23 -0.25
1973 8 31 -0.16 -0.23
1973 9 7 -0.11 -0.09
1973 9 14 0.2 0.12
1973 9 21 -0.19 -0.3
1973 9 28 -0.53 -0.29
1973 10 5 -0.2 -0.02
1973 10 12 -0.24 -0.13
1973 10 19 -0.05 0
1973 10 26 -0.17 0.01
1973 11 2 0.05 0.06
1973 11 9 0.47 0.27
1973 11 16 0.16 0.08
1973 11 23 -0.41 -0.24
1973 11 30 -0.22 -0.14
1973 12 7 0.19 0.1
1973 12 14 -0.2 -0.14
1973 12 21 -0.17 -0.04
1973 12 28 0.24 0.1
1974 1 4 0 0.02
1974 1 11 0.07 0.06
1974 1 18 0.1 0.05
1974 1 25 0.05 0.12
1974 2 1 -0.31 -0.14
1974 2 8 -0.43 -0.22
1974 2 15 0.01 -0.03
1974 2 22 0.04 0.06
1974 3 1 0.26 0.17
1974 3 8 0.19 0.14
1974 3 15 0.13 0.09
1974 3 22 0.63 0.36
1974 3 29 0.29 0.23
1974 4 5 0.12 0.25
1974 4 12 0.11 0.05
1974 4 19 0 -0.05
1974 4 26 0.13 0.09
1974 5 3 0.29 0.25
1974 5 10 0.19 0.22
1974 5 17 -0.43 -0.29
1974 5 24 -0.3 -0.17
1974 5 31 0.08 -0.01
1974 6 7 0.09 0.02
1974 6 14 0 0
1974 6 21 -0.03 0
1974 6 28 0.22 0.19
1974 7 5 0.22 0.17
1974 7 12 -0.04 0.2
1974 7 19 -0.39 -0.29
1974 7 26 -0.12 -0.26
1974 8 2 0.54 0.48
1974 8 9 0.05 -0.01
1974 8 16 0.01 -0.02
1974 8 23 0.44 0.16
1974 8 30 0.3 0.05
1974 9 6 -0.24 -0.12
1974 9 13 -0.5 -0.13
1974 9 20 -0.41 -0.14
1974 9 27 -0.27 -0.2
1974 10 4 -0.1 -0.03
1974 10 11 -0.34 -0.16
1974 10 18 0.12 -0.01
1974 10 25 -0.2 -0.07
1974 11 1 0.11 0.07
1974 11 8 -0.2 -0.17
1974 11 15 -0.21 -0.19
1974 11 22 -0.04 -0.13
1974 11 29 0.08 -0.01
1974 12 6 -0.08 -0.05
1974 12 13 -0.31 -0.27
1974 12 20 -0.14 -0.09
1974 12 27 0.23 0.18
1975 1 3 -0.04 0.08
1975 1 10 -0.28 -0.09
1975 1 17 0.01 0.05
1975 1 24 -0.32 -0.03
1975 1 31 -0.26 -0.18
1975 2 7 -0.51 -0.32
1975 2 14 0.14 -0.01
1975 2 21 -0.21 -0.29
1975 2 28 0.22 0.16
1975 3 7 -0.02 0.03
1975 3 14 -0.06 0.02
1975 3 21 0.09 0.2
1975 3 28 0.15 0.15
1975 4 4 0.41 0.44
1975 4 11 0.32 0.28
1975 4 18 -0.14 -0.04
1975 4 25 0.19 0.2
1975 5 2 -0.13 -0.04
1975 5 9 -0.28 -0.27
1975 5 16 -0.31 -0.28
1975 5 23 -0.09 -0.09
1975 5 30 0.05 0.05
1975 6 6 -0.06 -0.09
1975 6 13 -0.31 -0.27
1975 6 20 0.31 0.16
1975 6 27 0.54 0.39
1975 7 4 0.18 0.12
1975 7 11 0.04 0.01
1975 7 18 0.01 0.06
1975 7 25 0.33 0.16
1975 8 1 0.08 0.13
1975 8 8 0.25 0.17
1975 8 15 0.1 0.08
1975 8 22 0.07 0.08
1975 8 29 -0.09 -0.18
1975 9 5 -0.09 0
1975 9 12 0.08 0.23
1975 9 19 0.18 0.12
1975 9 26 -0.13 -0.21
1975 10 3 -0.05 0.04
1975 10 10 -0.45 -0.24
1975 10 17 -0.25 -0.11
1975 10 24 -0.27 -0.27
1975 10 31 -0.29 -0.24
1975 11 7 -0.14 -0.11
1975 11 14 0.08 0.02
1975 11 21 0.2 0.27
1975 11 28 0.1 0
1975 12 5 0.07 -0.04
1975 12 12 0.13 0.1
1975 12 19 -0.23 -0.21
1975 12 26 -0.33 -0.19
1976 1 2 -0.14 -0.13
1976 1 9 -0.22 -0.1
1976 1 16 -0.19 -0.08
1976 1 23 -0.03 0.06
1976 1 30 -0.06 -0.02
1976 2 6 0.14 0.02
1976 2 13 0 0.11
1976 2 20 0.14 -0.01
1976 2 27 0.06 -0.05
1976 3 5 0.37 0.25
1976 3 12 -0.16 -0.14
1976 3 19 0 -0.03
1976 3 26 -0.17 -0.13
1976 4 2 0.06 0.05
1976 4 9 -0.16 -0.17
1976 4 16 -0.21 -0.18
1976 4 23 0.09 0.04
1976 4 30 0.18 0.17
1976 5 7 0.07 0.09
1976 5 14 0.2 0.18
1976 5 21 0.25 0.2
1976 5 28 0.15 0.14
1976 6 4 0 -0.07
1976 6 11 -0.17 -0.12
1976 6 18 -0.04 -0.05
1976 6 25 -0.03 -0.04
1976 7 2 0.01 0.03
1976 7 9 -0.18 -0.1
1976 7 16 -0.16 -0.14
1976 7 23 0.09 0.13
1976 7 30 -0.1 -0.1
1976 8 6 -0.01 -0.1
1976 8 13 -0.08 -0.1
1976 8 20 -0.02 -0.03
1976 8 27 -0.07 -0.02
1976 9 3 -0.02 -0.06
1976 9 10 -0.02 -0.04
1976 9 17 -0.02 -0.05
1976 9 24 -0.11 -0.05
1976 10 1 0.04 -0.02
1976 10 8 -0.17 -0.26
1976 10 15 -0.25 -0.31
1976 10 22 0.03 0.13
1976 10 29 0.09 0.2
1976 11 5 -0.05 -0.04
1976 11 12 0.06 0.02
1976 11 19 -0.18 -0.22
1976 11 26 -0.28 -0.32
1976 12 3 -0.13 -0.14
1976 12 10 0.01 0.02
1976 12 17 -0.02 0.02
1976 12 24 -0.05 -0.02
1976 12 31 0.01 0.04
1977 1 7 0.15 0.12
1977 1 14 0.2 0.37
1977 1 21 0.16 0.13
1977 1 28 0.12 0.15
1977 2 4 0.07 0.06
1977 2 11 -0.17 -0.15
1977 2 18 -0.03 -0.04
1977 2 25 0.17 0.16
1977 3 4 0.01 -0.02
1977 3 11 -0.03 0.01
1977 3 18 -0.03 -0.04
1977 3 25 0 -0.02
1977 4 1 -0.04 0.01
1977 4 8 -0.02 0
1977 4 15 -0.04 -0.23
1977 4 22 0.02 0.01
1977 4 29 0.13 0.13
1977 5 6 0.13 0.13
1977 5 13 0.2 0.09
1977 5 20 0.06 -0.01
1977 5 27 -0.02 -0.01
1977 6 3 -0.05 -0.07
1977 6 10 -0.03 -0.03
1977 6 17 -0.03 -0.11
1977 6 24 -0.01 0
1977 7 1 -0.07 -0.03
1977 7 8 0.09 0.08
1977 7 15 0.07 0.07
1977 7 22 0.11 0.08
1977 7 29 0.09 0.06
1977 8 5 0.16 0.13
1977 8 12 0.1 0.07
1977 8 19 0.14 0.04
1977 8 26 -0.06 -0.07
1977 9 2 -0.07 -0.06
1977 9 9 0.06 0.03
1977 9 16 0.16 0.09
1977 9 23 -0.02 0.02
1977 9 30 0.08 0.08
1977 10 7 0.16 0.03
1977 10 14 0.26 0.21
1977 10 21 0.02 0.1
1977 10 28 -0.11 0
1977 11 4 0.09 0.04
1977 11 11 -0.06 -0.08
1977 11 18 -0.07 -0.07
1977 11 25 -0.01 0.02
1977 12 2 0 0.03
1977 12 9 0.03 0.05
1977 12 16 0 0
1977 12 23 0.03 0.06
1977 12 30 0.04 0.06
1978 1 6 0.02 0.01
1978 1 13 0.4 0.31
1978 1 20 -0.09 -0.05
1978 1 27 -0.04 -0.01
1978 2 3 -0.02 -0.07
1978 2 10 0.03 0.04
1978 2 17 0.07 0.09
1978 2 24 0 0.03
1978 3 3 -0.04 -0.03
1978 3 10 -0.05 -0.02
1978 3 17 -0.01 -0.05
1978 3 24 -0.03 0.01
1978 3 31 0.14 0.14
1978 4 7 0.04 0.03
1978 4 14 -0.03 -0.01
1978 4 21 0.02 0.02
1978 4 28 0.15 0.12
1978 5 5 0.11 0.04
1978 5 12 0.1 0.07
1978 5 19 0.08 0.01
1978 5 26 0.07 0.08
1978 6 2 -0.01 0.04
1978 6 9 -0.03 -0.03
1978 6 16 0.14 0.03
1978 6 23 0.19 0.21
1978 6 30 0.1 0.11
1978 7 7 0.02 0
1978 7 14 0.08 0.05
1978 7 21 0 -0.01
1978 7 28 -0.03 0
1978 8 4 -0.16 -0.19
1978 8 11 -0.1 -0.15
1978 8 18 0.25 0.16
1978 8 25 0.02 -0.02
1978 9 1 0.07 0.02
1978 9 8 -0.01 -0.02
1978 9 15 0.1 -0.01
1978 9 22 0.16 0.11
1978 9 29 0.09 0.04
1978 10 6 0.07 0.01
1978 10 13 0.05 -0.03
1978 10 20 0.24 0.1
1978 10 27 0.07 0.12
1978 11 3 0.71 0.43
1978 11 10 0.21 -0.02
1978 11 17 -0.27 -0.15
1978 11 24 0.03 0.01
1978 12 1 0.19 0.2
1978 12 8 0.03 -0.04
1978 12 15 -0.02 0.07
1978 12 22 0.37 0.33
1978 12 29 0.05 0.07
1979 1 5 -0.03 -0.01
1979 1 12 0 0.02
1979 1 19 -0.01 -0.01
1979 1 26 -0.19 -0.17
1979 2 2 -0.18 -0.27
1979 2 9 0.06 0.05
1979 2 16 0 0.08
1979 2 23 0.14 0.11
1979 3 2 0.03 0.06
1979 3 9 -0.06 -0.06
1979 3 16 0.01 0
1979 3 23 -0.09 -0.01
